
Predictions were generated on 13-Feb-2024 at 17:55:51 using HydroDyn Driver, compiled on Feb 13 2024 at 17:43:26 as a 64-bit application using double precision at commit v2.5.0-3856-g75eff1d1-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   12.3000	   2.548521E+00	  -4.028159E+04	  -1.078361E+04	   9.446325E+06	   3.564849E+07	   3.013931E+07	   2.020166E+05
   12.4000	   2.682384E+00	  -4.153524E+04	  -1.111872E+04	   9.448509E+06	   3.565152E+07	   3.015521E+07	   2.084637E+05
   12.5000	   2.813601E+00	  -4.262545E+04	  -1.141023E+04	   9.450717E+06	   3.565436E+07	   3.017195E+07	   2.140965E+05
   12.6000	   2.942040E+00	  -4.354868E+04	  -1.165688E+04	   9.452942E+06	   3.565696E+07	   3.018952E+07	   2.188947E+05
   12.7000	   3.067577E+00	  -4.430214E+04	  -1.185814E+04	   9.455173E+06	   3.565932E+07	   3.020790E+07	   2.228423E+05
   12.8000	   3.190086E+00	  -4.488360E+04	  -1.201330E+04	   9.457404E+06	   3.566142E+07	   3.022708E+07	   2.259255E+05
   12.9000	   3.309447E+00	  -4.529137E+04	  -1.212209E+04	   9.459626E+06	   3.566322E+07	   3.024704E+07	   2.281341E+05
   13.0000	   3.425541E+00	  -4.552474E+04	  -1.218400E+04	   9.461830E+06	   3.566470E+07	   3.026774E+07	   2.294622E+05
   13.1000	   3.538255E+00	  -4.558276E+04	  -1.219916E+04	   9.464007E+06	   3.566585E+07	   3.028917E+07	   2.299031E+05
   13.2000	   3.647478E+00	  -4.546632E+04	  -1.216752E+04	   9.466150E+06	   3.566666E+07	   3.031128E+07	   2.294594E+05
   13.3000	   3.753101E+00	  -4.517608E+04	  -1.208933E+04	   9.468250E+06	   3.566710E+07	   3.033403E+07	   2.281328E+05
   13.4000	   3.855019E+00	  -4.471356E+04	  -1.196496E+04	   9.470299E+06	   3.566716E+07	   3.035738E+07	   2.259291E+05
   13.5000	   3.953134E+00	  -4.408082E+04	  -1.179537E+04	   9.472289E+06	   3.566684E+07	   3.038127E+07	   2.228575E+05
   13.6000	   4.047347E+00	  -4.328080E+04	  -1.158052E+04	   9.474214E+06	   3.566612E+07	   3.040564E+07	   2.189312E+05
   13.7000	   4.137566E+00	  -4.231670E+04	  -1.132192E+04	   9.476064E+06	   3.566500E+07	   3.043043E+07	   2.141652E+05
   13.8000	   4.223701E+00	  -4.119210E+04	  -1.102054E+04	   9.477834E+06	   3.566348E+07	   3.045558E+07	   2.085770E+05
   13.9000	   4.305669E+00	  -3.991202E+04	  -1.067722E+04	   9.479516E+06	   3.566155E+07	   3.048100E+07	   2.021905E+05
   14.0000	   4.383387E+00	  -3.848112E+04	  -1.029342E+04	   9.481105E+06	   3.565922E+07	   3.050661E+07	   1.950287E+05
   14.1000	   4.456779E+00	  -3.690471E+04	  -9.871112E+03	   9.482593E+06	   3.565648E+07	   3.053234E+07	   1.871184E+05
   14.2000	   4.525773E+00	  -3.518922E+04	  -9.411154E+03	   9.483975E+06	   3.565336E+07	   3.055808E+07	   1.784912E+05
   14.3000	   4.590301E+00	  -3.334093E+04	  -8.915882E+03	   9.485246E+06	   3.564985E+07	   3.058375E+07	   1.691790E+05
   14.4000	   4.650299E+00	  -3.136680E+04	  -8.386715E+03	   9.486401E+06	   3.564598E+07	   3.060925E+07	   1.592170E+05
   14.5000	   4.705707E+00	  -2.927423E+04	  -7.825890E+03	   9.487435E+06	   3.564174E+07	   3.063447E+07	   1.486426E+05
   14.6000	   4.756471E+00	  -2.707086E+04	  -7.235268E+03	   9.488344E+06	   3.563718E+07	   3.065930E+07	   1.374951E+05
   14.7000	   4.802542E+00	  -2.476521E+04	  -6.617663E+03	   9.489125E+06	   3.563229E+07	   3.068365E+07	   1.258180E+05
   14.8000	   4.843872E+00	  -2.236565E+04	  -5.974397E+03	   9.489774E+06	   3.562711E+07	   3.070739E+07	   1.136542E+05
   14.9000	   4.880422E+00	  -1.988086E+04	  -5.308584E+03	   9.490289E+06	   3.562166E+07	   3.073041E+07	   1.010486E+05
   15.0000	   4.912156E+00	  -1.732068E+04	  -4.622313E+03	   9.490668E+06	   3.561597E+07	   3.075261E+07	   8.805170E+04
   15.1000	   4.939043E+00	  -1.469374E+04	  -3.918490E+03	   9.490909E+06	   3.561006E+07	   3.077386E+07	   7.470846E+04
   15.2000	   4.961055E+00	  -1.201036E+04	  -3.199328E+03	   9.491010E+06	   3.560397E+07	   3.079406E+07	   6.107214E+04
   15.3000	   4.978171E+00	  -9.280209E+03	  -2.467344E+03	   9.490972E+06	   3.559772E+07	   3.081309E+07	   4.719286E+04
   15.4000	   4.990374E+00	  -6.513121E+03	  -1.725737E+03	   9.490794E+06	   3.559136E+07	   3.083084E+07	   3.312188E+04
   15.5000	   4.997652E+00	  -3.719698E+03	  -9.767240E+02	   9.490477E+06	   3.558491E+07	   3.084720E+07	   1.891407E+04
   15.6000	   4.999999E+00	  -9.101447E+02	  -2.237013E+02	   9.490022E+06	   3.557840E+07	   3.086208E+07	   4.622718E+03
   15.7000	   4.997410E+00	   1.904880E+03	   5.306818E+02	   9.489430E+06	   3.557189E+07	   3.087536E+07	  -9.696834E+03
   15.8000	   4.989890E+00	   4.715059E+03	   1.284021E+03	   9.488703E+06	   3.556539E+07	   3.088697E+07	  -2.399103E+04
   15.9000	   4.977446E+00	   7.510453E+03	   2.033143E+03	   9.487845E+06	   3.555895E+07	   3.089680E+07	  -3.820794E+04
   16.0000	   4.960089E+00	   1.027974E+04	   2.775520E+03	   9.486857E+06	   3.555260E+07	   3.090478E+07	  -5.228896E+04
   16.1000	   4.937838E+00	   1.301306E+04	   3.508003E+03	   9.485744E+06	   3.554638E+07	   3.091083E+07	  -6.618267E+04
   16.2000	   4.910713E+00	   1.569950E+04	   4.228230E+03	   9.484511E+06	   3.554033E+07	   3.091489E+07	  -7.983272E+04
   16.3000	   4.878742E+00	   1.832957E+04	   4.933113E+03	   9.483160E+06	   3.553448E+07	   3.091690E+07	  -9.318952E+04
   16.4000	   4.841957E+00	   2.089300E+04	   5.620364E+03	   9.481698E+06	   3.552886E+07	   3.091681E+07	  -1.062003E+05
   16.5000	   4.800393E+00	   2.338015E+04	   6.286871E+03	   9.480130E+06	   3.552350E+07	   3.091460E+07	  -1.188148E+05
   16.6000	   4.754091E+00	   2.578120E+04	   6.930330E+03	   9.478463E+06	   3.551844E+07	   3.091022E+07	  -1.309826E+05
   16.7000	   4.703098E+00	   2.808647E+04	   7.548380E+03	   9.476701E+06	   3.551370E+07	   3.090366E+07	  -1.426541E+05
   16.8000	   4.647463E+00	   3.028746E+04	   8.138488E+03	   9.474853E+06	   3.550931E+07	   3.089493E+07	  -1.537853E+05
   16.9000	   4.587242E+00	   3.237572E+04	   8.698105E+03	   9.472924E+06	   3.550529E+07	   3.088403E+07	  -1.643331E+05
   17.0000	   4.522493E+00	   3.434255E+04	   9.225246E+03	   9.470924E+06	   3.550167E+07	   3.087098E+07	  -1.742532E+05
   17.1000	   4.453282E+00	   3.617979E+04	   9.717673E+03	   9.468859E+06	   3.549847E+07	   3.085582E+07	  -1.835042E+05
   17.2000	   4.379676E+00	   3.788040E+04	   1.017350E+04	   9.466737E+06	   3.549570E+07	   3.083859E+07	  -1.920504E+05
   17.3000	   4.301748E+00	   3.943727E+04	   1.059049E+04	   9.464567E+06	   3.549338E+07	   3.081935E+07	  -1.998560E+05
   17.4000	   4.219574E+00	   4.084372E+04	   1.096736E+04	   9.462357E+06	   3.549152E+07	   3.079818E+07	  -2.068877E+05
   17.5000	   4.133236E+00	   4.209386E+04	   1.130234E+04	   9.460116E+06	   3.549012E+07	   3.077516E+07	  -2.131164E+05
   17.6000	   4.042820E+00	   4.318196E+04	   1.159365E+04	   9.457853E+06	   3.548920E+07	   3.075038E+07	  -2.185137E+05
   17.7000	   3.948413E+00	   4.410347E+04	   1.184026E+04	   9.455577E+06	   3.548874E+07	   3.072397E+07	  -2.230576E+05
   17.8000	   3.850110E+00	   4.485401E+04	   1.204105E+04	   9.453297E+06	   3.548875E+07	   3.069603E+07	  -2.267272E+05
   17.9000	   3.748007E+00	   4.542967E+04	   1.219510E+04	   9.451022E+06	   3.548923E+07	   3.066671E+07	  -2.295042E+05
