
Predictions were generated on 12-Feb-2024 at 14:25:23 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
   16.5000	   3.115019E+00	  -5.486288E+06	   2.021222E+07
   16.6000	   3.023358E+00	  -6.524664E+06	   3.327751E+07
   16.7000	   2.924026E+00	  -7.482688E+06	   4.582156E+07
   16.8000	   2.818265E+00	  -8.359844E+06	   5.779884E+07
   16.9000	   2.707315E+00	  -9.156459E+06	   6.916920E+07
   17.0000	   2.592397E+00	  -9.873582E+06	   7.989813E+07
   17.1000	   2.474696E+00	  -1.051288E+07	   8.995687E+07
   17.2000	   2.355345E+00	  -1.107650E+07	   9.932246E+07
   17.3000	   2.235412E+00	  -1.156698E+07	   1.079776E+08
   17.4000	   2.115884E+00	  -1.198716E+07	   1.159105E+08
   17.5000	   1.997656E+00	  -1.234005E+07	   1.231147E+08
   17.6000	   1.881523E+00	  -1.262880E+07	   1.295885E+08
   17.7000	   1.768171E+00	  -1.285663E+07	   1.353348E+08
   17.8000	   1.658165E+00	  -1.302676E+07	   1.403606E+08
   17.9000	   1.551954E+00	  -1.314238E+07	   1.446767E+08
   18.0000	   1.449863E+00	  -1.320664E+07	   1.482974E+08
   18.1000	   1.352096E+00	  -1.322263E+07	   1.512396E+08
   18.2000	   1.258740E+00	  -1.319335E+07	   1.535233E+08
   18.3000	   1.169765E+00	  -1.312170E+07	   1.551703E+08
   18.4000	   1.085040E+00	  -1.301053E+07	   1.562048E+08
   18.5000	   1.004334E+00	  -1.286258E+07	   1.566523E+08
   18.6000	   9.273306E-01	  -1.268048E+07	   1.565400E+08
   18.7000	   8.536434E-01	  -1.246680E+07	   1.558961E+08
   18.8000	   7.828240E-01	  -1.222399E+07	   1.547498E+08
   18.9000	   7.143829E-01	  -1.195442E+07	   1.531308E+08
   19.0000	   6.478016E-01	  -1.166033E+07	   1.510695E+08
   19.1000	   5.825481E-01	  -1.134389E+07	   1.485967E+08
   19.2000	   5.180966E-01	  -1.100716E+07	   1.457431E+08
   19.3000	   4.539405E-01	  -1.065207E+07	   1.425397E+08
   19.4000	   3.896074E-01	  -1.028050E+07	   1.390172E+08
   19.5000	   3.246744E-01	  -9.894204E+06	   1.352061E+08
   19.6000	   2.587797E-01	  -9.494906E+06	   1.311368E+08
   19.7000	   1.916351E-01	  -9.084255E+06	   1.268392E+08
   19.8000	   1.230345E-01	  -8.663875E+06	   1.223428E+08
   19.9000	   5.286006E-02	  -8.235380E+06	   1.176765E+08
   20.0000	  -1.891045E-02	  -7.800401E+06	   1.128689E+08
   20.1000	  -9.220291E-02	  -7.360568E+06	   1.079481E+08
   20.2000	  -1.668447E-01	  -6.917620E+06	   1.029416E+08
   20.3000	  -2.425686E-01	  -6.473358E+06	   9.787654E+07
   20.4000	  -3.190167E-01	  -6.029608E+06	   9.277939E+07
   20.5000	  -3.957460E-01	  -5.588301E+06	   8.767618E+07
   20.6000	  -4.722379E-01	  -5.151388E+06	   8.259250E+07
   20.7000	  -5.479113E-01	  -4.720846E+06	   7.755330E+07
   20.8000	  -6.221324E-01	  -4.298662E+06	   7.258301E+07
   20.9000	  -6.942293E-01	  -3.886808E+06	   6.770532E+07
   21.0000	  -7.635092E-01	  -3.487217E+06	   6.294322E+07
   21.1000	  -8.292722E-01	  -3.101746E+06	   5.831872E+07
   21.2000	  -8.908299E-01	  -2.732168E+06	   5.385288E+07
   21.3000	  -9.475203E-01	  -2.380140E+06	   4.956549E+07
   21.4000	  -9.987270E-01	  -2.047194E+06	   4.547508E+07
   21.5000	  -1.043892E+00	  -1.734719E+06	   4.159846E+07
   21.6000	  -1.082532E+00	  -1.443969E+06	   3.795119E+07
   21.7000	  -1.114256E+00	  -1.176041E+06	   3.454686E+07
   21.8000	  -1.138766E+00	  -9.318896E+05	   3.139729E+07
   21.9000	  -1.155883E+00	  -7.123339E+05	   2.851228E+07
   22.0000	  -1.165540E+00	  -5.180653E+05	   2.589961E+07
   22.1000	  -1.167798E+00	  -3.496567E+05	   2.356496E+07
   22.2000	  -1.162842E+00	  -2.075721E+05	   2.151183E+07
   22.3000	  -1.150988E+00	  -9.217178E+04	   1.974147E+07
   22.4000	  -1.132675E+00	  -3.718036E+03	   1.825292E+07
   22.5000	  -1.108463E+00	   5.762644E+04	   1.704291E+07
   22.6000	  -1.079026E+00	   9.181033E+04	   1.610582E+07
   22.7000	  -1.045139E+00	   9.891099E+04	   1.543357E+07
   22.8000	  -1.007671E+00	   7.914975E+04	   1.501572E+07
   22.9000	  -9.675637E-01	   3.285671E+04	   1.483885E+07
   23.0000	  -9.258226E-01	  -3.931705E+04	   1.488785E+07
   23.1000	  -8.834944E-01	  -1.364819E+05	   1.514490E+07
   23.2000	  -8.416505E-01	  -2.574486E+05	   1.558967E+07
   23.3000	  -8.013664E-01	  -4.006772E+05	   1.619947E+07
   23.4000	  -7.637031E-01	  -5.642397E+05	   1.694936E+07
   23.5000	  -7.296860E-01	  -7.457819E+05	   1.781230E+07
   23.6000	  -7.002846E-01	  -9.425110E+05	   1.875940E+07
