
These predictions were generated by MoorDyn (v2.a272022-07-20) on 06-Dec-2022 at 13:08:30.

 
 
 
      Time          CON1FX          CON1FY          CON1FZ          CON2FX          CON2FY          CON2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
   10.8000   2.3969271E+06   0.0000000E+00  -3.0300711E+06  -2.4024870E+06   0.0000000E+00  -1.0998403E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081739E+02   0.0000000E+00  -5.4439742E+02   2.5363733E+06   1.5098242E+03   0.0000000E+00  -6.0000377E+02   2.4024587E+06
   11.0000   2.3977402E+06   0.0000000E+00  -3.0314144E+06  -2.4041143E+06   0.0000000E+00  -1.0998410E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081573E+02   0.0000000E+00  -5.4439890E+02   2.5378939E+06   1.5098241E+03   0.0000000E+00  -6.0000377E+02   2.4040839E+06
   11.2000   2.3977036E+06   0.0000000E+00  -3.0318650E+06  -2.4044844E+06   0.0000000E+00  -1.0998411E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081540E+02   0.0000000E+00  -5.4439571E+02   2.5382756E+06   1.5098240E+03   0.0000000E+00  -6.0000377E+02   2.4044534E+06
   11.4000   2.3968175E+06   0.0000000E+00  -3.0313937E+06  -2.4035845E+06   0.0000000E+00  -1.0998407E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081643E+02   0.0000000E+00  -5.4438796E+02   2.5375028E+06   1.5098241E+03   0.0000000E+00  -6.0000377E+02   2.4035543E+06
   11.6000   2.3951386E+06   0.0000000E+00  -3.0300414E+06  -2.4014619E+06   0.0000000E+00  -1.0998399E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081878E+02   0.0000000E+00  -5.4437604E+02   2.5356238E+06   1.5098242E+03   0.0000000E+00  -6.0000377E+02   2.4014340E+06
   11.8000   2.3927704E+06   0.0000000E+00  -3.0279094E+06  -2.3982242E+06   0.0000000E+00  -1.0998385E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082237E+02   0.0000000E+00  -5.4436055E+02   2.5327449E+06   1.5098244E+03   0.0000000E+00  -6.0000377E+02   2.3982000E+06
   12.0000   2.3898446E+06   0.0000000E+00  -3.0251384E+06  -2.3940356E+06   0.0000000E+00  -1.0998368E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082709E+02   0.0000000E+00  -5.4434231E+02   2.5290270E+06   1.5098247E+03   0.0000000E+00  -6.0000377E+02   2.3940163E+06
   12.2000   2.3865070E+06   0.0000000E+00  -3.0218913E+06  -2.3891126E+06   0.0000000E+00  -1.0998347E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083276E+02   0.0000000E+00  -5.4432223E+02   2.5246741E+06   1.5098251E+03   0.0000000E+00  -6.0000377E+02   2.3890996E+06
   12.4000   2.3829098E+06   0.0000000E+00  -3.0183432E+06  -2.3837185E+06   0.0000000E+00  -1.0998325E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083919E+02   0.0000000E+00  -5.4430131E+02   2.5199147E+06   1.5098255E+03   0.0000000E+00  -6.0000377E+02   2.3837125E+06
   12.6000   2.3792061E+06   0.0000000E+00  -3.0146734E+06  -2.3781429E+06   0.0000000E+00  -1.0998301E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084611E+02   0.0000000E+00  -5.4428053E+02   2.5149889E+06   1.5098259E+03   0.0000000E+00  -6.0000377E+02   2.3781441E+06
   12.8000   2.3755454E+06   0.0000000E+00  -3.0110580E+06  -2.3726765E+06   0.0000000E+00  -1.0998279E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085325E+02   0.0000000E+00  -5.4426081E+02   2.5101372E+06   1.5098263E+03   0.0000000E+00  -6.0000377E+02   2.3726843E+06
   13.0000   2.3720730E+06   0.0000000E+00  -3.0076679E+06  -2.3675864E+06   0.0000000E+00  -1.0998257E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086035E+02   0.0000000E+00  -5.4424296E+02   2.5055871E+06   1.5098266E+03   0.0000000E+00  -6.0000377E+02   2.3676000E+06
