
These predictions were generated by SeaState on 15-Jul-2026 at 09:37:00.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FVel6xi         FVel7xi         FVel8xi         FVel9xi         FVel1yi         FVel2yi         FVel3yi         FVel4yi         FVel5yi         FVel6yi         FVel7yi         FVel8yi         FVel9yi
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)
    8.8000   0.3885034E+00  -0.4254158E+00  -0.2907308E+00  -0.1074759E+00  -0.1429954E+00  -0.2617503E+01  -0.3688313E+01  -0.5035926E+01  -0.3514133E+01  -0.2122391E+01  -0.1990381E+01  -0.1401443E+01  -0.9033540E+00  -0.6433215E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    9.0000   0.4336232E+00  -0.4554519E+00  -0.2884809E+00  -0.3149268E-01  -0.1995077E+00  -0.2555792E+01  -0.3650586E+01  -0.5053458E+01  -0.3517729E+01  -0.2125542E+01  -0.1986469E+01  -0.1400389E+01  -0.9036000E+00  -0.6652428E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    9.2000   0.4698134E+00  -0.4750356E+00  -0.2775520E+00   0.4561980E-01  -0.2520280E+00  -0.2503072E+01  -0.3620069E+01  -0.5065503E+01  -0.3520397E+01  -0.2128648E+01  -0.1982608E+01  -0.1399334E+01  -0.9037815E+00  -0.6811220E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    9.4000   0.4961469E+00  -0.4836714E+00  -0.2583824E+00   0.1221616E+00  -0.2993871E+00  -0.2460685E+01  -0.3597537E+01  -0.5071748E+01  -0.3522125E+01  -0.2131662E+01  -0.1978866E+01  -0.1398295E+01  -0.9038954E+00  -0.6906492E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    9.6000   0.5119030E+00  -0.4811191E+00  -0.2316408E+00   0.1964333E+00  -0.3405281E+00  -0.2429759E+01  -0.3583593E+01  -0.5072013E+01  -0.3522933E+01  -0.2134546E+01  -0.1975314E+01  -0.1397289E+01  -0.9039387E+00  -0.6936106E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    9.8000   0.5165870E+00  -0.4673997E+00  -0.1982058E+00   0.2667751E+00  -0.3745311E+00  -0.2411176E+01  -0.3578660E+01  -0.5066257E+01  -0.3522867E+01  -0.2137266E+01  -0.1972016E+01  -0.1396333E+01  -0.9039103E+00  -0.6898930E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
   10.0000   0.5099440E+00  -0.4427960E+00  -0.1591390E+00   0.3316047E+00  -0.4006331E+00  -0.2405554E+01  -0.3582963E+01  -0.5054576E+01  -0.3522003E+01  -0.2139797E+01  -0.1969029E+01  -0.1395442E+01  -0.9038098E+00  -0.6794866E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
   10.2000   0.4919681E+00  -0.4078463E+00  -0.1156545E+00   0.3894548E+00  -0.4182448E+00  -0.2413221E+01  -0.3596525E+01  -0.5037204E+01  -0.3520439E+01  -0.2142121E+01  -0.1966409E+01  -0.1394631E+01  -0.9036380E+00  -0.6624862E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
   10.4000   0.4629058E+00  -0.3633322E+00  -0.6908347E-01   0.4390069E+00  -0.4269644E+00  -0.2434206E+01  -0.3619159E+01  -0.5014509E+01  -0.3518292E+01  -0.2144224E+01  -0.1964200E+01  -0.1393913E+01  -0.9033969E+00  -0.6390909E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
   10.6000   0.4232541E+00  -0.3102608E+00  -0.2083606E-01   0.4791224E+00  -0.4265858E+00  -0.2468236E+01  -0.3650477E+01  -0.4986982E+01  -0.3515693E+01  -0.2146101E+01  -0.1962440E+01  -0.1393298E+01  -0.9030895E+00  -0.6096020E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
