
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:36:25.

 
 
 
      Time        FAIRTEN2       LINE1NBPZ
       (s)             (N)             (m)
   17.2000   8.2061379E+05  -1.4468315E+02
   17.3000   8.4056633E+05  -1.4502637E+02
   17.4000   8.6883041E+05  -1.4536938E+02
   17.5000   8.8761640E+05  -1.4571174E+02
   17.6000   8.9245662E+05  -1.4605340E+02
   17.7000   8.7428484E+05  -1.4639163E+02
   17.8000   6.2557659E+05  -1.4671961E+02
   17.9000   6.0696328E+05  -1.4705271E+02
   18.0000   7.0823854E+05  -1.4739033E+02
   18.1000   7.9275998E+05  -1.4772804E+02
   18.2000   8.8116442E+05  -1.4806745E+02
   18.3000   9.3200363E+05  -1.4840802E+02
   18.4000   9.1788876E+05  -1.4874757E+02
   18.5000   8.5857434E+05  -1.4908619E+02
   18.6000   8.0250862E+05  -1.4942465E+02
   18.7000   7.6435595E+05  -1.4976287E+02
   18.8000   7.5224173E+05  -1.5010086E+02
   18.9000   7.6631016E+05  -1.5043887E+02
   19.0000   7.9315802E+05  -1.5077678E+02
   19.1000   8.1450683E+05  -1.5111416E+02
   19.2000   8.2169519E+05  -1.5145078E+02
   19.3000   8.1541330E+05  -1.5178663E+02
   19.4000   8.0127818E+05  -1.5212176E+02
   19.5000   7.9259196E+05  -1.5245700E+02
   19.6000   8.3086785E+05  -1.5279382E+02
   19.7000   8.1930384E+05  -1.5312872E+02
   19.8000   7.9896893E+05  -1.5346055E+02
   19.9000   6.2025531E+05  -1.5378487E+02
   20.0000   6.1360428E+05  -1.5411277E+02
   20.1000   6.6949731E+05  -1.5444255E+02
   20.2000   7.5249530E+05  -1.5477351E+02
   20.3000   7.9134110E+05  -1.5510333E+02
   20.4000   8.0764933E+05  -1.5543309E+02
   20.5000   8.3300818E+05  -1.5576448E+02
   20.6000   8.0781088E+05  -1.5609444E+02
   20.7000   7.5599321E+05  -1.5642230E+02
   20.8000   7.1795695E+05  -1.5674968E+02
   20.9000   7.1138270E+05  -1.5707709E+02
   21.0000   7.2386641E+05  -1.5740446E+02
   21.1000   7.9186612E+05  -1.5773348E+02
   21.2000   8.0496635E+05  -1.5806019E+02
   21.3000   7.9507308E+05  -1.5838516E+02
   21.4000   8.3975105E+05  -1.5871219E+02
   21.5000   8.7811481E+05  -1.5904093E+02
   21.6000   1.2239886E+06  -1.5938832E+02
   21.7000   1.5600468E+06  -1.5974091E+02
   21.8000   1.4761968E+06  -1.6007450E+02
   21.9000   1.1848363E+06  -1.6039240E+02
   22.0000   8.1704173E+05  -1.6069717E+02
   22.1000   4.9964332E+05  -1.6099446E+02
   22.2000   4.6937630E+05  -1.6129720E+02
   22.3000   6.3086213E+05  -1.6160412E+02
   22.4000   7.9104368E+05  -1.6190628E+02
   22.5000   8.8724990E+05  -1.6220011E+02
   22.6000   8.9939134E+05  -1.6248506E+02
   22.7000   8.8684605E+05  -1.6276511E+02
   22.8000   9.5522911E+05  -1.6304673E+02
   22.9000   1.0897325E+06  -1.6333010E+02
   23.0000   1.2043697E+06  -1.6361010E+02
   23.1000   1.2384473E+06  -1.6388170E+02
