
These predictions were generated by SubDyn on 08-Jun-2026 at 17:07:19.




    Time	  IntfRDYss	   M1N1FKze	   M1N2FKze	   M1N3FKze	   M2N1FKze	   M2N2FKze	   M2N3FKze	   M1N1FKye	   M1N2FKye	   M1N3FKye	   M2N1FKye	   M2N2FKye	   M2N3FKye	   M1N1MKxe	   M1N2MKxe	   M1N3MKxe	   M2N1MKxe	   M2N2MKxe	   M2N3MKxe
   13.4700	-2.3510E-01	-2.8096E+05	-2.1186E+05	-1.4276E+05	-1.4276E+05	-7.3667E+04	-4.5687E+03	 1.1730E+06	 8.8451E+05	 5.9603E+05	 5.9603E+05	 3.0755E+05	 1.9074E+04	-5.9794E+06	-3.4075E+06	-1.5568E+06	-1.5568E+06	-4.2736E+05	-1.9074E+04
   13.4800	-2.3527E-01	-2.8117E+05	-2.1202E+05	-1.4287E+05	-1.4287E+05	-7.3720E+04	-4.5719E+03	 1.1729E+06	 8.8448E+05	 5.9601E+05	 5.9601E+05	 3.0754E+05	 1.9073E+04	-5.9792E+06	-3.4074E+06	-1.5568E+06	-1.5568E+06	-4.2734E+05	-1.9074E+04
   13.4900	-2.3544E-01	-2.8137E+05	-2.1217E+05	-1.4297E+05	-1.4297E+05	-7.3774E+04	-4.5753E+03	 1.1729E+06	 8.8444E+05	 5.9598E+05	 5.9598E+05	 3.0753E+05	 1.9073E+04	-5.9789E+06	-3.4072E+06	-1.5567E+06	-1.5567E+06	-4.2732E+05	-1.9072E+04
   13.5000	-2.3562E-01	-2.8157E+05	-2.1233E+05	-1.4308E+05	-1.4308E+05	-7.3828E+04	-4.5786E+03	 1.1728E+06	 8.8440E+05	 5.9596E+05	 5.9596E+05	 3.0752E+05	 1.9072E+04	-5.9787E+06	-3.4071E+06	-1.5566E+06	-1.5566E+06	-4.2730E+05	-1.9072E+04
   13.5100	-2.3579E-01	-2.8178E+05	-2.1248E+05	-1.4318E+05	-1.4318E+05	-7.3881E+04	-4.5820E+03	 1.1728E+06	 8.8436E+05	 5.9593E+05	 5.9593E+05	 3.0750E+05	 1.9071E+04	-5.9784E+06	-3.4070E+06	-1.5566E+06	-1.5566E+06	-4.2729E+05	-1.9070E+04
   13.5200	-2.3597E-01	-2.8199E+05	-2.1264E+05	-1.4329E+05	-1.4329E+05	-7.3935E+04	-4.5854E+03	 1.1727E+06	 8.8433E+05	 5.9591E+05	 5.9591E+05	 3.0749E+05	 1.9070E+04	-5.9782E+06	-3.4068E+06	-1.5565E+06	-1.5565E+06	-4.2727E+05	-1.9070E+04
   13.5300	-2.3614E-01	-2.8219E+05	-2.1279E+05	-1.4339E+05	-1.4339E+05	-7.3989E+04	-4.5886E+03	 1.1727E+06	 8.8429E+05	 5.9588E+05	 5.9588E+05	 3.0748E+05	 1.9070E+04	-5.9779E+06	-3.4067E+06	-1.5564E+06	-1.5564E+06	-4.2725E+05	-1.9068E+04
   13.5400	-2.3632E-01	-2.8239E+05	-2.1294E+05	-1.4349E+05	-1.4349E+05	-7.4043E+04	-4.5919E+03	 1.1726E+06	 8.8425E+05	 5.9586E+05	 5.9586E+05	 3.0746E+05	 1.9068E+04	-5.9776E+06	-3.4065E+06	-1.5564E+06	-1.5564E+06	-4.2723E+05	-1.9068E+04
   13.5500	-2.3649E-01	-2.8260E+05	-2.1310E+05	-1.4360E+05	-1.4360E+05	-7.4096E+04	-4.5952E+03	 1.1726E+06	 8.8422E+05	 5.9583E+05	 5.9583E+05	 3.0745E+05	 1.9067E+04	-5.9774E+06	-3.4064E+06	-1.5563E+06	-1.5563E+06	-4.2721E+05	-1.9068E+04
   13.5600	-2.3667E-01	-2.8280E+05	-2.1325E+05	-1.4370E+05	-1.4370E+05	-7.4150E+04	-4.5986E+03	 1.1725E+06	 8.8418E+05	 5.9581E+05	 5.9581E+05	 3.0744E+05	 1.9066E+04	-5.9771E+06	-3.4062E+06	-1.5563E+06	-1.5563E+06	-4.2720E+05	-1.9067E+04
   13.5700	-2.3684E-01	-2.8301E+05	-2.1341E+05	-1.4380E+05	-1.4380E+05	-7.4203E+04	-4.6020E+03	 1.1725E+06	 8.8414E+05	 5.9578E+05	 5.9578E+05	 3.0742E+05	 1.9066E+04	-5.9769E+06	-3.4061E+06	-1.5562E+06	-1.5562E+06	-4.2718E+05	-1.9065E+04
   13.5800	-2.3702E-01	-2.8321E+05	-2.1356E+05	-1.4391E+05	-1.4391E+05	-7.4257E+04	-4.6053E+03	 1.1725E+06	 8.8410E+05	 5.9576E+05	 5.9576E+05	 3.0741E+05	 1.9065E+04	-5.9766E+06	-3.4059E+06	-1.5561E+06	-1.5561E+06	-4.2716E+05	-1.9064E+04
   13.5900	-2.3719E-01	-2.8342E+05	-2.1371E+05	-1.4401E+05	-1.4401E+05	-7.4311E+04	-4.6086E+03	 1.1724E+06	 8.8407E+05	 5.9573E+05	 5.9573E+05	 3.0740E+05	 1.9065E+04	-5.9764E+06	-3.4058E+06	-1.5561E+06	-1.5561E+06	-4.2714E+05	-1.9063E+04
   13.6000	-2.3737E-01	-2.8362E+05	-2.1387E+05	-1.4412E+05	-1.4412E+05	-7.4364E+04	-4.6120E+03	 1.1724E+06	 8.8403E+05	 5.9571E+05	 5.9571E+05	 3.0739E+05	 1.9064E+04	-5.9761E+06	-3.4057E+06	-1.5560E+06	-1.5560E+06	-4.2712E+05	-1.9062E+04
   13.6100	-2.3754E-01	-2.8383E+05	-2.1402E+05	-1.4422E+05	-1.4422E+05	-7.4418E+04	-4.6153E+03	 1.1723E+06	 8.8399E+05	 5.9568E+05	 5.9568E+05	 3.0737E+05	 1.9063E+04	-5.9759E+06	-3.4055E+06	-1.5559E+06	-1.5559E+06	-4.2711E+05	-1.9061E+04
   13.6200	-2.3771E-01	-2.8403E+05	-2.1418E+05	-1.4432E+05	-1.4432E+05	-7.4472E+04	-4.6186E+03	 1.1723E+06	 8.8395E+05	 5.9566E+05	 5.9566E+05	 3.0736E+05	 1.9062E+04	-5.9756E+06	-3.4054E+06	-1.5559E+06	-1.5559E+06	-4.2709E+05	-1.9061E+04
   13.6300	-2.3789E-01	-2.8424E+05	-2.1433E+05	-1.4443E+05	-1.4443E+05	-7.4525E+04	-4.6219E+03	 1.1722E+06	 8.8392E+05	 5.9563E+05	 5.9563E+05	 3.0735E+05	 1.9061E+04	-5.9754E+06	-3.4052E+06	-1.5558E+06	-1.5558E+06	-4.2707E+05	-1.9060E+04
   13.6400	-2.3806E-01	-2.8444E+05	-2.1449E+05	-1.4453E+05	-1.4453E+05	-7.4579E+04	-4.6253E+03	 1.1722E+06	 8.8388E+05	 5.9561E+05	 5.9561E+05	 3.0733E+05	 1.9060E+04	-5.9751E+06	-3.4051E+06	-1.5557E+06	-1.5557E+06	-4.2705E+05	-1.9060E+04
   13.6500	-2.3824E-01	-2.8464E+05	-2.1464E+05	-1.4464E+05	-1.4464E+05	-7.4632E+04	-4.6285E+03	 1.1721E+06	 8.8384E+05	 5.9558E+05	 5.9558E+05	 3.0732E+05	 1.9060E+04	-5.9749E+06	-3.4049E+06	-1.5557E+06	-1.5557E+06	-4.2703E+05	-1.9059E+04
   13.6600	-2.3841E-01	-2.8485E+05	-2.1479E+05	-1.4474E+05	-1.4474E+05	-7.4686E+04	-4.6319E+03	 1.1721E+06	 8.8380E+05	 5.9556E+05	 5.9556E+05	 3.0731E+05	 1.9058E+04	-5.9746E+06	-3.4048E+06	-1.5556E+06	-1.5556E+06	-4.2702E+05	-1.9057E+04
   13.6700	-2.3859E-01	-2.8505E+05	-2.1495E+05	-1.4484E+05	-1.4484E+05	-7.4740E+04	-4.6352E+03	 1.1720E+06	 8.8377E+05	 5.9553E+05	 5.9553E+05	 3.0729E+05	 1.9057E+04	-5.9744E+06	-3.4047E+06	-1.5555E+06	-1.5555E+06	-4.2700E+05	-1.9057E+04
   13.6800	-2.3876E-01	-2.8526E+05	-2.1510E+05	-1.4495E+05	-1.4495E+05	-7.4793E+04	-4.6386E+03	 1.1720E+06	 8.8373E+05	 5.9551E+05	 5.9551E+05	 3.0728E+05	 1.9057E+04	-5.9741E+06	-3.4045E+06	-1.5555E+06	-1.5555E+06	-4.2698E+05	-1.9057E+04
   13.6900	-2.3894E-01	-2.8546E+05	-2.1526E+05	-1.4505E+05	-1.4505E+05	-7.4847E+04	-4.6419E+03	 1.1719E+06	 8.8369E+05	 5.9548E+05	 5.9548E+05	 3.0727E+05	 1.9057E+04	-5.9739E+06	-3.4044E+06	-1.5554E+06	-1.5554E+06	-4.2696E+05	-1.9054E+04
   13.7000	-2.3911E-01	-2.8567E+05	-2.1541E+05	-1.4516E+05	-1.4516E+05	-7.4901E+04	-4.6452E+03	 1.1719E+06	 8.8365E+05	 5.9545E+05	 5.9546E+05	 3.0726E+05	 1.9055E+04	-5.9736E+06	-3.4042E+06	-1.5553E+06	-1.5553E+06	-4.2694E+05	-1.9055E+04
   13.7100	-2.3929E-01	-2.8587E+05	-2.1557E+05	-1.4526E+05	-1.4526E+05	-7.4954E+04	-4.6485E+03	 1.1718E+06	 8.8362E+05	 5.9543E+05	 5.9543E+05	 3.0724E+05	 1.9055E+04	-5.9734E+06	-3.4041E+06	-1.5553E+06	-1.5553E+06	-4.2693E+05	-1.9053E+04
   13.7200	-2.3946E-01	-2.8608E+05	-2.1572E+05	-1.4536E+05	-1.4536E+05	-7.5008E+04	-4.6519E+03	 1.1718E+06	 8.8358E+05	 5.9540E+05	 5.9540E+05	 3.0723E+05	 1.9054E+04	-5.9731E+06	-3.4039E+06	-1.5552E+06	-1.5552E+06	-4.2691E+05	-1.9053E+04
   13.7300	-2.3963E-01	-2.8628E+05	-2.1587E+05	-1.4547E+05	-1.4547E+05	-7.5062E+04	-4.6552E+03	 1.1717E+06	 8.8354E+05	 5.9538E+05	 5.9538E+05	 3.0722E+05	 1.9053E+04	-5.9728E+06	-3.4038E+06	-1.5551E+06	-1.5551E+06	-4.2689E+05	-1.9053E+04
   13.7400	-2.3981E-01	-2.8649E+05	-2.1603E+05	-1.4557E+05	-1.4557E+05	-7.5115E+04	-4.6585E+03	 1.1717E+06	 8.8350E+05	 5.9535E+05	 5.9535E+05	 3.0720E+05	 1.9052E+04	-5.9726E+06	-3.4036E+06	-1.5551E+06	-1.5551E+06	-4.2687E+05	-1.9051E+04
   13.7500	-2.3998E-01	-2.8669E+05	-2.1618E+05	-1.4568E+05	-1.4568E+05	-7.5169E+04	-4.6618E+03	 1.1716E+06	 8.8347E+05	 5.9533E+05	 5.9533E+05	 3.0719E+05	 1.9051E+04	-5.9723E+06	-3.4035E+06	-1.5550E+06	-1.5550E+06	-4.2685E+05	-1.9051E+04
   13.7600	-2.4016E-01	-2.8689E+05	-2.1634E+05	-1.4578E+05	-1.4578E+05	-7.5222E+04	-4.6651E+03	 1.1716E+06	 8.8343E+05	 5.9530E+05	 5.9530E+05	 3.0718E+05	 1.9051E+04	-5.9721E+06	-3.4033E+06	-1.5549E+06	-1.5549E+06	-4.2683E+05	-1.9050E+04
   13.7700	-2.4033E-01	-2.8710E+05	-2.1649E+05	-1.4588E+05	-1.4588E+05	-7.5276E+04	-4.6685E+03	 1.1715E+06	 8.8339E+05	 5.9528E+05	 5.9528E+05	 3.0716E+05	 1.9049E+04	-5.9718E+06	-3.4032E+06	-1.5549E+06	-1.5549E+06	-4.2682E+05	-1.9050E+04
   13.7800	-2.4051E-01	-2.8730E+05	-2.1665E+05	-1.4599E+05	-1.4599E+05	-7.5330E+04	-4.6717E+03	 1.1715E+06	 8.8335E+05	 5.9525E+05	 5.9525E+05	 3.0715E+05	 1.9050E+04	-5.9716E+06	-3.4031E+06	-1.5548E+06	-1.5548E+06	-4.2680E+05	-1.9046E+04
   13.7900	-2.4068E-01	-2.8751E+05	-2.1680E+05	-1.4609E+05	-1.4609E+05	-7.5383E+04	-4.6751E+03	 1.1714E+06	 8.8332E+05	 5.9523E+05	 5.9523E+05	 3.0714E+05	 1.9049E+04	-5.9713E+06	-3.4029E+06	-1.5547E+06	-1.5547E+06	-4.2678E+05	-1.9047E+04
   13.8000	-2.4085E-01	-2.8771E+05	-2.1695E+05	-1.4620E+05	-1.4620E+05	-7.5437E+04	-4.6784E+03	 1.1714E+06	 8.8328E+05	 5.9520E+05	 5.9520E+05	 3.0712E+05	 1.9048E+04	-5.9711E+06	-3.4028E+06	-1.5547E+06	-1.5547E+06	-4.2676E+05	-1.9045E+04
   13.8100	-2.4103E-01	-2.8792E+05	-2.1711E+05	-1.4630E+05	-1.4630E+05	-7.5490E+04	-4.6818E+03	 1.1713E+06	 8.8324E+05	 5.9518E+05	 5.9518E+05	 3.0711E+05	 1.9047E+04	-5.9708E+06	-3.4026E+06	-1.5546E+06	-1.5546E+06	-4.2674E+05	-1.9046E+04
   13.8200	-2.4120E-01	-2.8812E+05	-2.1726E+05	-1.4640E+05	-1.4640E+05	-7.5544E+04	-4.6851E+03	 1.1713E+06	 8.8320E+05	 5.9515E+05	 5.9515E+05	 3.0710E+05	 1.9046E+04	-5.9705E+06	-3.4025E+06	-1.5545E+06	-1.5545E+06	-4.2672E+05	-1.9046E+04
   13.8300	-2.4138E-01	-2.8833E+05	-2.1742E+05	-1.4651E+05	-1.4651E+05	-7.5598E+04	-4.6884E+03	 1.1712E+06	 8.8316E+05	 5.9512E+05	 5.9512E+05	 3.0708E+05	 1.9045E+04	-5.9703E+06	-3.4023E+06	-1.5545E+06	-1.5545E+06	-4.2671E+05	-1.9044E+04
   13.8400	-2.4155E-01	-2.8853E+05	-2.1757E+05	-1.4661E+05	-1.4661E+05	-7.5651E+04	-4.6918E+03	 1.1712E+06	 8.8313E+05	 5.9510E+05	 5.9510E+05	 3.0707E+05	 1.9044E+04	-5.9700E+06	-3.4022E+06	-1.5544E+06	-1.5544E+06	-4.2669E+05	-1.9043E+04
   13.8500	-2.4173E-01	-2.8873E+05	-2.1772E+05	-1.4671E+05	-1.4671E+05	-7.5705E+04	-4.6951E+03	 1.1711E+06	 8.8309E+05	 5.9507E+05	 5.9507E+05	 3.0706E+05	 1.9043E+04	-5.9698E+06	-3.4020E+06	-1.5543E+06	-1.5543E+06	-4.2667E+05	-1.9043E+04
   13.8600	-2.4190E-01	-2.8894E+05	-2.1788E+05	-1.4682E+05	-1.4682E+05	-7.5759E+04	-4.6983E+03	 1.1711E+06	 8.8305E+05	 5.9505E+05	 5.9505E+05	 3.0705E+05	 1.9043E+04	-5.9695E+06	-3.4019E+06	-1.5543E+06	-1.5543E+06	-4.2665E+05	-1.9042E+04
   13.8700	-2.4208E-01	-2.8914E+05	-2.1803E+05	-1.4692E+05	-1.4692E+05	-7.5812E+04	-4.7017E+03	 1.1710E+06	 8.8301E+05	 5.9502E+05	 5.9502E+05	 3.0703E+05	 1.9041E+04	-5.9693E+06	-3.4017E+06	-1.5542E+06	-1.5542E+06	-4.2663E+05	-1.9041E+04
   13.8800	-2.4225E-01	-2.8935E+05	-2.1819E+05	-1.4703E+05	-1.4703E+05	-7.5866E+04	-4.7051E+03	 1.1710E+06	 8.8297E+05	 5.9500E+05	 5.9500E+05	 3.0702E+05	 1.9041E+04	-5.9690E+06	-3.4016E+06	-1.5541E+06	-1.5541E+06	-4.2661E+05	-1.9041E+04
   13.8900	-2.4243E-01	-2.8955E+05	-2.1834E+05	-1.4713E+05	-1.4713E+05	-7.5919E+04	-4.7084E+03	 1.1709E+06	 8.8294E+05	 5.9497E+05	 5.9497E+05	 3.0701E+05	 1.9039E+04	-5.9687E+06	-3.4014E+06	-1.5541E+06	-1.5541E+06	-4.2659E+05	-1.9040E+04
   13.9000	-2.4260E-01	-2.8976E+05	-2.1850E+05	-1.4723E+05	-1.4723E+05	-7.5973E+04	-4.7117E+03	 1.1709E+06	 8.8290E+05	 5.9494E+05	 5.9495E+05	 3.0699E+05	 1.9040E+04	-5.9685E+06	-3.4013E+06	-1.5540E+06	-1.5540E+06	-4.2658E+05	-1.9038E+04
   13.9100	-2.4277E-01	-2.8996E+05	-2.1865E+05	-1.4734E+05	-1.4734E+05	-7.6026E+04	-4.7150E+03	 1.1708E+06	 8.8286E+05	 5.9492E+05	 5.9492E+05	 3.0698E+05	 1.9039E+04	-5.9682E+06	-3.4012E+06	-1.5539E+06	-1.5539E+06	-4.2656E+05	-1.9037E+04
   13.9200	-2.4295E-01	-2.9017E+05	-2.1880E+05	-1.4744E+05	-1.4744E+05	-7.6080E+04	-4.7183E+03	 1.1707E+06	 8.8282E+05	 5.9489E+05	 5.9489E+05	 3.0697E+05	 1.9038E+04	-5.9680E+06	-3.4010E+06	-1.5539E+06	-1.5539E+06	-4.2654E+05	-1.9037E+04
   13.9300	-2.4312E-01	-2.9037E+05	-2.1896E+05	-1.4755E+05	-1.4755E+05	-7.6133E+04	-4.7216E+03	 1.1707E+06	 8.8278E+05	 5.9487E+05	 5.9487E+05	 3.0695E+05	 1.9037E+04	-5.9677E+06	-3.4009E+06	-1.5538E+06	-1.5538E+06	-4.2652E+05	-1.9035E+04
   13.9400	-2.4330E-01	-2.9057E+05	-2.1911E+05	-1.4765E+05	-1.4765E+05	-7.6187E+04	-4.7250E+03	 1.1706E+06	 8.8274E+05	 5.9484E+05	 5.9484E+05	 3.0694E+05	 1.9036E+04	-5.9675E+06	-3.4007E+06	-1.5537E+06	-1.5537E+06	-4.2650E+05	-1.9035E+04
   13.9500	-2.4347E-01	-2.9078E+05	-2.1927E+05	-1.4775E+05	-1.4775E+05	-7.6241E+04	-4.7283E+03	 1.1706E+06	 8.8271E+05	 5.9482E+05	 5.9482E+05	 3.0693E+05	 1.9035E+04	-5.9672E+06	-3.4006E+06	-1.5537E+06	-1.5537E+06	-4.2648E+05	-1.9035E+04
   13.9600	-2.4365E-01	-2.9098E+05	-2.1942E+05	-1.4786E+05	-1.4786E+05	-7.6294E+04	-4.7316E+03	 1.1705E+06	 8.8267E+05	 5.9479E+05	 5.9479E+05	 3.0691E+05	 1.9034E+04	-5.9669E+06	-3.4004E+06	-1.5536E+06	-1.5536E+06	-4.2647E+05	-1.9034E+04
   13.9700	-2.4382E-01	-2.9119E+05	-2.1957E+05	-1.4796E+05	-1.4796E+05	-7.6348E+04	-4.7349E+03	 1.1705E+06	 8.8263E+05	 5.9476E+05	 5.9476E+05	 3.0690E+05	 1.9034E+04	-5.9667E+06	-3.4003E+06	-1.5535E+06	-1.5535E+06	-4.2645E+05	-1.9033E+04
   13.9800	-2.4400E-01	-2.9139E+05	-2.1973E+05	-1.4806E+05	-1.4806E+05	-7.6401E+04	-4.7383E+03	 1.1704E+06	 8.8259E+05	 5.9474E+05	 5.9474E+05	 3.0689E+05	 1.9032E+04	-5.9664E+06	-3.4001E+06	-1.5535E+06	-1.5535E+06	-4.2643E+05	-1.9033E+04
   13.9900	-2.4417E-01	-2.9160E+05	-2.1988E+05	-1.4817E+05	-1.4817E+05	-7.6455E+04	-4.7416E+03	 1.1704E+06	 8.8255E+05	 5.9471E+05	 5.9471E+05	 3.0687E+05	 1.9031E+04	-5.9662E+06	-3.4000E+06	-1.5534E+06	-1.5534E+06	-4.2641E+05	-1.9031E+04
   14.0000	-2.4435E-01	-2.9180E+05	-2.2004E+05	-1.4827E+05	-1.4827E+05	-7.6508E+04	-4.7449E+03	 1.1703E+06	 8.8251E+05	 5.9469E+05	 5.9469E+05	 3.0686E+05	 1.9031E+04	-5.9659E+06	-3.3998E+06	-1.5533E+06	-1.5533E+06	-4.2639E+05	-1.9030E+04
   14.0100	-2.4452E-01	-2.9200E+05	-2.2019E+05	-1.4838E+05	-1.4838E+05	-7.6562E+04	-4.7482E+03	 1.1703E+06	 8.8248E+05	 5.9466E+05	 5.9466E+05	 3.0685E+05	 1.9030E+04	-5.9656E+06	-3.3997E+06	-1.5533E+06	-1.5533E+06	-4.2637E+05	-1.9029E+04
   14.0200	-2.4469E-01	-2.9221E+05	-2.2034E+05	-1.4848E+05	-1.4848E+05	-7.6616E+04	-4.7515E+03	 1.1702E+06	 8.8244E+05	 5.9463E+05	 5.9464E+05	 3.0683E+05	 1.9029E+04	-5.9654E+06	-3.3995E+06	-1.5532E+06	-1.5532E+06	-4.2636E+05	-1.9028E+04
   14.0300	-2.4487E-01	-2.9241E+05	-2.2050E+05	-1.4858E+05	-1.4858E+05	-7.6669E+04	-4.7549E+03	 1.1702E+06	 8.8240E+05	 5.9461E+05	 5.9461E+05	 3.0682E+05	 1.9028E+04	-5.9651E+06	-3.3994E+06	-1.5531E+06	-1.5531E+06	-4.2634E+05	-1.9028E+04
   14.0400	-2.4504E-01	-2.9262E+05	-2.2065E+05	-1.4869E+05	-1.4869E+05	-7.6723E+04	-4.7582E+03	 1.1701E+06	 8.8236E+05	 5.9458E+05	 5.9458E+05	 3.0681E+05	 1.9028E+04	-5.9649E+06	-3.3992E+06	-1.5531E+06	-1.5531E+06	-4.2632E+05	-1.9026E+04
   14.0500	-2.4522E-01	-2.9282E+05	-2.2081E+05	-1.4879E+05	-1.4879E+05	-7.6776E+04	-4.7615E+03	 1.1701E+06	 8.8232E+05	 5.9456E+05	 5.9456E+05	 3.0679E+05	 1.9027E+04	-5.9646E+06	-3.3991E+06	-1.5530E+06	-1.5530E+06	-4.2630E+05	-1.9025E+04
   14.0600	-2.4539E-01	-2.9302E+05	-2.2096E+05	-1.4889E+05	-1.4889E+05	-7.6830E+04	-4.7648E+03	 1.1700E+06	 8.8228E+05	 5.9453E+05	 5.9453E+05	 3.0678E+05	 1.9026E+04	-5.9643E+06	-3.3989E+06	-1.5529E+06	-1.5529E+06	-4.2628E+05	-1.9026E+04
   14.0700	-2.4557E-01	-2.9323E+05	-2.2111E+05	-1.4900E+05	-1.4900E+05	-7.6883E+04	-4.7681E+03	 1.1700E+06	 8.8225E+05	 5.9450E+05	 5.9451E+05	 3.0677E+05	 1.9025E+04	-5.9641E+06	-3.3988E+06	-1.5529E+06	-1.5529E+06	-4.2626E+05	-1.9024E+04
   14.0800	-2.4574E-01	-2.9343E+05	-2.2127E+05	-1.4910E+05	-1.4910E+05	-7.6937E+04	-4.7714E+03	 1.1699E+06	 8.8221E+05	 5.9448E+05	 5.9448E+05	 3.0675E+05	 1.9024E+04	-5.9638E+06	-3.3986E+06	-1.5528E+06	-1.5528E+06	-4.2624E+05	-1.9023E+04
   14.0900	-2.4592E-01	-2.9364E+05	-2.2142E+05	-1.4921E+05	-1.4921E+05	-7.6990E+04	-4.7748E+03	 1.1699E+06	 8.8217E+05	 5.9445E+05	 5.9445E+05	 3.0674E+05	 1.9023E+04	-5.9636E+06	-3.3985E+06	-1.5527E+06	-1.5527E+06	-4.2622E+05	-1.9022E+04
   14.1000	-2.4609E-01	-2.9384E+05	-2.2158E+05	-1.4931E+05	-1.4931E+05	-7.7044E+04	-4.7781E+03	 1.1698E+06	 8.8213E+05	 5.9443E+05	 5.9443E+05	 3.0673E+05	 1.9023E+04	-5.9633E+06	-3.3983E+06	-1.5526E+06	-1.5526E+06	-4.2621E+05	-1.9021E+04
   14.1100	-2.4627E-01	-2.9405E+05	-2.2173E+05	-1.4941E+05	-1.4941E+05	-7.7097E+04	-4.7814E+03	 1.1698E+06	 8.8209E+05	 5.9440E+05	 5.9440E+05	 3.0671E+05	 1.9022E+04	-5.9630E+06	-3.3982E+06	-1.5526E+06	-1.5526E+06	-4.2619E+05	-1.9020E+04
   14.1200	-2.4644E-01	-2.9425E+05	-2.2188E+05	-1.4952E+05	-1.4952E+05	-7.7151E+04	-4.7847E+03	 1.1697E+06	 8.8205E+05	 5.9437E+05	 5.9438E+05	 3.0670E+05	 1.9021E+04	-5.9628E+06	-3.3980E+06	-1.5525E+06	-1.5525E+06	-4.2617E+05	-1.9021E+04
   14.1300	-2.4661E-01	-2.9445E+05	-2.2204E+05	-1.4962E+05	-1.4962E+05	-7.7205E+04	-4.7880E+03	 1.1697E+06	 8.8201E+05	 5.9435E+05	 5.9435E+05	 3.0668E+05	 1.9020E+04	-5.9625E+06	-3.3979E+06	-1.5524E+06	-1.5524E+06	-4.2615E+05	-1.9019E+04
   14.1400	-2.4679E-01	-2.9466E+05	-2.2219E+05	-1.4972E+05	-1.4972E+05	-7.7258E+04	-4.7914E+03	 1.1696E+06	 8.8197E+05	 5.9432E+05	 5.9432E+05	 3.0667E+05	 1.9019E+04	-5.9622E+06	-3.3977E+06	-1.5524E+06	-1.5524E+06	-4.2613E+05	-1.9019E+04
   14.1500	-2.4696E-01	-2.9486E+05	-2.2235E+05	-1.4983E+05	-1.4983E+05	-7.7312E+04	-4.7947E+03	 1.1696E+06	 8.8194E+05	 5.9430E+05	 5.9430E+05	 3.0666E+05	 1.9019E+04	-5.9620E+06	-3.3976E+06	-1.5523E+06	-1.5523E+06	-4.2611E+05	-1.9017E+04
   14.1600	-2.4714E-01	-2.9507E+05	-2.2250E+05	-1.4993E+05	-1.4993E+05	-7.7365E+04	-4.7980E+03	 1.1695E+06	 8.8190E+05	 5.9427E+05	 5.9427E+05	 3.0664E+05	 1.9017E+04	-5.9617E+06	-3.3974E+06	-1.5522E+06	-1.5522E+06	-4.2609E+05	-1.9018E+04
   14.1700	-2.4731E-01	-2.9527E+05	-2.2265E+05	-1.5004E+05	-1.5004E+05	-7.7419E+04	-4.8014E+03	 1.1695E+06	 8.8186E+05	 5.9424E+05	 5.9424E+05	 3.0663E+05	 1.9016E+04	-5.9615E+06	-3.3973E+06	-1.5522E+06	-1.5522E+06	-4.2608E+05	-1.9017E+04
   14.1800	-2.4749E-01	-2.9547E+05	-2.2281E+05	-1.5014E+05	-1.5014E+05	-7.7472E+04	-4.8047E+03	 1.1694E+06	 8.8182E+05	 5.9422E+05	 5.9422E+05	 3.0662E+05	 1.9016E+04	-5.9612E+06	-3.3971E+06	-1.5521E+06	-1.5521E+06	-4.2606E+05	-1.9014E+04
   14.1900	-2.4766E-01	-2.9568E+05	-2.2296E+05	-1.5024E+05	-1.5024E+05	-7.7526E+04	-4.8080E+03	 1.1694E+06	 8.8178E+05	 5.9419E+05	 5.9419E+05	 3.0660E+05	 1.9015E+04	-5.9609E+06	-3.3970E+06	-1.5520E+06	-1.5520E+06	-4.2604E+05	-1.9015E+04
   14.2000	-2.4784E-01	-2.9588E+05	-2.2312E+05	-1.5035E+05	-1.5035E+05	-7.7579E+04	-4.8113E+03	 1.1693E+06	 8.8174E+05	 5.9417E+05	 5.9417E+05	 3.0659E+05	 1.9014E+04	-5.9607E+06	-3.3968E+06	-1.5520E+06	-1.5520E+06	-4.2602E+05	-1.9013E+04
   14.2100	-2.4801E-01	-2.9609E+05	-2.2327E+05	-1.5045E+05	-1.5045E+05	-7.7633E+04	-4.8145E+03	 1.1693E+06	 8.8170E+05	 5.9414E+05	 5.9414E+05	 3.0658E+05	 1.9014E+04	-5.9604E+06	-3.3967E+06	-1.5519E+06	-1.5519E+06	-4.2600E+05	-1.9011E+04
   14.2200	-2.4819E-01	-2.9629E+05	-2.2342E+05	-1.5055E+05	-1.5055E+05	-7.7686E+04	-4.8179E+03	 1.1692E+06	 8.8166E+05	 5.9411E+05	 5.9411E+05	 3.0656E+05	 1.9013E+04	-5.9601E+06	-3.3965E+06	-1.5518E+06	-1.5518E+06	-4.2598E+05	-1.9010E+04
   14.2300	-2.4836E-01	-2.9649E+05	-2.2358E+05	-1.5066E+05	-1.5066E+05	-7.7740E+04	-4.8213E+03	 1.1692E+06	 8.8162E+05	 5.9409E+05	 5.9409E+05	 3.0655E+05	 1.9012E+04	-5.9599E+06	-3.3964E+06	-1.5518E+06	-1.5518E+06	-4.2596E+05	-1.9010E+04
