
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:21.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   29.5000  -5.0000000E+00   0.0000000E+00  -1.8283290E+01  -0.0000000E+00   9.0000000E+01
   29.6000  -5.0000000E+00   0.0000000E+00  -1.8349500E+01  -0.0000000E+00   9.0000000E+01
   29.7000  -5.0000000E+00   0.0000000E+00  -1.8415746E+01  -0.0000000E+00   9.0000000E+01
   29.8000  -5.0000000E+00   0.0000000E+00  -1.8482028E+01  -0.0000000E+00   9.0000000E+01
   29.9000  -5.0000000E+00   0.0000000E+00  -1.8548344E+01  -0.0000000E+00   9.0000000E+01
   30.0000  -5.0000000E+00   0.0000000E+00  -1.8614695E+01  -0.0000000E+00   9.0000000E+01
   30.1000  -5.0000000E+00   0.0000000E+00  -1.8681079E+01  -0.0000000E+00   9.0000000E+01
   30.2000  -5.0000000E+00   0.0000000E+00  -1.8747498E+01  -0.0000000E+00   9.0000000E+01
   30.3000  -5.0000000E+00   0.0000000E+00  -1.8813949E+01  -0.0000000E+00   9.0000000E+01
   30.4000  -5.0000000E+00   0.0000000E+00  -1.8880433E+01  -0.0000000E+00   9.0000000E+01
   30.5000  -5.0000000E+00   0.0000000E+00  -1.8946950E+01  -0.0000000E+00   9.0000000E+01
   30.6000  -5.0000000E+00   0.0000000E+00  -1.9013498E+01  -0.0000000E+00   9.0000000E+01
   30.7000  -5.0000000E+00   0.0000000E+00  -1.9080078E+01  -0.0000000E+00   9.0000000E+01
   30.8000  -5.0000000E+00   0.0000000E+00  -1.9146689E+01  -0.0000000E+00   9.0000000E+01
   30.9000  -5.0000000E+00   0.0000000E+00  -1.9213331E+01  -0.0000000E+00   9.0000000E+01
   31.0000  -5.0000000E+00   0.0000000E+00  -1.9280004E+01  -0.0000000E+00   9.0000000E+01
   31.1000  -5.0000000E+00   0.0000000E+00  -1.9346706E+01  -0.0000000E+00   9.0000000E+01
   31.2000  -5.0000000E+00   0.0000000E+00  -1.9413438E+01  -0.0000000E+00   9.0000000E+01
   31.3000  -5.0000000E+00   0.0000000E+00  -1.9480199E+01  -0.0000000E+00   9.0000000E+01
   31.4000  -5.0000000E+00   0.0000000E+00  -1.9546989E+01  -0.0000000E+00   9.0000000E+01
   31.5000  -5.0000000E+00   0.0000000E+00  -1.9613807E+01  -0.0000000E+00   9.0000000E+01
   31.6000  -5.0000000E+00   0.0000000E+00  -1.9680654E+01  -0.0000000E+00   9.0000000E+01
   31.7000  -5.0000000E+00   0.0000000E+00  -1.9747528E+01  -0.0000000E+00   9.0000000E+01
