
These predictions were generated by SeaState on 31-May-2023 at 21:35:36.




      Time       Wave1Elev
   (sec)             (m)
   58.0000   0.3285753E+00
   58.1250   0.4006924E+00
   58.2500   0.4643279E+00
   58.3750   0.5183047E+00
   58.5000   0.5616485E+00
   58.6250   0.5936075E+00
   58.7500   0.6136676E+00
   58.8750   0.6215631E+00
   59.0000   0.6172811E+00
   59.1250   0.6010607E+00
   59.2500   0.5733861E+00
   59.3750   0.5349745E+00
   59.5000   0.4867580E+00
   59.6250   0.4298601E+00
   59.7500   0.3655690E+00
   59.8750   0.2953047E+00
   60.0000   0.2205851E+00
   60.1250   0.1429879E+00
   60.2500   0.6411254E-01
   60.3750  -0.1445974E-01
   60.5000  -0.9120434E-01
   60.6250  -0.1646902E+00
   60.7500  -0.2336141E+00
   60.8750  -0.2968318E+00
   61.0000  -0.3533840E+00
   61.1250  -0.4025179E+00
   61.2500  -0.4437017E+00
   61.3750  -0.4766345E+00
   61.5000  -0.5012486E+00
   61.6250  -0.5177042E+00
   61.7500  -0.5263804E+00
   61.8750  -0.5278571E+00
   62.0000  -0.5228926E+00
   62.1250  -0.5123963E+00
   62.2500  -0.4973956E+00
   62.3750  -0.4790029E+00
   62.5000  -0.4583762E+00
   62.6250  -0.4366824E+00
   62.7500  -0.4150574E+00
   62.8750  -0.3945718E+00
   63.0000  -0.3761944E+00
   63.1250  -0.3607629E+00
   63.2500  -0.3489579E+00
   63.3750  -0.3412813E+00
   63.5000  -0.3380423E+00
   63.6250  -0.3393495E+00
   63.7500  -0.3451084E+00
   63.8750  -0.3550281E+00
   64.0000  -0.3686320E+00
   64.1250  -0.3852761E+00
   64.2500  -0.4041727E+00
   64.3750  -0.4244180E+00
   64.5000  -0.4450245E+00
   64.6250  -0.4649554E+00
   64.7500  -0.4831605E+00
   64.8750  -0.4986125E+00
   65.0000  -0.5103428E+00
   65.1250  -0.5174737E+00
   65.2500  -0.5192496E+00
   65.3750  -0.5150612E+00
   65.5000  -0.5044670E+00
   65.6250  -0.4872078E+00
   65.7500  -0.4632149E+00
   65.8750  -0.4326119E+00
   66.0000  -0.3957106E+00
   66.1250  -0.3529998E+00
   66.2500  -0.3051283E+00
   66.3750  -0.2528829E+00
   66.5000  -0.1971624E+00
   66.6250  -0.1389472E+00
   66.7500  -0.7926705E-01
   66.8750  -0.1916788E-01
   67.0000   0.4032149E-01
   67.1250   0.9822201E-01
   67.2500   0.1536337E+00
   67.3750   0.2057619E+00
   67.5000   0.2539395E+00
   67.6250   0.2976438E+00
   67.7500   0.3365074E+00
   67.8750   0.3703232E+00
   68.0000   0.3990440E+00
   68.1250   0.4227752E+00
   68.2500   0.4417621E+00
   68.3750   0.4563724E+00
   68.5000   0.4670741E+00
   68.6250   0.4744099E+00
   68.7500   0.4789703E+00
   68.8750   0.4813637E+00
   69.0000   0.4821882E+00
   69.1250   0.4820037E+00
   69.2500   0.4813068E+00
   69.3750   0.4805084E+00
   69.5000   0.4799170E+00
   69.6250   0.4797249E+00
   69.7500   0.4800026E+00
   69.8750   0.4806972E+00
   70.0000   0.4816370E+00
   70.1250   0.4825432E+00
   70.2500   0.4830454E+00
   70.3750   0.4827025E+00
   70.5000   0.4810287E+00
   70.6250   0.4775198E+00
   70.7500   0.4716833E+00
   70.8750   0.4630683E+00
   71.0000   0.4512951E+00
   71.1250   0.4360805E+00
   71.2500   0.4172634E+00
   71.3750   0.3948219E+00
   71.5000   0.3688880E+00
   71.6250   0.3397539E+00
   71.7500   0.3078732E+00
   71.8750   0.2738534E+00
   72.0000   0.2384422E+00
   72.1250   0.2025071E+00
   72.2500   0.1670076E+00
   72.3750   0.1329638E+00
   72.5000   0.1014192E+00
   72.6250   0.7339989E-01
   72.7500   0.4987450E-01
   72.8750   0.3171183E-01
   73.0000   0.1964101E-01
   73.1250   0.1421458E-01
   73.2500   0.1577672E-01
   73.3750   0.2443708E-01
   73.5000   0.4005302E-01
   73.6250   0.6221871E-01
   73.7500   0.9026545E-01
   73.8750   0.1232698E+00
   74.0000   0.1600730E+00
   74.1250   0.1993085E+00
   74.2500   0.2394394E+00
   74.3750   0.2788028E+00
   74.5000   0.3156624E+00
   74.6250   0.3482636E+00
   74.7500   0.3748940E+00
   74.8750   0.3939445E+00
   75.0000   0.4039693E+00
   75.1250   0.4037428E+00
   75.2500   0.3923120E+00
   75.3750   0.3690419E+00
   75.5000   0.3336509E+00
   75.6250   0.2862368E+00
   75.7500   0.2272914E+00
   75.8750   0.1577018E+00
   76.0000   0.7873830E-01
   76.1250  -0.7969310E-02
   76.2500  -0.1004704E+00
   76.3750  -0.1965409E+00
   76.5000  -0.2937454E+00
   76.6250  -0.3895043E+00
   76.7500  -0.4811704E+00
   76.8750  -0.5661100E+00
   77.0000  -0.6417848E+00
   77.1250  -0.7058353E+00
