
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
   38.2820   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2840   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2860   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2880   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2900   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2920   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2940   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2960   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.2980   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3000   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3020   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3040   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3060   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3080   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3100   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3120   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3140   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3160   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3180   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3200   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3220   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3240   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3260   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3280   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3300   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3320   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
