
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:51.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    1.8500	 1.1190E-01	 3.5429E-01
    1.8550	 1.1201E-01	 3.5460E-01
    1.8600	 1.1213E-01	 3.5495E-01
    1.8650	 1.1225E-01	 3.5530E-01
    1.8700	 1.1236E-01	 3.5563E-01
    1.8750	 1.1245E-01	 3.5590E-01
    1.8800	 1.1252E-01	 3.5608E-01
    1.8850	 1.1255E-01	 3.5617E-01
    1.8900	 1.1255E-01	 3.5616E-01
    1.8950	 1.1251E-01	 3.5605E-01
    1.9000	 1.1244E-01	 3.5586E-01
    1.9050	 1.1235E-01	 3.5560E-01
    1.9100	 1.1225E-01	 3.5530E-01
    1.9150	 1.1214E-01	 3.5500E-01
    1.9200	 1.1205E-01	 3.5472E-01
    1.9250	 1.1196E-01	 3.5448E-01
    1.9300	 1.1190E-01	 3.5430E-01
    1.9350	 1.1187E-01	 3.5421E-01
    1.9400	 1.1187E-01	 3.5420E-01
    1.9450	 1.1189E-01	 3.5428E-01
    1.9500	 1.1195E-01	 3.5443E-01
    1.9550	 1.1202E-01	 3.5464E-01
    1.9600	 1.1211E-01	 3.5489E-01
    1.9650	 1.1220E-01	 3.5515E-01
    1.9700	 1.1228E-01	 3.5540E-01
    1.9750	 1.1236E-01	 3.5561E-01
    1.9800	 1.1241E-01	 3.5577E-01
    1.9850	 1.1245E-01	 3.5587E-01
    1.9900	 1.1245E-01	 3.5589E-01
    1.9950	 1.1243E-01	 3.5584E-01
    2.0000	 1.1239E-01	 3.5572E-01
    2.0050	 1.1233E-01	 3.5555E-01
    2.0100	 1.1226E-01	 3.5534E-01
    2.0150	 1.1219E-01	 3.5512E-01
    2.0200	 1.1211E-01	 3.5490E-01
    2.0250	 1.1204E-01	 3.5471E-01
    2.0300	 1.1199E-01	 3.5456E-01
    2.0350	 1.1196E-01	 3.5447E-01
    2.0400	 1.1195E-01	 3.5444E-01
    2.0450	 1.1196E-01	 3.5447E-01
    2.0500	 1.1199E-01	 3.5456E-01
    2.0550	 1.1204E-01	 3.5470E-01
    2.0600	 1.1210E-01	 3.5487E-01
    2.0650	 1.1217E-01	 3.5506E-01
    2.0700	 1.1223E-01	 3.5525E-01
    2.0750	 1.1229E-01	 3.5542E-01
    2.0800	 1.1234E-01	 3.5555E-01
    2.0850	 1.1237E-01	 3.5564E-01
    2.0900	 1.1238E-01	 3.5568E-01
    2.0950	 1.1237E-01	 3.5566E-01
    2.1000	 1.1235E-01	 3.5559E-01
    2.1050	 1.1231E-01	 3.5548E-01
    2.1100	 1.1226E-01	 3.5534E-01
    2.1150	 1.1221E-01	 3.5518E-01
    2.1200	 1.1215E-01	 3.5502E-01
    2.1250	 1.1210E-01	 3.5487E-01
    2.1300	 1.1206E-01	 3.5475E-01
    2.1350	 1.1203E-01	 3.5466E-01
    2.1400	 1.1201E-01	 3.5462E-01
    2.1450	 1.1202E-01	 3.5463E-01
    2.1500	 1.1203E-01	 3.5468E-01
    2.1550	 1.1206E-01	 3.5477E-01
    2.1600	 1.1210E-01	 3.5488E-01
    2.1650	 1.1215E-01	 3.5502E-01
    2.1700	 1.1220E-01	 3.5516E-01
    2.1750	 1.1224E-01	 3.5529E-01
    2.1800	 1.1228E-01	 3.5540E-01
    2.1850	 1.1231E-01	 3.5548E-01
    2.1900	 1.1232E-01	 3.5552E-01
    2.1950	 1.1233E-01	 3.5552E-01
    2.2000	 1.1231E-01	 3.5549E-01
    2.2050	 1.1229E-01	 3.5542E-01
    2.2100	 1.1226E-01	 3.5532E-01
    2.2150	 1.1222E-01	 3.5521E-01
    2.2200	 1.1218E-01	 3.5509E-01
    2.2250	 1.1214E-01	 3.5497E-01
    2.2300	 1.1210E-01	 3.5488E-01
    2.2350	 1.1208E-01	 3.5480E-01
    2.2400	 1.1206E-01	 3.5476E-01
    2.2450	 1.1206E-01	 3.5475E-01
    2.2500	 1.1207E-01	 3.5477E-01
    2.2550	 1.1209E-01	 3.5483E-01
    2.2600	 1.1211E-01	 3.5491E-01
    2.2650	 1.1215E-01	 3.5500E-01
    2.2700	 1.1218E-01	 3.5510E-01
    2.2750	 1.1222E-01	 3.5520E-01
    2.2800	 1.1225E-01	 3.5529E-01
    2.2850	 1.1227E-01	 3.5536E-01
    2.2900	 1.1228E-01	 3.5540E-01
    2.2950	 1.1229E-01	 3.5541E-01
    2.3000	 1.1228E-01	 3.5540E-01
    2.3050	 1.1227E-01	 3.5536E-01
    2.3100	 1.1225E-01	 3.5529E-01
    2.3150	 1.1222E-01	 3.5522E-01
    2.3200	 1.1219E-01	 3.5513E-01
    2.3250	 1.1216E-01	 3.5504E-01
    2.3300	 1.1213E-01	 3.5497E-01
    2.3350	 1.1211E-01	 3.5490E-01
    2.3400	 1.1210E-01	 3.5486E-01
    2.3450	 1.1209E-01	 3.5485E-01
    2.3500	 1.1209E-01	 3.5485E-01
    2.3550	 1.1211E-01	 3.5489E-01
    2.3600	 1.1212E-01	 3.5494E-01
    2.3650	 1.1215E-01	 3.5500E-01
    2.3700	 1.1217E-01	 3.5508E-01
    2.3750	 1.1220E-01	 3.5515E-01
    2.3800	 1.1222E-01	 3.5522E-01
    2.3850	 1.1224E-01	 3.5527E-01
    2.3900	 1.1225E-01	 3.5531E-01
    2.3950	 1.1226E-01	 3.5533E-01
    2.4000	 1.1226E-01	 3.5533E-01
    2.4050	 1.1225E-01	 3.5531E-01
    2.4100	 1.1224E-01	 3.5526E-01
    2.4150	 1.1222E-01	 3.5521E-01
    2.4200	 1.1220E-01	 3.5515E-01
    2.4250	 1.1217E-01	 3.5509E-01
    2.4300	 1.1215E-01	 3.5503E-01
    2.4350	 1.1214E-01	 3.5498E-01
    2.4400	 1.1212E-01	 3.5494E-01
    2.4450	 1.1212E-01	 3.5492E-01
    2.4500	 1.1212E-01	 3.5492E-01
    2.4550	 1.1212E-01	 3.5493E-01
    2.4600	 1.1213E-01	 3.5497E-01
    2.4650	 1.1215E-01	 3.5501E-01
    2.4700	 1.1217E-01	 3.5506E-01
    2.4750	 1.1219E-01	 3.5512E-01
    2.4800	 1.1220E-01	 3.5517E-01
    2.4850	 1.1222E-01	 3.5521E-01
    2.4900	 1.1223E-01	 3.5525E-01
    2.4950	 1.1224E-01	 3.5527E-01
    2.5000	 1.1224E-01	 3.5527E-01
    2.5050	 1.1224E-01	 3.5526E-01
