





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   12.4000   1.674882E+06   1.196033E+06   2.529993E+05  -6.797032E+06  -1.767745E+07   2.136540E+07
   12.5000   1.625042E+06   1.067043E+06   3.318764E+05  -1.151467E+07  -1.585573E+07   1.995867E+07
   12.6000   1.564554E+06   9.293249E+05   4.075401E+05  -1.618777E+07  -1.392446E+07   1.844343E+07
   12.7000   1.493955E+06   7.838456E+05   4.794739E+05  -2.078458E+07  -1.189975E+07   1.683062E+07
   12.8000   1.413849E+06   6.316276E+05   5.471901E+05  -2.527373E+07  -9.798296E+06   1.513169E+07
   12.9000   1.324899E+06   4.737434E+05   6.102334E+05  -2.962446E+07  -7.637282E+06   1.335853E+07
   13.0000   1.227820E+06   3.113077E+05   6.681837E+05  -3.380681E+07  -5.434233E+06   1.152338E+07
   13.1000   1.123380E+06   1.454699E+05   7.206589E+05  -3.779182E+07  -3.206891E+06   9.638774E+06
   13.2000   1.012387E+06  -2.259392E+04   7.673174E+05  -4.155174E+07  -9.730827E+05   7.717412E+06
   13.3000   8.956908E+05  -1.916890E+05   8.078602E+05  -4.506019E+07   1.249414E+06   5.772108E+06
   13.4000   7.741691E+05  -3.606100E+05   8.420330E+05  -4.829239E+07   3.442997E+06   3.815694E+06
   13.5000   6.487268E+05  -5.281496E+05   8.696275E+05  -5.122525E+07   5.590372E+06   1.860935E+06
   13.6000   5.202871E+05  -6.931064E+05   8.904829E+05  -5.383762E+07   7.674676E+06  -7.955133E+04
   13.7000   3.897860E+05  -8.542935E+05   9.044866E+05  -5.611035E+07   9.679602E+06  -1.993375E+06
   13.8000   2.581653E+05  -1.010547E+06   9.115748E+05  -5.802649E+07   1.158951E+07  -3.868456E+06
   13.9000   1.263660E+05  -1.160732E+06   9.117329E+05  -5.957134E+07   1.338956E+07  -5.693097E+06
   14.0000  -4.677553E+03  -1.303754E+06   9.049954E+05  -6.073263E+07   1.506578E+07  -7.456056E+06
   14.1000  -1.340446E+05  -1.438563E+06   8.914451E+05  -6.150054E+07   1.660520E+07  -9.146618E+06
   14.2000  -2.608340E+05  -1.564163E+06   8.712128E+05  -6.186779E+07   1.799593E+07  -1.075466E+07
   14.3000  -3.841702E+05  -1.679618E+06   8.444759E+05  -6.182974E+07   1.922726E+07  -1.227069E+07
   14.4000  -5.032090E+05  -1.784057E+06   8.114573E+05  -6.138433E+07   2.028969E+07  -1.368596E+07
   14.5000  -6.171432E+05  -1.876685E+06   7.724232E+05  -6.053222E+07   2.117505E+07  -1.499243E+07
   14.6000  -7.252080E+05  -1.956780E+06   7.276815E+05  -5.927667E+07   2.187652E+07  -1.618290E+07
   14.7000  -8.266856E+05  -2.023708E+06   6.775796E+05  -5.762364E+07   2.238869E+07  -1.725098E+07
   14.8000  -9.209100E+05  -2.076920E+06   6.225015E+05  -5.558167E+07   2.270761E+07  -1.819116E+07
   14.9000  -1.007271E+06  -2.115958E+06   5.628654E+05  -5.316189E+07   2.283077E+07  -1.899884E+07
   15.0000  -1.085219E+06  -2.140462E+06   4.991203E+05  -5.037790E+07   2.275717E+07  -1.967031E+07
   15.1000  -1.154267E+06  -2.150165E+06   4.317434E+05  -4.724575E+07   2.248729E+07  -2.020283E+07
   15.2000  -1.213992E+06  -2.144903E+06   3.612362E+05  -4.378382E+07   2.202310E+07  -2.059458E+07
   15.3000  -1.264043E+06  -2.124611E+06   2.881212E+05  -4.001267E+07   2.136803E+07  -2.084468E+07
