## This file was generated by InflowWind_Driver on 19-May-2021 at 13:54:50.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
#        T                X                Y                Z                U                V                W
#       (s)              (m)              (m)              (m)             (m/s)            (m/s)            (m/s)
    30.0000000       -3.5000000        1.5000000      147.5000000       15.6672198       -0.7433192       -0.4226630
    30.0000000       -3.5000000        2.5000000      147.5000000       15.3727394       -0.5421498       -0.4785985
    30.0000000       -3.5000000        3.5000000      147.5000000       15.0782590       -0.3409803       -0.5345339
    30.0000000       -3.5000000        4.5000000      147.5000000       14.7837786       -0.1398109       -0.5904694
    30.0000000       -3.5000000       -4.5000000      148.5000000       15.2326723        0.6114264        1.4448610
    30.0000000       -3.5000000       -3.5000000      148.5000000       15.3873919        0.2655533        1.0211741
    30.0000000       -3.5000000       -2.5000000      148.5000000       15.5421114       -0.0803199        0.5974872
    30.0000000       -3.5000000       -1.5000000      148.5000000       15.6968309       -0.4261930        0.1738003
    30.0000000       -3.5000000       -0.5000000      148.5000000       15.8515505       -0.7720662       -0.2498866
    30.0000000       -3.5000000        0.5000000      148.5000000       15.7969981       -0.8564062       -0.4495862
    30.0000000       -3.5000000        1.5000000      148.5000000       15.5331739       -0.6792130       -0.4252986
    30.0000000       -3.5000000        2.5000000      148.5000000       15.2693497       -0.5020198       -0.4010110
    30.0000000       -3.5000000        3.5000000      148.5000000       15.0055254       -0.3248266       -0.3767234
    30.0000000       -3.5000000        4.5000000      148.5000000       14.7417012       -0.1476334       -0.3524358
    30.0000000       -3.5000000       -4.5000000      149.5000000       15.2513473        0.5146572        1.3157737
    30.0000000       -3.5000000       -3.5000000      149.5000000       15.3204358        0.2261105        0.9082952
    30.0000000       -3.5000000       -2.5000000      149.5000000       15.3895243       -0.0624362        0.5008166
    30.0000000       -3.5000000       -1.5000000      149.5000000       15.4586129       -0.3509829        0.0933381
    30.0000000       -3.5000000       -0.5000000      149.5000000       15.5277014       -0.6395296       -0.3141405
    30.0000000       -3.5000000        0.5000000      149.5000000       15.4358046       -0.7329300       -0.4822208
    30.0000000       -3.5000000        1.5000000      149.5000000       15.1829226       -0.6311842       -0.4109031
    30.0000000       -3.5000000        2.5000000      149.5000000       14.9300405       -0.5294384       -0.3395853
    30.0000000       -3.5000000        3.5000000      149.5000000       14.6771585       -0.4276925       -0.2682675
    30.0000000       -3.5000000        4.5000000      149.5000000       14.4242765       -0.3259467       -0.1969497
    30.0000000       -3.5000000       -4.5000000      150.5000000       15.2700223        0.4178880        1.1866865
    30.0000000       -3.5000000       -3.5000000      150.5000000       15.2534798        0.1866677        0.7954163
    30.0000000       -3.5000000       -2.5000000      150.5000000       15.2369373       -0.0445525        0.4041460
    30.0000000       -3.5000000       -1.5000000      150.5000000       15.2203948       -0.2757728        0.0128758
    30.0000000       -3.5000000       -0.5000000      150.5000000       15.2038523       -0.5069930       -0.3783944
    30.0000000       -3.5000000        0.5000000      150.5000000       15.0746111       -0.6094539       -0.5148555
    30.0000000       -3.5000000        1.5000000      150.5000000       14.8326713       -0.5831554       -0.3965075
    30.0000000       -3.5000000        2.5000000      150.5000000       14.5907314       -0.5568569       -0.2781595
    30.0000000       -3.5000000        3.5000000      150.5000000       14.3487916       -0.5305584       -0.1598116
    30.0000000       -3.5000000        4.5000000      150.5000000       14.1068517       -0.5042599       -0.0414636
    30.0000000       -3.5000000       -4.5000000      151.5000000       15.2886973        0.3211188        1.0575992
    30.0000000       -3.5000000       -3.5000000      151.5000000       15.1865238        0.1472250        0.6825373
    30.0000000       -3.5000000       -2.5000000      151.5000000       15.0843502       -0.0266688        0.3074755
    30.0000000       -3.5000000       -1.5000000      151.5000000       14.9821767       -0.2005627       -0.0675864
    30.0000000       -3.5000000       -0.5000000      151.5000000       14.8800032       -0.3744565       -0.4426483
    30.0000000       -3.5000000        0.5000000      151.5000000       14.7134176       -0.4859778       -0.5474901
    30.0000000       -3.5000000        1.5000000      151.5000000       14.4824199       -0.5351266       -0.3821120
    30.0000000       -3.5000000        2.5000000      151.5000000       14.2514223       -0.5842755       -0.2167338
    30.0000000       -3.5000000        3.5000000      151.5000000       14.0204247       -0.6334243       -0.0513556
    30.0000000       -3.5000000        4.5000000      151.5000000       13.7894270       -0.6825732        0.1140225
    30.0000000       -3.5000000       -4.5000000      152.5000000       15.3073723        0.2243496        0.9285119
    30.0000000       -3.5000000       -3.5000000      152.5000000       15.1195677        0.1077822        0.5696584
    30.0000000       -3.5000000       -2.5000000      152.5000000       14.9317632       -0.0087852        0.2108049
    30.0000000       -3.5000000       -1.5000000      152.5000000       14.7439586       -0.1253525       -0.1480487
    30.0000000       -3.5000000       -0.5000000      152.5000000       14.5561541       -0.2419199       -0.5069022
    30.0000000       -3.5000000        0.5000000      152.5000000       14.3522241       -0.3625017       -0.5801248
    30.0000000       -3.5000000        1.5000000      152.5000000       14.1321686       -0.4870978       -0.3677164
    30.0000000       -3.5000000        2.5000000      152.5000000       13.9121132       -0.6116940       -0.1553081
