
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:03.




    Time	  M1N1TDxss	  M1N2TDxss	  M2N1TDxss
    2.0950	 1.1199E-01	 2.1178E-01	 9.5369E-01
    2.1000	 1.1237E-01	 2.1259E-01	 9.5652E-01
    2.1050	 1.1274E-01	 2.1336E-01	 9.5923E-01
    2.1100	 1.1307E-01	 2.1408E-01	 9.6172E-01
    2.1150	 1.1337E-01	 2.1470E-01	 9.6391E-01
    2.1200	 1.1361E-01	 2.1522E-01	 9.6571E-01
    2.1250	 1.1379E-01	 2.1561E-01	 9.6707E-01
    2.1300	 1.1390E-01	 2.1586E-01	 9.6793E-01
    2.1350	 1.1395E-01	 2.1595E-01	 9.6827E-01
    2.1400	 1.1393E-01	 2.1590E-01	 9.6809E-01
    2.1450	 1.1384E-01	 2.1571E-01	 9.6741E-01
    2.1500	 1.1368E-01	 2.1538E-01	 9.6627E-01
    2.1550	 1.1347E-01	 2.1493E-01	 9.6471E-01
    2.1600	 1.1322E-01	 2.1439E-01	 9.6280E-01
    2.1650	 1.1293E-01	 2.1377E-01	 9.6064E-01
    2.1700	 1.1261E-01	 2.1310E-01	 9.5830E-01
    2.1750	 1.1229E-01	 2.1240E-01	 9.5588E-01
    2.1800	 1.1196E-01	 2.1172E-01	 9.5348E-01
    2.1850	 1.1166E-01	 2.1106E-01	 9.5119E-01
    2.1900	 1.1137E-01	 2.1046E-01	 9.4910E-01
    2.1950	 1.1113E-01	 2.0994E-01	 9.4728E-01
    2.2000	 1.1093E-01	 2.0952E-01	 9.4581E-01
    2.2050	 1.1079E-01	 2.0921E-01	 9.4472E-01
    2.2100	 1.1070E-01	 2.0902E-01	 9.4407E-01
    2.2150	 1.1067E-01	 2.0896E-01	 9.4385E-01
    2.2200	 1.1070E-01	 2.0902E-01	 9.4408E-01
    2.2250	 1.1079E-01	 2.0921E-01	 9.4474E-01
    2.2300	 1.1093E-01	 2.0951E-01	 9.4579E-01
    2.2350	 1.1112E-01	 2.0991E-01	 9.4718E-01
    2.2400	 1.1134E-01	 2.1039E-01	 9.4885E-01
    2.2450	 1.1159E-01	 2.1093E-01	 9.5073E-01
    2.2500	 1.1187E-01	 2.1151E-01	 9.5275E-01
    2.2550	 1.1214E-01	 2.1210E-01	 9.5482E-01
    2.2600	 1.1242E-01	 2.1268E-01	 9.5686E-01
    2.2650	 1.1268E-01	 2.1324E-01	 9.5879E-01
    2.2700	 1.1291E-01	 2.1374E-01	 9.6054E-01
    2.2750	 1.1311E-01	 2.1417E-01	 9.6204E-01
    2.2800	 1.1328E-01	 2.1451E-01	 9.6325E-01
    2.2850	 1.1339E-01	 2.1476E-01	 9.6411E-01
    2.2900	 1.1346E-01	 2.1490E-01	 9.6460E-01
    2.2950	 1.1347E-01	 2.1494E-01	 9.6472E-01
    2.3000	 1.1344E-01	 2.1486E-01	 9.6445E-01
    2.3050	 1.1335E-01	 2.1468E-01	 9.6383E-01
    2.3100	 1.1323E-01	 2.1441E-01	 9.6288E-01
    2.3150	 1.1306E-01	 2.1406E-01	 9.6165E-01
    2.3200	 1.1286E-01	 2.1364E-01	 9.6018E-01
    2.3250	 1.1264E-01	 2.1317E-01	 9.5854E-01
    2.3300	 1.1241E-01	 2.1267E-01	 9.5681E-01
    2.3350	 1.1217E-01	 2.1216E-01	 9.5504E-01
    2.3400	 1.1194E-01	 2.1167E-01	 9.5331E-01
    2.3450	 1.1172E-01	 2.1120E-01	 9.5168E-01
    2.3500	 1.1153E-01	 2.1078E-01	 9.5022E-01
    2.3550	 1.1136E-01	 2.1042E-01	 9.4898E-01
    2.3600	 1.1123E-01	 2.1014E-01	 9.4800E-01
    2.3650	 1.1114E-01	 2.0995E-01	 9.4732E-01
    2.3700	 1.1109E-01	 2.0984E-01	 9.4695E-01
    2.3750	 1.1108E-01	 2.0983E-01	 9.4691E-01
    2.3800	 1.1112E-01	 2.0991E-01	 9.4719E-01
    2.3850	 1.1120E-01	 2.1008E-01	 9.4778E-01
    2.3900	 1.1131E-01	 2.1033E-01	 9.4864E-01
    2.3950	 1.1146E-01	 2.1064E-01	 9.4973E-01
    2.4000	 1.1163E-01	 2.1101E-01	 9.5102E-01
    2.4050	 1.1182E-01	 2.1142E-01	 9.5243E-01
    2.4100	 1.1202E-01	 2.1184E-01	 9.5393E-01
    2.4150	 1.1223E-01	 2.1228E-01	 9.5544E-01
    2.4200	 1.1242E-01	 2.1270E-01	 9.5691E-01
    2.4250	 1.1261E-01	 2.1309E-01	 9.5827E-01
    2.4300	 1.1277E-01	 2.1344E-01	 9.5949E-01
    2.4350	 1.1291E-01	 2.1373E-01	 9.6052E-01
    2.4400	 1.1302E-01	 2.1396E-01	 9.6131E-01
    2.4450	 1.1309E-01	 2.1411E-01	 9.6184E-01
    2.4500	 1.1312E-01	 2.1419E-01	 9.6210E-01
    2.4550	 1.1312E-01	 2.1418E-01	 9.6209E-01
    2.4600	 1.1308E-01	 2.1410E-01	 9.6180E-01
    2.4650	 1.1301E-01	 2.1394E-01	 9.6126E-01
    2.4700	 1.1290E-01	 2.1372E-01	 9.6048E-01
    2.4750	 1.1277E-01	 2.1345E-01	 9.5952E-01
    2.4800	 1.1262E-01	 2.1312E-01	 9.5840E-01
    2.4850	 1.1246E-01	 2.1277E-01	 9.5717E-01
    2.4900	 1.1229E-01	 2.1240E-01	 9.5589E-01
    2.4950	 1.1211E-01	 2.1204E-01	 9.5460E-01
    2.5000	 1.1195E-01	 2.1168E-01	 9.5336E-01
    2.5050	 1.1179E-01	 2.1135E-01	 9.5221E-01
    2.5100	 1.1166E-01	 2.1106E-01	 9.5119E-01
    2.5150	 1.1154E-01	 2.1082E-01	 9.5035E-01
    2.5200	 1.1146E-01	 2.1064E-01	 9.4971E-01
    2.5250	 1.1140E-01	 2.1052E-01	 9.4929E-01
    2.5300	 1.1138E-01	 2.1046E-01	 9.4911E-01
    2.5350	 1.1138E-01	 2.1048E-01	 9.4917E-01
    2.5400	 1.1142E-01	 2.1056E-01	 9.4946E-01
    2.5450	 1.1149E-01	 2.1071E-01	 9.4996E-01
    2.5500	 1.1158E-01	 2.1091E-01	 9.5065E-01
    2.5550	 1.1170E-01	 2.1115E-01	 9.5150E-01
    2.5600	 1.1183E-01	 2.1143E-01	 9.5248E-01
    2.5650	 1.1197E-01	 2.1173E-01	 9.5354E-01
    2.5700	 1.1212E-01	 2.1205E-01	 9.5464E-01
    2.5750	 1.1227E-01	 2.1236E-01	 9.5574E-01
    2.5800	 1.1241E-01	 2.1266E-01	 9.5679E-01
    2.5850	 1.1254E-01	 2.1294E-01	 9.5775E-01
    2.5900	 1.1265E-01	 2.1318E-01	 9.5860E-01
    2.5950	 1.1274E-01	 2.1338E-01	 9.5929E-01
    2.6000	 1.1281E-01	 2.1353E-01	 9.5980E-01
    2.6050	 1.1286E-01	 2.1362E-01	 9.6012E-01
    2.6100	 1.1287E-01	 2.1365E-01	 9.6024E-01
    2.6150	 1.1286E-01	 2.1363E-01	 9.6015E-01
    2.6200	 1.1282E-01	 2.1355E-01	 9.5987E-01
    2.6250	 1.1276E-01	 2.1342E-01	 9.5941E-01
    2.6300	 1.1268E-01	 2.1324E-01	 9.5879E-01
    2.6350	 1.1258E-01	 2.1302E-01	 9.5804E-01
    2.6400	 1.1246E-01	 2.1278E-01	 9.5719E-01
    2.6450	 1.1234E-01	 2.1252E-01	 9.5628E-01
    2.6500	 1.1221E-01	 2.1225E-01	 9.5534E-01
    2.6550	 1.1209E-01	 2.1198E-01	 9.5440E-01
    2.6600	 1.1197E-01	 2.1173E-01	 9.5352E-01
    2.6650	 1.1186E-01	 2.1149E-01	 9.5271E-01
    2.6700	 1.1177E-01	 2.1129E-01	 9.5201E-01
    2.6750	 1.1169E-01	 2.1113E-01	 9.5145E-01
    2.6800	 1.1164E-01	 2.1102E-01	 9.5104E-01
    2.6850	 1.1160E-01	 2.1095E-01	 9.5080E-01
    2.6900	 1.1159E-01	 2.1093E-01	 9.5073E-01
    2.6950	 1.1161E-01	 2.1096E-01	 9.5083E-01
    2.7000	 1.1164E-01	 2.1103E-01	 9.5110E-01
    2.7050	 1.1170E-01	 2.1115E-01	 9.5151E-01
    2.7100	 1.1177E-01	 2.1131E-01	 9.5207E-01
    2.7150	 1.1186E-01	 2.1150E-01	 9.5272E-01
    2.7200	 1.1196E-01	 2.1171E-01	 9.5346E-01
    2.7250	 1.1207E-01	 2.1194E-01	 9.5425E-01
    2.7300	 1.1218E-01	 2.1217E-01	 9.5506E-01
    2.7350	 1.1228E-01	 2.1239E-01	 9.5585E-01
    2.7400	 1.1238E-01	 2.1261E-01	 9.5660E-01
    2.7450	 1.1247E-01	 2.1280E-01	 9.5727E-01
    2.7500	 1.1255E-01	 2.1297E-01	 9.5785E-01
    2.7550	 1.1261E-01	 2.1310E-01	 9.5831E-01
    2.7600	 1.1266E-01	 2.1319E-01	 9.5863E-01
    2.7650	 1.1268E-01	 2.1324E-01	 9.5882E-01
    2.7700	 1.1268E-01	 2.1325E-01	 9.5885E-01
    2.7750	 1.1267E-01	 2.1322E-01	 9.5873E-01
    2.7800	 1.1264E-01	 2.1315E-01	 9.5848E-01
    2.7850	 1.1258E-01	 2.1304E-01	 9.5810E-01
    2.7900	 1.1252E-01	 2.1290E-01	 9.5761E-01
    2.7950	 1.1244E-01	 2.1273E-01	 9.5704E-01
    2.8000	 1.1236E-01	 2.1255E-01	 9.5640E-01
    2.8050	 1.1226E-01	 2.1236E-01	 9.5572E-01
    2.8100	 1.1217E-01	 2.1216E-01	 9.5503E-01
    2.8150	 1.1208E-01	 2.1197E-01	 9.5436E-01
    2.8200	 1.1200E-01	 2.1179E-01	 9.5373E-01
    2.8250	 1.1192E-01	 2.1162E-01	 9.5316E-01
    2.8300	 1.1186E-01	 2.1149E-01	 9.5269E-01
    2.8350	 1.1181E-01	 2.1138E-01	 9.5231E-01
    2.8400	 1.1177E-01	 2.1131E-01	 9.5206E-01
    2.8450	 1.1175E-01	 2.1127E-01	 9.5193E-01
    2.8500	 1.1175E-01	 2.1127E-01	 9.5192E-01
    2.8550	 1.1177E-01	 2.1130E-01	 9.5204E-01
    2.8600	 1.1180E-01	 2.1137E-01	 9.5228E-01
    2.8650	 1.1185E-01	 2.1147E-01	 9.5262E-01
    2.8700	 1.1191E-01	 2.1159E-01	 9.5305E-01
    2.8750	 1.1197E-01	 2.1174E-01	 9.5355E-01
    2.8800	 1.1205E-01	 2.1190E-01	 9.5411E-01
    2.8850	 1.1213E-01	 2.1206E-01	 9.5469E-01
    2.8900	 1.1221E-01	 2.1223E-01	 9.5528E-01
    2.8950	 1.1228E-01	 2.1239E-01	 9.5585E-01
    2.9000	 1.1235E-01	 2.1255E-01	 9.5638E-01
    2.9050	 1.1242E-01	 2.1268E-01	 9.5685E-01
    2.9100	 1.1247E-01	 2.1279E-01	 9.5724E-01
    2.9150	 1.1251E-01	 2.1288E-01	 9.5754E-01
    2.9200	 1.1254E-01	 2.1294E-01	 9.5774E-01
    2.9250	 1.1255E-01	 2.1296E-01	 9.5784E-01
    2.9300	 1.1255E-01	 2.1296E-01	 9.5782E-01
    2.9350	 1.1253E-01	 2.1293E-01	 9.5770E-01
    2.9400	 1.1250E-01	 2.1286E-01	 9.5748E-01
    2.9450	 1.1246E-01	 2.1277E-01	 9.5718E-01
    2.9500	 1.1241E-01	 2.1267E-01	 9.5679E-01
    2.9550	 1.1235E-01	 2.1254E-01	 9.5635E-01
    2.9600	 1.1228E-01	 2.1240E-01	 9.5587E-01
    2.9650	 1.1222E-01	 2.1226E-01	 9.5537E-01
    2.9700	 1.1215E-01	 2.1211E-01	 9.5487E-01
    2.9750	 1.1209E-01	 2.1198E-01	 9.5439E-01
    2.9800	 1.1203E-01	 2.1185E-01	 9.5395E-01
    2.9850	 1.1197E-01	 2.1174E-01	 9.5355E-01
    2.9900	 1.1193E-01	 2.1164E-01	 9.5323E-01
    2.9950	 1.1190E-01	 2.1158E-01	 9.5299E-01
    3.0000	 1.1188E-01	 2.1153E-01	 9.5284E-01
    3.0050	 1.1187E-01	 2.1151E-01	 9.5277E-01
    3.0100	 1.1187E-01	 2.1152E-01	 9.5280E-01
    3.0150	 1.1189E-01	 2.1155E-01	 9.5292E-01
    3.0200	 1.1192E-01	 2.1161E-01	 9.5312E-01
    3.0250	 1.1195E-01	 2.1169E-01	 9.5340E-01
    3.0300	 1.1200E-01	 2.1179E-01	 9.5373E-01
    3.0350	 1.1205E-01	 2.1190E-01	 9.5412E-01
    3.0400	 1.1210E-01	 2.1202E-01	 9.5453E-01
    3.0450	 1.1216E-01	 2.1214E-01	 9.5496E-01
    3.0500	 1.1222E-01	 2.1226E-01	 9.5539E-01
    3.0550	 1.1227E-01	 2.1238E-01	 9.5579E-01
    3.0600	 1.1232E-01	 2.1249E-01	 9.5617E-01
    3.0650	 1.1237E-01	 2.1258E-01	 9.5649E-01
    3.0700	 1.1240E-01	 2.1265E-01	 9.5675E-01
    3.0750	 1.1243E-01	 2.1271E-01	 9.5695E-01
    3.0800	 1.1245E-01	 2.1274E-01	 9.5707E-01
    3.0850	 1.1245E-01	 2.1275E-01	 9.5711E-01
    3.0900	 1.1245E-01	 2.1274E-01	 9.5707E-01
    3.0950	 1.1243E-01	 2.1271E-01	 9.5695E-01
    3.1000	 1.1241E-01	 2.1266E-01	 9.5677E-01
    3.1050	 1.1237E-01	 2.1259E-01	 9.5652E-01
    3.1100	 1.1233E-01	 2.1250E-01	 9.5623E-01
    3.1150	 1.1229E-01	 2.1241E-01	 9.5589E-01
    3.1200	 1.1224E-01	 2.1230E-01	 9.5554E-01
    3.1250	 1.1219E-01	 2.1220E-01	 9.5517E-01
    3.1300	 1.1214E-01	 2.1210E-01	 9.5481E-01
    3.1350	 1.1210E-01	 2.1200E-01	 9.5446E-01
    3.1400	 1.1205E-01	 2.1191E-01	 9.5415E-01
    3.1450	 1.1202E-01	 2.1183E-01	 9.5388E-01
    3.1500	 1.1199E-01	 2.1177E-01	 9.5367E-01
    3.1550	 1.1197E-01	 2.1173E-01	 9.5351E-01
    3.1600	 1.1196E-01	 2.1170E-01	 9.5342E-01
    3.1650	 1.1195E-01	 2.1169E-01	 9.5340E-01
    3.1700	 1.1196E-01	 2.1171E-01	 9.5345E-01
    3.1750	 1.1197E-01	 2.1174E-01	 9.5356E-01
    3.1800	 1.1200E-01	 2.1179E-01	 9.5372E-01
    3.1850	 1.1203E-01	 2.1185E-01	 9.5394E-01
    3.1900	 1.1206E-01	 2.1192E-01	 9.5420E-01
    3.1950	 1.1210E-01	 2.1200E-01	 9.5449E-01
    3.2000	 1.1214E-01	 2.1209E-01	 9.5480E-01
    3.2050	 1.1218E-01	 2.1218E-01	 9.5511E-01
    3.2100	 1.1222E-01	 2.1227E-01	 9.5542E-01
    3.2150	 1.1226E-01	 2.1235E-01	 9.5571E-01
    3.2200	 1.1230E-01	 2.1243E-01	 9.5597E-01
    3.2250	 1.1233E-01	 2.1249E-01	 9.5619E-01
    3.2300	 1.1235E-01	 2.1254E-01	 9.5637E-01
    3.2350	 1.1237E-01	 2.1258E-01	 9.5649E-01
    3.2400	 1.1238E-01	 2.1260E-01	 9.5656E-01
    3.2450	 1.1238E-01	 2.1260E-01	 9.5656E-01
    3.2500	 1.1237E-01	 2.1259E-01	 9.5652E-01
    3.2550	 1.1236E-01	 2.1256E-01	 9.5641E-01
    3.2600	 1.1234E-01	 2.1251E-01	 9.5626E-01
    3.2650	 1.1231E-01	 2.1246E-01	 9.5607E-01
    3.2700	 1.1228E-01	 2.1239E-01	 9.5584E-01
    3.2750	 1.1225E-01	 2.1232E-01	 9.5559E-01
    3.2800	 1.1221E-01	 2.1224E-01	 9.5533E-01
    3.2850	 1.1218E-01	 2.1217E-01	 9.5506E-01
    3.2900	 1.1214E-01	 2.1209E-01	 9.5480E-01
    3.2950	 1.1211E-01	 2.1202E-01	 9.5455E-01
    3.3000	 1.1208E-01	 2.1196E-01	 9.5434E-01
    3.3050	 1.1205E-01	 2.1191E-01	 9.5415E-01
    3.3100	 1.1203E-01	 2.1187E-01	 9.5401E-01
    3.3150	 1.1202E-01	 2.1184E-01	 9.5391E-01
    3.3200	 1.1202E-01	 2.1183E-01	 9.5387E-01
    3.3250	 1.1202E-01	 2.1183E-01	 9.5387E-01
    3.3300	 1.1202E-01	 2.1184E-01	 9.5392E-01
    3.3350	 1.1204E-01	 2.1187E-01	 9.5401E-01
    3.3400	 1.1205E-01	 2.1191E-01	 9.5415E-01
    3.3450	 1.1208E-01	 2.1196E-01	 9.5432E-01
    3.3500	 1.1210E-01	 2.1201E-01	 9.5452E-01
    3.3550	 1.1213E-01	 2.1208E-01	 9.5474E-01
    3.3600	 1.1216E-01	 2.1214E-01	 9.5496E-01
    3.3650	 1.1219E-01	 2.1221E-01	 9.5519E-01
    3.3700	 1.1222E-01	 2.1227E-01	 9.5541E-01
    3.3750	 1.1225E-01	 2.1233E-01	 9.5562E-01
    3.3800	 1.1227E-01	 2.1238E-01	 9.5580E-01
    3.3850	 1.1230E-01	 2.1242E-01	 9.5595E-01
    3.3900	 1.1231E-01	 2.1246E-01	 9.5606E-01
    3.3950	 1.1232E-01	 2.1248E-01	 9.5614E-01
    3.4000	 1.1233E-01	 2.1249E-01	 9.5617E-01
    3.4050	 1.1232E-01	 2.1248E-01	 9.5616E-01
    3.4100	 1.1232E-01	 2.1247E-01	 9.5611E-01
    3.4150	 1.1231E-01	 2.1244E-01	 9.5603E-01
    3.4200	 1.1229E-01	 2.1241E-01	 9.5590E-01
    3.4250	 1.1227E-01	 2.1237E-01	 9.5575E-01
    3.4300	 1.1225E-01	 2.1232E-01	 9.5558E-01
    3.4350	 1.1222E-01	 2.1226E-01	 9.5539E-01
    3.4400	 1.1219E-01	 2.1221E-01	 9.5520E-01
    3.4450	 1.1217E-01	 2.1215E-01	 9.5500E-01
    3.4500	 1.1214E-01	 2.1210E-01	 9.5481E-01
    3.4550	 1.1212E-01	 2.1205E-01	 9.5464E-01
    3.4600	 1.1210E-01	 2.1201E-01	 9.5449E-01
    3.4650	 1.1208E-01	 2.1197E-01	 9.5437E-01
    3.4700	 1.1207E-01	 2.1194E-01	 9.5428E-01
    3.4750	 1.1206E-01	 2.1193E-01	 9.5422E-01
    3.4800	 1.1206E-01	 2.1192E-01	 9.5420E-01
    3.4850	 1.1206E-01	 2.1193E-01	 9.5421E-01
    3.4900	 1.1207E-01	 2.1194E-01	 9.5426E-01
    3.4950	 1.1208E-01	 2.1196E-01	 9.5434E-01
    3.5000	 1.1209E-01	 2.1199E-01	 9.5445E-01
    3.5050	 1.1211E-01	 2.1203E-01	 9.5458E-01
    3.5100	 1.1213E-01	 2.1207E-01	 9.5473E-01
    3.5150	 1.1215E-01	 2.1212E-01	 9.5490E-01
    3.5200	 1.1218E-01	 2.1217E-01	 9.5506E-01
    3.5250	 1.1220E-01	 2.1222E-01	 9.5523E-01
    3.5300	 1.1222E-01	 2.1226E-01	 9.5539E-01
    3.5350	 1.1224E-01	 2.1230E-01	 9.5553E-01
    3.5400	 1.1226E-01	 2.1234E-01	 9.5565E-01
    3.5450	 1.1227E-01	 2.1237E-01	 9.5576E-01
    3.5500	 1.1228E-01	 2.1239E-01	 9.5583E-01
    3.5550	 1.1228E-01	 2.1240E-01	 9.5587E-01
    3.5600	 1.1229E-01	 2.1241E-01	 9.5589E-01
    3.5650	 1.1228E-01	 2.1240E-01	 9.5587E-01
    3.5700	 1.1228E-01	 2.1239E-01	 9.5582E-01
    3.5750	 1.1227E-01	 2.1237E-01	 9.5575E-01
    3.5800	 1.1226E-01	 2.1234E-01	 9.5565E-01
    3.5850	 1.1224E-01	 2.1230E-01	 9.5553E-01
    3.5900	 1.1222E-01	 2.1227E-01	 9.5540E-01
    3.5950	 1.1220E-01	 2.1223E-01	 9.5526E-01
    3.6000	 1.1218E-01	 2.1219E-01	 9.5512E-01
    3.6050	 1.1216E-01	 2.1215E-01	 9.5498E-01
    3.6100	 1.1215E-01	 2.1211E-01	 9.5485E-01
    3.6150	 1.1213E-01	 2.1207E-01	 9.5473E-01
    3.6200	 1.1212E-01	 2.1204E-01	 9.5462E-01
    3.6250	 1.1211E-01	 2.1202E-01	 9.5454E-01
    3.6300	 1.1210E-01	 2.1200E-01	 9.5448E-01
    3.6350	 1.1209E-01	 2.1199E-01	 9.5445E-01
    3.6400	 1.1209E-01	 2.1199E-01	 9.5444E-01
    3.6450	 1.1210E-01	 2.1200E-01	 9.5446E-01
    3.6500	 1.1210E-01	 2.1201E-01	 9.5451E-01
    3.6550	 1.1211E-01	 2.1203E-01	 9.5457E-01
    3.6600	 1.1212E-01	 2.1205E-01	 9.5466E-01
    3.6650	 1.1214E-01	 2.1208E-01	 9.5476E-01
    3.6700	 1.1215E-01	 2.1212E-01	 9.5488E-01
    3.6750	 1.1217E-01	 2.1215E-01	 9.5500E-01
    3.6800	 1.1218E-01	 2.1219E-01	 9.5512E-01
    3.6850	 1.1220E-01	 2.1222E-01	 9.5524E-01
    3.6900	 1.1221E-01	 2.1225E-01	 9.5535E-01
    3.6950	 1.1223E-01	 2.1228E-01	 9.5545E-01
    3.7000	 1.1224E-01	 2.1230E-01	 9.5554E-01
    3.7050	 1.1225E-01	 2.1232E-01	 9.5560E-01
    3.7100	 1.1225E-01	 2.1234E-01	 9.5565E-01
    3.7150	 1.1226E-01	 2.1234E-01	 9.5567E-01
    3.7200	 1.1226E-01	 2.1234E-01	 9.5567E-01
    3.7250	 1.1226E-01	 2.1234E-01	 9.5565E-01
    3.7300	 1.1225E-01	 2.1233E-01	 9.5561E-01
    3.7350	 1.1224E-01	 2.1231E-01	 9.5555E-01
    3.7400	 1.1223E-01	 2.1229E-01	 9.5548E-01
    3.7450	 1.1222E-01	 2.1226E-01	 9.5539E-01
    3.7500	 1.1221E-01	 2.1223E-01	 9.5529E-01
    3.7550	 1.1219E-01	 2.1220E-01	 9.5518E-01
    3.7600	 1.1218E-01	 2.1217E-01	 9.5508E-01
    3.7650	 1.1216E-01	 2.1215E-01	 9.5498E-01
    3.7700	 1.1215E-01	 2.1212E-01	 9.5488E-01
    3.7750	 1.1214E-01	 2.1209E-01	 9.5480E-01
    3.7800	 1.1213E-01	 2.1207E-01	 9.5473E-01
    3.7850	 1.1212E-01	 2.1206E-01	 9.5468E-01
    3.7900	 1.1212E-01	 2.1205E-01	 9.5464E-01
    3.7950	 1.1212E-01	 2.1204E-01	 9.5462E-01
    3.8000	 1.1212E-01	 2.1204E-01	 9.5463E-01
    3.8050	 1.1212E-01	 2.1205E-01	 9.5465E-01
    3.8100	 1.1213E-01	 2.1206E-01	 9.5469E-01
    3.8150	 1.1213E-01	 2.1208E-01	 9.5474E-01
    3.8200	 1.1214E-01	 2.1210E-01	 9.5481E-01
    3.8250	 1.1215E-01	 2.1212E-01	 9.5488E-01
    3.8300	 1.1216E-01	 2.1214E-01	 9.5497E-01
    3.8350	 1.1218E-01	 2.1217E-01	 9.5506E-01
    3.8400	 1.1219E-01	 2.1219E-01	 9.5515E-01
    3.8450	 1.1220E-01	 2.1222E-01	 9.5523E-01
    3.8500	 1.1221E-01	 2.1224E-01	 9.5531E-01
    3.8550	 1.1222E-01	 2.1226E-01	 9.5538E-01
    3.8600	 1.1223E-01	 2.1228E-01	 9.5544E-01
    3.8650	 1.1223E-01	 2.1229E-01	 9.5548E-01
    3.8700	 1.1224E-01	 2.1230E-01	 9.5551E-01
    3.8750	 1.1224E-01	 2.1230E-01	 9.5552E-01
    3.8800	 1.1224E-01	 2.1230E-01	 9.5552E-01
    3.8850	 1.1223E-01	 2.1229E-01	 9.5550E-01
    3.8900	 1.1223E-01	 2.1228E-01	 9.5546E-01
    3.8950	 1.1222E-01	 2.1227E-01	 9.5541E-01
    3.9000	 1.1222E-01	 2.1225E-01	 9.5535E-01
    3.9050	 1.1221E-01	 2.1223E-01	 9.5529E-01
    3.9100	 1.1220E-01	 2.1221E-01	 9.5521E-01
    3.9150	 1.1219E-01	 2.1219E-01	 9.5514E-01
    3.9200	 1.1218E-01	 2.1217E-01	 9.5506E-01
    3.9250	 1.1217E-01	 2.1215E-01	 9.5499E-01
    3.9300	 1.1216E-01	 2.1213E-01	 9.5492E-01
    3.9350	 1.1215E-01	 2.1211E-01	 9.5486E-01
    3.9400	 1.1214E-01	 2.1210E-01	 9.5482E-01
    3.9450	 1.1214E-01	 2.1209E-01	 9.5478E-01
    3.9500	 1.1214E-01	 2.1208E-01	 9.5476E-01
    3.9550	 1.1213E-01	 2.1208E-01	 9.5475E-01
    3.9600	 1.1214E-01	 2.1208E-01	 9.5476E-01
    3.9650	 1.1214E-01	 2.1209E-01	 9.5478E-01
    3.9700	 1.1214E-01	 2.1210E-01	 9.5481E-01
    3.9750	 1.1215E-01	 2.1211E-01	 9.5486E-01
    3.9800	 1.1216E-01	 2.1212E-01	 9.5491E-01
    3.9850	 1.1216E-01	 2.1214E-01	 9.5497E-01
    3.9900	 1.1217E-01	 2.1216E-01	 9.5503E-01
    3.9950	 1.1218E-01	 2.1218E-01	 9.5510E-01
    4.0000	 1.1219E-01	 2.1220E-01	 9.5516E-01
    4.0050	 1.1220E-01	 2.1221E-01	 9.5522E-01
    4.0100	 1.1220E-01	 2.1223E-01	 9.5528E-01
    4.0150	 1.1221E-01	 2.1224E-01	 9.5532E-01
    4.0200	 1.1222E-01	 2.1226E-01	 9.5536E-01
    4.0250	 1.1222E-01	 2.1226E-01	 9.5539E-01
    4.0300	 1.1222E-01	 2.1227E-01	 9.5541E-01
    4.0350	 1.1222E-01	 2.1227E-01	 9.5541E-01
    4.0400	 1.1222E-01	 2.1227E-01	 9.5540E-01
    4.0450	 1.1222E-01	 2.1226E-01	 9.5538E-01
    4.0500	 1.1222E-01	 2.1225E-01	 9.5536E-01
    4.0550	 1.1221E-01	 2.1224E-01	 9.5532E-01
    4.0600	 1.1220E-01	 2.1223E-01	 9.5527E-01
    4.0650	 1.1220E-01	 2.1221E-01	 9.5522E-01
    4.0700	 1.1219E-01	 2.1220E-01	 9.5516E-01
    4.0750	 1.1218E-01	 2.1218E-01	 9.5511E-01
    4.0800	 1.1217E-01	 2.1217E-01	 9.5505E-01
    4.0850	 1.1217E-01	 2.1215E-01	 9.5500E-01
    4.0900	 1.1216E-01	 2.1214E-01	 9.5496E-01
    4.0950	 1.1216E-01	 2.1213E-01	 9.5492E-01
    4.1000	 1.1215E-01	 2.1212E-01	 9.5489E-01
    4.1050	 1.1215E-01	 2.1211E-01	 9.5486E-01
    4.1100	 1.1215E-01	 2.1211E-01	 9.5485E-01
    4.1150	 1.1215E-01	 2.1211E-01	 9.5485E-01
    4.1200	 1.1215E-01	 2.1211E-01	 9.5486E-01
    4.1250	 1.1215E-01	 2.1212E-01	 9.5488E-01
    4.1300	 1.1215E-01	 2.1212E-01	 9.5490E-01
    4.1350	 1.1216E-01	 2.1213E-01	 9.5494E-01
    4.1400	 1.1216E-01	 2.1214E-01	 9.5498E-01
    4.1450	 1.1217E-01	 2.1216E-01	 9.5502E-01
    4.1500	 1.1218E-01	 2.1217E-01	 9.5507E-01
    4.1550	 1.1218E-01	 2.1218E-01	 9.5512E-01
    4.1600	 1.1219E-01	 2.1220E-01	 9.5516E-01
    4.1650	 1.1220E-01	 2.1221E-01	 9.5521E-01
    4.1700	 1.1220E-01	 2.1222E-01	 9.5524E-01
    4.1750	 1.1220E-01	 2.1223E-01	 9.5528E-01
    4.1800	 1.1221E-01	 2.1224E-01	 9.5530E-01
    4.1850	 1.1221E-01	 2.1224E-01	 9.5532E-01
    4.1900	 1.1221E-01	 2.1225E-01	 9.5533E-01
    4.1950	 1.1221E-01	 2.1225E-01	 9.5533E-01
    4.2000	 1.1221E-01	 2.1224E-01	 9.5532E-01
