
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    3.6400	 8.4148E-08	 6.9911E-02
    3.6500	 8.4294E-08	 7.0040E-02
    3.6600	 8.4437E-08	 7.0167E-02
    3.6700	 8.4577E-08	 7.0291E-02
    3.6800	 8.4714E-08	 7.0414E-02
    3.6900	 8.4848E-08	 7.0534E-02
    3.7000	 8.4979E-08	 7.0653E-02
    3.7100	 8.5108E-08	 7.0769E-02
    3.7200	 8.5234E-08	 7.0883E-02
    3.7300	 8.5357E-08	 7.0995E-02
    3.7400	 8.5477E-08	 7.1106E-02
    3.7500	 8.5594E-08	 7.1214E-02
    3.7600	 8.5709E-08	 7.1320E-02
    3.7700	 8.5821E-08	 7.1424E-02
    3.7800	 8.5930E-08	 7.1526E-02
    3.7900	 8.6037E-08	 7.1626E-02
    3.8000	 8.6141E-08	 7.1724E-02
    3.8100	 8.6242E-08	 7.1820E-02
    3.8200	 8.6341E-08	 7.1914E-02
    3.8300	 8.6436E-08	 7.2006E-02
    3.8400	 8.6530E-08	 7.2096E-02
    3.8500	 8.6620E-08	 7.2184E-02
    3.8600	 8.6708E-08	 7.2271E-02
    3.8700	 8.6794E-08	 7.2355E-02
    3.8800	 8.6877E-08	 7.2437E-02
    3.8900	 8.6957E-08	 7.2518E-02
    3.9000	 8.7035E-08	 7.2597E-02
    3.9100	 8.7110E-08	 7.2674E-02
    3.9200	 8.7183E-08	 7.2749E-02
    3.9300	 8.7253E-08	 7.2822E-02
    3.9400	 8.7321E-08	 7.2894E-02
    3.9500	 8.7387E-08	 7.2963E-02
    3.9600	 8.7450E-08	 7.3031E-02
    3.9700	 8.7511E-08	 7.3097E-02
    3.9800	 8.7569E-08	 7.3162E-02
    3.9900	 8.7625E-08	 7.3224E-02
    4.0000	 8.7679E-08	 7.3285E-02
    4.0100	 8.7730E-08	 7.3345E-02
    4.0200	 8.7780E-08	 7.3402E-02
    4.0300	 8.7827E-08	 7.3458E-02
    4.0400	 8.7871E-08	 7.3513E-02
    4.0500	 8.7914E-08	 7.3565E-02
    4.0600	 8.7955E-08	 7.3617E-02
    4.0700	 8.7993E-08	 7.3666E-02
    4.0800	 8.8029E-08	 7.3714E-02
    4.0900	 8.8063E-08	 7.3761E-02
    4.1000	 8.8095E-08	 7.3806E-02
    4.1100	 8.8126E-08	 7.3849E-02
    4.1200	 8.8154E-08	 7.3891E-02
    4.1300	 8.8180E-08	 7.3932E-02
    4.1400	 8.8204E-08	 7.3971E-02
    4.1500	 8.8227E-08	 7.4009E-02
    4.1600	 8.8247E-08	 7.4045E-02
    4.1700	 8.8266E-08	 7.4080E-02
    4.1800	 8.8283E-08	 7.4114E-02
    4.1900	 8.8298E-08	 7.4147E-02
    4.2000	 8.8311E-08	 7.4178E-02
    4.2100	 8.8323E-08	 7.4208E-02
    4.2200	 8.8333E-08	 7.4236E-02
    4.2300	 8.8341E-08	 7.4264E-02
    4.2400	 8.8347E-08	 7.4290E-02
    4.2500	 8.8353E-08	 7.4315E-02
    4.2600	 8.8356E-08	 7.4339E-02
    4.2700	 8.8358E-08	 7.4361E-02
    4.2800	 8.8359E-08	 7.4383E-02
    4.2900	 8.8358E-08	 7.4404E-02
    4.3000	 8.8355E-08	 7.4423E-02
    4.3100	 8.8352E-08	 7.4442E-02
    4.3200	 8.8347E-08	 7.4459E-02
    4.3300	 8.8340E-08	 7.4476E-02
    4.3400	 8.8333E-08	 7.4492E-02
    4.3500	 8.8324E-08	 7.4506E-02
    4.3600	 8.8314E-08	 7.4520E-02
    4.3700	 8.8303E-08	 7.4533E-02
    4.3800	 8.8290E-08	 7.4545E-02
    4.3900	 8.8277E-08	 7.4557E-02
    4.4000	 8.8262E-08	 7.4567E-02
    4.4100	 8.8247E-08	 7.4577E-02
    4.4200	 8.8230E-08	 7.4586E-02
