
These predictions were generated by HydroDyn on 10-Jul-2022 at 11:37:13.




    Time                       HydroFxi                       HydroFyi                       HydroFzi                       HydroMxi                       HydroMyi                       HydroMzi                        M1N1Vxi                        M1N1Vzi                        M1N1Axi                        M1N1Azi                       M1N1FDxi                       M1N1FDzi                       M1N1FIxi                       M1N1FIzi
   (sec)                            (N)                            (N)                            (N)                          (N-m)                          (N-m)                          (N-m)                          (m/s)                          (m/s)                        (m/s^2)                        (m/s^2)                          (N/m)                          (N/m)                          (N/m)                          (N/m)
    1.6500                     -2.22469454E+06                      7.72385628E-10                      8.88262762E+06                      4.41875055E-08                      4.46496899E+07                     -3.61793928E-08                      1.46779755E-02                     -9.87871909E-01                     -7.87168181E-01                     -7.27206506E-03                      3.12331492E+02                     -1.97084011E+02                     -5.52028926E+03                      3.48335272E+03
    1.6750                     -2.25692599E+06                      8.91214186E-10                      8.88077809E+06                      3.49839301E-08                      4.52482514E+07                     -4.00096622E-08                     -5.03324683E-03                     -9.88298731E-01                     -7.87508290E-01                      2.49370858E-03                      2.93587043E+02                     -1.85256094E+02                     -5.56615699E+03                      3.51229567E+03
    1.7000                     -2.28897749E+06                      6.51876556E-10                      8.87893241E+06                      3.61583379E-08                      4.58444929E+07                     -4.02421152E-08                     -2.47445631E-02                     -9.88725556E-01                     -7.87848402E-01                      1.22595288E-02                      2.75422518E+02                     -1.73794113E+02                     -5.61202493E+03                      3.54123876E+03
    1.7250                     -2.32085068E+06                      5.79072380E-10                      8.87708975E+06                      3.06228353E-08                      4.64384450E+07                     -3.96869495E-08                     -4.44557855E-02                     -9.89152378E-01                     -7.88188511E-01                      2.20253024E-02                      2.57838091E+02                     -1.62698180E+02                     -5.65789266E+03                      3.57018171E+03
    1.7500                     -2.35254754E+06                      9.02435678E-10                      8.87524906E+06                      3.40306995E-08                      4.70301383E+07                     -3.68402682E-08                     -6.41670153E-02                     -9.89579201E-01                     -7.88528621E-01                      3.17910798E-02                      2.40833666E+02                     -1.51968233E+02                     -5.70376040E+03                      3.59912467E+03
    1.7750                     -2.37868603E+06                      8.81022685E-10                      8.87347294E+06                      2.57300477E-08                      4.75113213E+07                     -3.79071774E-08                     -8.37202258E-02                     -9.87569352E-01                     -7.86927106E-01                      4.14785554E-02                      2.23265860E+02                     -1.40882788E+02                     -5.73558345E+03                      3.61920531E+03
    1.8000                     -2.40461411E+06                      7.08255069E-10                      8.87169550E+06                      3.03574226E-08                      4.79896728E+07                     -3.87970905E-08                     -1.03273436E-01                     -9.85559503E-01                     -7.85325590E-01                      5.11660309E-02                      2.06363295E+02                     -1.30217116E+02                     -5.76740650E+03                      3.63928594E+03
    1.8250                     -2.43033415E+06                      8.04965903E-10                      8.86991545E+06                      3.66076313E-08                      4.84652248E+07                     -3.73277798E-08                     -1.22826740E-01                     -9.83549645E-01                     -7.83724067E-01                      6.08535527E-02                      1.90125897E+02                     -1.19971170E+02                     -5.79922970E+03                      3.65936667E+03
    1.8500                     -2.45584863E+06                      8.78691651E-10                      8.86813173E+06                      3.71167726E-08                      4.89380186E+07                     -4.04155875E-08                     -1.42379951E-01                     -9.81539796E-01                     -7.82122551E-01                      7.05410282E-02                      1.74553819E+02                     -1.10145047E+02                     -5.83105275E+03                      3.67944731E+03
    1.8750                     -2.48116020E+06                      6.50467093E-10                      8.86634292E+06                      2.91621981E-08                      4.94080879E+07                     -3.77250314E-08                     -1.61933161E-01                     -9.79529947E-01                     -7.80521035E-01                      8.02285038E-02                      1.59646984E+02                     -1.00738698E+02                     -5.86287580E+03                      3.69952794E+03
    1.9000                     -2.50627201E+06                      9.30462304E-10                      8.86454781E+06                      2.98526180E-08                      4.98754824E+07                     -3.81015206E-08                     -1.81486372E-01                     -9.77520098E-01                     -7.78919520E-01                      8.99159794E-02                      1.45405390E+02                     -9.17521231E+01                     -5.89469885E+03                      3.71960857E+03
