## This file was generated by InflowWind_Driver on 26-Jun-2023 at 16:38:16.
## This file contains the wind velocity and acceleration at the 300 points specified in the file /Users/aplatt/software-development/GitHub/openfast-5/build/reg_tests/modules/inflowwind/ifw_BoxExceed/Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000      -103.75000000       273.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000      -101.25000000       100.75000000        12.05244324        -0.49710901         0.35483573         0.33034962         0.26475506         0.48878500
      0.50000000         0.00000000      -100.00000000       122.00000000        12.41605009         0.00036855        -0.48564075        -1.23275814        -0.86197646         0.97008502
      0.50000000         0.00000000       -98.75000000       278.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -96.25000000        93.25000000        11.30829099        -0.69409978        -0.23384330         0.10333092         0.32366298         2.26319333
      0.50000000         0.00000000       -96.25000000       139.50000000        13.03177708        -0.49229284         0.14661359         2.15427585         0.70624603         3.07715618
      0.50000000         0.00000000       -95.00000000       239.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -93.75000000        60.75000000        10.44890237        -0.22043243        -0.35650041         0.88947630         1.82406087        -0.15793241
      0.50000000         0.00000000       -93.75000000        74.50000000        11.42902201        -0.94784655        -0.35710074         2.09249792         1.11043306         1.20431460
      0.50000000         0.00000000       -93.75000000        93.25000000        11.22585552        -0.73606238        -0.26685889         0.14694492         0.33526724         2.46869984
      0.50000000         0.00000000       -92.50000000        98.25000000        12.08729509        -0.38025004        -0.02605120         0.76052446         0.74898059         0.13248871
      0.50000000         0.00000000       -91.25000000        79.50000000        11.81593185        -0.29640560         0.72975254         1.45323222         0.23457658         1.02327596
      0.50000000         0.00000000       -88.75000000       238.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -87.50000000       113.25000000        11.85583241         0.19538722         0.48348455         1.17846230        -0.09895722        -1.05678360
      0.50000000         0.00000000       -85.00000000        97.00000000        11.90470080        -0.41401186        -0.25004994         0.85143690         0.93076621         0.41012316
      0.50000000         0.00000000       -85.00000000         4.50000000         1.05155731         0.16491704        -0.02573828        -0.07044621         0.02265095         0.27364629
      0.50000000         0.00000000       -85.00000000        53.25000000        11.00821852         0.53219751        -0.39162775         1.42595749        -1.22921170        -0.74674130
      0.50000000         0.00000000       -85.00000000       202.00000000        13.30550333        -0.05452167         0.80061771        -2.30432273        -1.11655927        -3.15964000
      0.50000000         0.00000000       -83.75000000       119.50000000        12.08821030        -1.07542067        -0.44340221        -1.94513998        -0.38638740        -1.35630484
      0.50000000         0.00000000       -81.25000000       278.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -77.50000000       217.00000000        13.47000098        -0.08263788         0.49187474        -1.54094430        -1.02546458        -2.05977898
      0.50000000         0.00000000       -77.50000000        22.00000000         5.16631832         0.93721908        -0.14865661        -0.34579049         0.14998833         1.62612726
      0.50000000         0.00000000       -76.25000000         7.00000000         1.64517401         0.30515081        -0.04851025        -0.11009779         0.04980502         0.53269282
      0.50000000         0.00000000       -71.25000000        74.50000000        11.33150154        -1.53420583        -0.61455586         3.66325164         1.94096174         2.16631119
      0.50000000         0.00000000       -68.75000000       135.75000000        13.27550606         0.00018355        -0.43130143         2.15829995         4.15607165         2.24877983
      0.50000000         0.00000000       -66.25000000        59.50000000         9.72821722        -0.41845279        -0.35249411         0.69090397         3.55302516        -0.47691500
      0.50000000         0.00000000       -66.25000000       167.00000000        12.72155217         0.55899023         0.44762184        -0.02821294         2.38747192        -0.25449812
      0.50000000         0.00000000       -65.00000000       118.25000000        11.63844577        -2.08981094        -0.39560485        -2.31877772        -0.42753895        -3.50834381
      0.50000000         0.00000000       -65.00000000        85.75000000        11.20197261         0.51725394        -0.59623648        -5.36842913         0.50636651        -3.12973483
      0.50000000         0.00000000       -65.00000000       272.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -65.00000000        53.25000000        11.03226809         0.78707739        -0.45522730         2.02364381        -1.53427500        -1.16589830
      0.50000000         0.00000000       -63.75000000        88.25000000        11.43008871        -0.38803789        -1.43849101        -1.69460367        -1.31554485        -1.36232642
      0.50000000         0.00000000       -61.25000000       204.50000000        13.27665429         0.09758124         0.60358709        -2.07805455        -0.45340554        -2.84251940
      0.50000000         0.00000000       -60.00000000        45.75000000        11.21723579         2.19078809         0.41410786        -3.12670463        -3.01090202         1.69560705
      0.50000000         0.00000000       -60.00000000       187.00000000        13.27315746         0.41423726         0.07073668        -1.32085075         1.00311889        -1.77062971
      0.50000000         0.00000000       -57.50000000        70.75000000        11.50639228         1.28853616         0.28266467        -3.14617437        -2.19624058         0.81326399
      0.50000000         0.00000000       -55.00000000        64.50000000        12.00745698         1.06416765        -0.00185507         3.08208563         0.00524388         0.25623154
      0.50000000         0.00000000       -55.00000000       239.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -51.25000000         0.75000000         0.15378023        -0.02828121        -0.01864229         0.02885124         0.02687813        -0.01514226
      0.50000000         0.00000000       -51.25000000        42.00000000         8.61169294        -1.58374772        -1.04396847         1.61566960         1.50517531        -0.84796655
      0.50000000         0.00000000       -48.75000000       113.25000000        11.99755152         1.04403004         0.00511854        -4.88683869         0.03965498        -2.30976845
      0.50000000         0.00000000       -48.75000000       208.25000000        13.67574468        -0.25945039         0.18988452        -0.23630452        -2.07349326        -0.70966993
      0.50000000         0.00000000       -48.75000000       157.00000000        12.83907261         0.36275340         0.03552290        -0.97317976        -0.36746149         0.49626761
      0.50000000         0.00000000       -41.25000000       140.75000000        12.24139618        -0.53751953        -0.36416044         1.66151146        -5.56745385        -2.15149401
      0.50000000         0.00000000       -41.25000000       102.00000000        12.44009992         1.49800209         0.07654234         2.48334617         0.52708492        -2.22844739
      0.50000000         0.00000000       -40.00000000       247.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -38.75000000       125.75000000        13.44513476         0.58677718         0.49562062        -3.63448191         1.60515901         0.26506969
      0.50000000         0.00000000       -37.50000000       160.75000000        14.15804937        -0.89414660         0.34015971         2.37675804         3.80571970        -0.71295285
      0.50000000         0.00000000       -36.25000000       163.25000000        12.77655664        -0.44040123         0.25797365        -0.07311860         5.06725325        -2.63531414
      0.50000000         0.00000000       -35.00000000        75.75000000        12.22359491        -0.53164540         1.34972510         2.55297578        -0.90878286        -1.00021856
      0.50000000         0.00000000       -33.75000000        97.00000000        13.74939694        -0.82758009        -0.22633119        -1.60070191        -0.08028354         1.22499686
      0.50000000         0.00000000       -33.75000000       120.75000000        13.04051984         0.03960831        -0.03416703        -1.88034615         0.51885667         0.32095456
      0.50000000         0.00000000       -32.50000000       119.50000000        12.74758822         0.37417516         0.39426451         0.36023841         1.56999470         1.18947621
      0.50000000         0.00000000       -32.50000000       209.50000000        13.67123907         0.18200072        -0.36499432        -0.74158400        -0.88312248        -0.96865662
      0.50000000         0.00000000       -30.00000000         7.00000000         1.66221936         0.26608426        -0.15171122        -0.30712022         0.16181874        -0.46152665
      0.50000000         0.00000000       -30.00000000        39.50000000         9.37966636         1.50147544        -0.85608475        -1.73303551         0.91312006        -2.60432896
      0.50000000         0.00000000       -30.00000000       115.75000000        13.04120421        -0.52637835        -0.20599332         0.72120864         0.09267915         3.03737797
      0.50000000         0.00000000       -30.00000000        59.50000000        11.12289139        -1.01220355        -0.37907514         2.37052338        -1.33295070         0.41919456
      0.50000000         0.00000000       -30.00000000       129.50000000        13.33723851         1.13273832        -0.32918153         0.41483889         2.33126099         0.71950873
      0.50000000         0.00000000       -27.50000000       264.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -26.25000000       274.50000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -26.25000000       238.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000       -25.00000000        34.50000000         8.33430638         0.42331231         0.22903176        -0.01648338         0.13292283         0.17693596
      0.50000000         0.00000000       -23.75000000         5.75000000         1.35710253         0.00614499         0.01298690        -0.03378568         0.13517395         0.02262450
      0.50000000         0.00000000       -23.75000000       103.25000000        12.95090222         1.29638814         0.07490021         0.45443378        -0.91173804         0.29787103
      0.50000000         0.00000000       -23.75000000       138.25000000        14.46680828        -0.75133558        -0.31145709        -1.49174012        -1.79686487        -0.15288302
      0.50000000         0.00000000       -22.50000000       127.00000000        13.41680611         0.32890456        -1.33512448        -2.16312308        -2.34702711        -0.09068026
      0.50000000         0.00000000       -21.25000000       162.00000000        13.64534127         0.19344768         0.77346556        -1.07255261         1.79300554         0.15116772
