
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 07-Aug-2025 at 15:31:45.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB
       (s)             (N)             (N)          (frac)
    0.2250   5.1092797E+07   1.4367971E+07   5.8916549E-01
    0.2260   5.1076935E+07   1.4357553E+07   5.8923132E-01
    0.2270   5.1061073E+07   1.4347162E+07   5.8929714E-01
    0.2280   5.1045210E+07   1.4336796E+07   5.8936297E-01
    0.2290   5.1029344E+07   1.4326454E+07   5.8942879E-01
    0.2300   5.1013474E+07   1.4316137E+07   5.8949461E-01
    0.2310   5.0997598E+07   1.4305842E+07   5.8956044E-01
    0.2320   5.0981716E+07   1.4295570E+07   5.8962626E-01
    0.2330   5.0965825E+07   1.4285320E+07   5.8969209E-01
    0.2340   5.0949924E+07   1.4275091E+07   5.8975791E-01
    0.2350   5.0934013E+07   1.4264883E+07   5.8982374E-01
    0.2360   5.0918089E+07   1.4254695E+07   5.8988956E-01
    0.2370   5.0902152E+07   1.4244526E+07   5.8995538E-01
    0.2380   5.0886201E+07   1.4234376E+07   5.9002121E-01
    0.2390   5.0870233E+07   1.4224244E+07   5.9008703E-01
    0.2400   5.0854249E+07   1.4214130E+07   5.9015286E-01
    0.2410   5.0838246E+07   1.4204033E+07   5.9021868E-01
    0.2420   5.0822224E+07   1.4193952E+07   5.9028451E-01
    0.2430   5.0806181E+07   1.4183886E+07   5.9035033E-01
    0.2440   5.0790117E+07   1.4173836E+07   5.9041615E-01
    0.2450   5.0774031E+07   1.4163801E+07   5.9048198E-01
    0.2460   5.0757921E+07   1.4153780E+07   5.9054780E-01
    0.2470   5.0741787E+07   1.4143773E+07   5.9061363E-01
    0.2480   5.0725627E+07   1.4133779E+07   5.9067945E-01
    0.2490   5.0709442E+07   1.4123797E+07   5.9074528E-01
    0.2500   5.0693229E+07   1.4113828E+07   5.9081110E-01
    0.2510   5.0676989E+07   1.4103871E+07   5.9087693E-01
    0.2520   5.0660720E+07   1.4093925E+07   5.9094275E-01
    0.2530   5.0644422E+07   1.4083990E+07   5.9100857E-01
    0.2540   5.0628094E+07   1.4074065E+07   5.9107439E-01
    0.2550   5.0611735E+07   1.4064150E+07   5.9114022E-01
    0.2560   5.0595346E+07   1.4054245E+07   5.9120605E-01
    0.2570   5.0578925E+07   1.4044350E+07   5.9127187E-01
    0.2580   5.0562472E+07   1.4034463E+07   5.9133769E-01
    0.2590   5.0545986E+07   1.4024585E+07   5.9140352E-01
    0.2600   5.0529468E+07   1.4014715E+07   5.9146934E-01
    0.2610   5.0512916E+07   1.4004853E+07   5.9153517E-01
    0.2620   5.0496330E+07   1.3994999E+07   5.9160099E-01
    0.2630   5.0479711E+07   1.3985152E+07   5.9166681E-01
    0.2640   5.0463057E+07   1.3975312E+07   5.9173264E-01
    0.2650   5.0446369E+07   1.3965480E+07   5.9179846E-01
    0.2660   5.0429647E+07   1.3955653E+07   5.9186429E-01
    0.2670   5.0412890E+07   1.3945834E+07   5.9193011E-01
    0.2680   5.0396098E+07   1.3936020E+07   5.9199593E-01
    0.2690   5.0379271E+07   1.3926212E+07   5.9206176E-01
    0.2700   5.0362410E+07   1.3916411E+07   5.9212758E-01
