
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
   19.9000   5.7139149E+00  -1.8242128E+00   5.6666434E-01
   20.0000   3.2529087E+00  -1.8458992E+00   5.6977564E-01
   20.1000   7.1895039E-01  -1.8694378E+00   5.7391697E-01
   20.2000  -1.8151097E+00  -1.8948543E+00   5.7916111E-01
   20.3000  -4.2771835E+00  -1.9218959E+00   5.8545268E-01
   20.4000  -6.5981598E+00  -1.9500532E+00   5.9261113E-01
   20.5000  -8.7139730E+00  -1.9786146E+00   6.0034412E-01
   20.6000  -1.0567371E+01  -2.0067418E+00   6.0827267E-01
   20.7000  -1.2109262E+01  -2.0335565E+00   6.1596686E-01
   20.8000  -1.3299682E+01  -2.0582278E+00   6.2299007E-01
   20.9000  -1.4108541E+01  -2.0800481E+00   6.2894857E-01
   21.0000  -1.4515821E+01  -2.0984938E+00   6.3353795E-01
   21.1000  -1.4511616E+01  -2.1132638E+00   6.3658112E-01
   21.2000  -1.4096488E+01  -2.1243021E+00   6.3805151E-01
   21.3000  -1.3282961E+01  -2.1318052E+00   6.3808089E-01
   21.4000  -1.2095857E+01  -2.1361992E+00   6.3694066E-01
   21.5000  -1.0571430E+01  -2.1380844E+00   6.3500017E-01
   21.6000  -8.7560654E+00  -2.1381593E+00   6.3267452E-01
   21.7000  -6.7046056E+00  -2.1371343E+00   6.3037002E-01
   21.8000  -4.4784460E+00  -2.1356454E+00   6.2843716E-01
   21.9000  -2.1434355E+00  -2.1341767E+00   6.2713420E-01
   22.0000   2.3229510E-01  -2.1330063E+00   6.2660480E-01
   22.1000   2.5805016E+00  -2.1321776E+00   6.2686837E-01
   22.2000   4.8349071E+00  -2.1315029E+00   6.2782288E-01
   22.3000   6.9330935E+00  -2.1305945E+00   6.2925774E-01
   22.4000   8.8181410E+00  -2.1289182E+00   6.3087666E-01
   22.5000   1.0439956E+01  -2.1258628E+00   6.3232964E-01
   22.6000   1.1756281E+01  -2.1208136E+00   6.3325095E-01
   22.7000   1.2733402E+01  -2.1132231E+00   6.3330114E-01
   22.8000   1.3346609E+01  -2.1026731E+00   6.3220793E-01
   22.9000   1.3580482E+01  -2.0889208E+00   6.2980098E-01
   23.0000   1.3429267E+01  -2.0719311E+00   6.2603515E-01
   23.1000   1.2898167E+01  -2.0518944E+00   6.2100142E-01
   23.2000   1.2003885E+01  -2.0292203E+00   6.1491686E-01
   23.3000   1.0774076E+01  -2.0045013E+00   6.0809416E-01
   23.4000   9.2463446E+00  -1.9784544E+00   6.0089993E-01
   23.5000   7.4667420E+00  -1.9518493E+00   5.9370834E-01
   23.6000   5.4881334E+00  -1.9254327E+00   5.8685988E-01
   23.7000   3.3684435E+00  -1.8998548E+00   5.8062857E-01
   23.8000   1.1688772E+00  -1.8756100E+00   5.7520008E-01
   23.9000  -1.0479730E+00  -1.8529962E+00   5.7066125E-01
   24.0000  -3.2200394E+00  -1.8320985E+00   5.6699914E-01
   24.1000  -5.2875042E+00  -1.8127981E+00   5.6410897E-01
   24.2000  -7.1943693E+00  -1.7948043E+00   5.6180936E-01
   24.3000  -8.8898325E+00  -1.7777040E+00   5.5986375E-01
   24.4000  -1.0329450E+01  -1.7610222E+00   5.5800664E-01
   24.5000  -1.1476068E+01  -1.7442861E+00   5.5597389E-01
   24.6000  -1.2300529E+01  -1.7270856E+00   5.5353296E-01
   24.7000  -1.2782172E+01  -1.7091249E+00   5.5051124E-01
   24.8000  -1.2909183E+01  -1.6902609E+00   5.4681784E-01
   24.9000  -1.2679176E+01  -1.6705285E+00   5.4245675E-01
   25.0000  -1.2099951E+01  -1.6501504E+00   5.3752881E-01
   25.1000  -1.1189361E+01  -1.6295215E+00   5.3221941E-01
   25.2000  -9.9746304E+00  -1.6091727E+00   5.2677387E-01
   25.3000  -8.4913731E+00  -1.5897195E+00   5.2146780E-01
   25.4000  -6.7823944E+00  -1.5718014E+00   5.1657575E-01
   25.5000  -4.8963504E+00  -1.5560184E+00   5.1234347E-01
   25.6000  -2.8863037E+00  -1.5428709E+00   5.0896609E-01
   25.7000  -8.0810755E-01  -1.5327125E+00   5.0657296E-01
   25.8000   1.2811819E+00  -1.5257175E+00   5.0521982E-01
   25.9000   3.3248537E+00  -1.5218694E+00   5.0488710E-01
   26.0000   5.2680302E+00  -1.5209695E+00   5.0548422E-01
   26.1000   7.0590668E+00  -1.5226644E+00   5.0685889E-01
   26.2000   8.6508169E+00  -1.5264897E+00   5.0881118E-01
   26.3000   1.0001741E+01  -1.5319213E+00   5.1111239E-01
   26.4000   1.1076835E+01  -1.5384307E+00   5.1352704E-01
   26.5000   1.1848383E+01  -1.5455384E+00   5.1583678E-01
   26.6000   1.2296525E+01  -1.5528612E+00   5.1786453E-01
   26.7000   1.2409672E+01  -1.5601478E+00   5.1949424E-01
   26.8000   1.2184772E+01  -1.5673004E+00   5.2068448E-01
   26.9000   1.1627910E+01  -1.5743839E+00   5.2147430E-01
   27.0000   1.0754635E+01  -1.5816164E+00   5.2197874E-01
   27.1000   9.5895576E+00  -1.5893406E+00   5.2237284E-01
   27.2000   8.1656227E+00  -1.5979782E+00   5.2286899E-01
   27.3000   6.5231223E+00  -1.6079764E+00   5.2369082E-01
   27.4000   4.7084923E+00  -1.6197485E+00   5.2504665E-01
   27.5000   2.7729268E+00  -1.6336180E+00   5.2710664E-01
   27.6000   7.7085966E-01  -1.6497736E+00   5.2998459E-01
   27.7000  -1.2416396E+00  -1.6682372E+00   5.3372580E-01
   27.8000  -3.2085040E+00  -1.6888533E+00   5.3830093E-01
