# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
1.0000000e+00   2.5007000e+01   3.5393000e+01   -1.4614000e+01   -3.6266000e+01   8.2093000e-04   -1.2730000e+01   2.5007000e+01   -3.5393000e+01   -1.4613000e+01
1.0125000e+00   2.5009000e+01   3.5393000e+01   -1.4613000e+01   -3.6265000e+01   8.3601000e-04   -1.2732000e+01   2.5008000e+01   -3.5393000e+01   -1.4612000e+01
1.0250000e+00   2.5010000e+01   3.5393000e+01   -1.4612000e+01   -3.6263000e+01   8.5096000e-04   -1.2733000e+01   2.5010000e+01   -3.5393000e+01   -1.4611000e+01
1.0375000e+00   2.5011000e+01   3.5393000e+01   -1.4611000e+01   -3.6262000e+01   8.6570000e-04   -1.2735000e+01   2.5011000e+01   -3.5393000e+01   -1.4610000e+01
1.0500000e+00   2.5013000e+01   3.5393000e+01   -1.4610000e+01   -3.6261000e+01   8.8013000e-04   -1.2736000e+01   2.5012000e+01   -3.5393000e+01   -1.4609000e+01
1.0625000e+00   2.5014000e+01   3.5393000e+01   -1.4609000e+01   -3.6259000e+01   8.9418000e-04   -1.2738000e+01   2.5014000e+01   -3.5393000e+01   -1.4608000e+01
1.0750000e+00   2.5016000e+01   3.5393000e+01   -1.4608000e+01   -3.6258000e+01   9.0778000e-04   -1.2739000e+01   2.5015000e+01   -3.5393000e+01   -1.4607000e+01
1.0875000e+00   2.5017000e+01   3.5393000e+01   -1.4607000e+01   -3.6257000e+01   9.2089000e-04   -1.2741000e+01   2.5017000e+01   -3.5393000e+01   -1.4606000e+01
1.1000000e+00   2.5019000e+01   3.5393000e+01   -1.4606000e+01   -3.6255000e+01   9.3349000e-04   -1.2743000e+01   2.5018000e+01   -3.5393000e+01   -1.4605000e+01
1.1125000e+00   2.5020000e+01   3.5393000e+01   -1.4605000e+01   -3.6254000e+01   9.4557000e-04   -1.2744000e+01   2.5020000e+01   -3.5393000e+01   -1.4604000e+01
1.1250000e+00   2.5022000e+01   3.5393000e+01   -1.4604000e+01   -3.6252000e+01   9.5717000e-04   -1.2746000e+01   2.5021000e+01   -3.5393000e+01   -1.4603000e+01
1.1375000e+00   2.5023000e+01   3.5393000e+01   -1.4603000e+01   -3.6251000e+01   9.6831000e-04   -1.2747000e+01   2.5023000e+01   -3.5393000e+01   -1.4602000e+01
1.1500000e+00   2.5025000e+01   3.5393000e+01   -1.4602000e+01   -3.6249000e+01   9.7905000e-04   -1.2749000e+01   2.5024000e+01   -3.5393000e+01   -1.4601000e+01
1.1625000e+00   2.5027000e+01   3.5393000e+01   -1.4601000e+01   -3.6248000e+01   9.8944000e-04   -1.2750000e+01   2.5026000e+01   -3.5393000e+01   -1.4600000e+01
1.1750000e+00   2.5028000e+01   3.5393000e+01   -1.4600000e+01   -3.6246000e+01   9.9952000e-04   -1.2752000e+01   2.5028000e+01   -3.5393000e+01   -1.4599000e+01
1.1875000e+00   2.5030000e+01   3.5393000e+01   -1.4599000e+01   -3.6245000e+01   1.0094000e-03   -1.2753000e+01   2.5029000e+01   -3.5393000e+01   -1.4598000e+01
1.2000000e+00   2.5032000e+01   3.5393000e+01   -1.4598000e+01   -3.6243000e+01   1.0190000e-03   -1.2754000e+01   2.5031000e+01   -3.5393000e+01   -1.4598000e+01
1.2125000e+00   2.5033000e+01   3.5393000e+01   -1.4597000e+01   -3.6241000e+01   1.0284000e-03   -1.2756000e+01   2.5033000e+01   -3.5393000e+01   -1.4597000e+01
1.2250000e+00   2.5035000e+01   3.5393000e+01   -1.4596000e+01   -3.6240000e+01   1.0376000e-03   -1.2757000e+01   2.5034000e+01   -3.5393000e+01   -1.4596000e+01
1.2375000e+00   2.5037000e+01   3.5393000e+01   -1.4595000e+01   -3.6238000e+01   1.0467000e-03   -1.2759000e+01   2.5036000e+01   -3.5393000e+01   -1.4595000e+01
1.2500000e+00   2.5039000e+01   3.5393000e+01   -1.4594000e+01   -3.6236000e+01   1.0556000e-03   -1.2760000e+01   2.5038000e+01   -3.5393000e+01   -1.4594000e+01
1.2625000e+00   2.5040000e+01   3.5393000e+01   -1.4593000e+01   -3.6235000e+01   1.0643000e-03   -1.2761000e+01   2.5040000e+01   -3.5393000e+01   -1.4593000e+01
1.2750000e+00   2.5042000e+01   3.5393000e+01   -1.4592000e+01   -3.6233000e+01   1.0728000e-03   -1.2763000e+01   2.5042000e+01   -3.5393000e+01   -1.4592000e+01
1.2875000e+00   2.5044000e+01   3.5393000e+01   -1.4591000e+01   -3.6231000e+01   1.0812000e-03   -1.2764000e+01   2.5043000e+01   -3.5393000e+01   -1.4592000e+01
1.3000000e+00   2.5046000e+01   3.5393000e+01   -1.4590000e+01   -3.6229000e+01   1.0895000e-03   -1.2765000e+01   2.5045000e+01   -3.5393000e+01   -1.4591000e+01
1.3125000e+00   2.5048000e+01   3.5393000e+01   -1.4589000e+01   -3.6227000e+01   1.0976000e-03   -1.2767000e+01   2.5047000e+01   -3.5393000e+01   -1.4590000e+01
