
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    3.1100   5.0934678E+05   1.0142592E+00
    3.1200   5.0888615E+05   1.0142564E+00
    3.1300   5.0841884E+05   1.0142536E+00
    3.1400   5.0794495E+05   1.0142507E+00
    3.1500   5.0746449E+05   1.0142477E+00
    3.1600   5.0697742E+05   1.0142448E+00
    3.1700   5.0648377E+05   1.0142418E+00
    3.1800   5.0598355E+05   1.0142387E+00
    3.1900   5.0547664E+05   1.0142356E+00
    3.2000   5.0496308E+05   1.0142325E+00
    3.2100   5.0444279E+05   1.0142293E+00
    3.2200   5.0391582E+05   1.0142261E+00
    3.2300   5.0338214E+05   1.0142228E+00
    3.2400   5.0284184E+05   1.0142195E+00
    3.2500   5.0229491E+05   1.0142162E+00
    3.2600   5.0174129E+05   1.0142128E+00
    3.2700   5.0118101E+05   1.0142094E+00
    3.2800   5.0061405E+05   1.0142059E+00
    3.2900   5.0004027E+05   1.0142024E+00
    3.3000   4.9945969E+05   1.0141989E+00
    3.3100   4.9887240E+05   1.0141953E+00
    3.3200   4.9827842E+05   1.0141917E+00
    3.3300   4.9767770E+05   1.0141880E+00
    3.3400   4.9707031E+05   1.0141843E+00
    3.3500   4.9645622E+05   1.0141805E+00
    3.3600   4.9583534E+05   1.0141767E+00
    3.3700   4.9520768E+05   1.0141729E+00
    3.3800   4.9457317E+05   1.0141690E+00
    3.3900   4.9393188E+05   1.0141651E+00
    3.4000   4.9328375E+05   1.0141612E+00
    3.4100   4.9262886E+05   1.0141572E+00
    3.4200   4.9196720E+05   1.0141531E+00
    3.4300   4.9129870E+05   1.0141490E+00
    3.4400   4.9062339E+05   1.0141449E+00
    3.4500   4.8994121E+05   1.0141407E+00
    3.4600   4.8925222E+05   1.0141365E+00
    3.4700   4.8855639E+05   1.0141323E+00
    3.4800   4.8785363E+05   1.0141280E+00
    3.4900   4.8714395E+05   1.0141236E+00
    3.5000   4.8642746E+05   1.0141192E+00
    3.5100   4.8570418E+05   1.0141148E+00
    3.5200   4.8497408E+05   1.0141104E+00
    3.5300   4.8423705E+05   1.0141059E+00
    3.5400   4.8349306E+05   1.0141013E+00
    3.5500   4.8274222E+05   1.0140967E+00
    3.5600   4.8198453E+05   1.0140921E+00
    3.5700   4.8121993E+05   1.0140874E+00
    3.5800   4.8044846E+05   1.0140827E+00
