# Time    P2PX    P2PY    P2PZ
  159.9860       1.0138493       0       0
  159.9870       1.0138494       0       0
  159.9880       1.0138496       0       0
  159.9890       1.0138497       0       0
  159.9900       1.0138498       0       0
  159.9910       1.0138499       0       0
  159.9920       1.0138500       0       0
  159.9930       1.0138501       0       0
  159.9940       1.0138503       0       0
  159.9950       1.0138504       0       0
  159.9960       1.0138505       0       0
  159.9970       1.0138506       0       0
  159.9980       1.0138507       0       0
  159.9990       1.0138508       0       0
  160.0000       1.0138510       0       0
  160.0010       1.0138511       0       0
  160.0020       1.0138512       0       0
  160.0030       1.0138513       0       0
  160.0040       1.0138514       0       0
  160.0050       1.0138515       0       0
  160.0060       1.0138517       0       0
  160.0070       1.0138518       0       0
  160.0080       1.0138519       0       0
  160.0090       1.0138520       0       0
  160.0100       1.0138521       0       0
  160.0110       1.0138522       0       0
  160.0120       1.0138523       0       0
  160.0130       1.0138524       0       0
  160.0140       1.0138526       0       0
  160.0150       1.0138527       0       0
  160.0160       1.0138528       0       0
  160.0170       1.0138529       0       0
  160.0180       1.0138530       0       0
  160.0190       1.0138531       0       0
  160.0200       1.0138532       0       0
  160.0210       1.0138533       0       0
  160.0220       1.0138535       0       0
  160.0230       1.0138536       0       0
  160.0240       1.0138537       0       0
  160.0250       1.0138538       0       0
  160.0260       1.0138539       0       0
  160.0270       1.0138540       0       0
  160.0280       1.0138541       0       0
  160.0290       1.0138542       0       0
  160.0300       1.0138543       0       0
  160.0310       1.0138545       0       0
  160.0320       1.0138546       0       0
  160.0330       1.0138547       0       0
  160.0340       1.0138548       0       0
  160.0350       1.0138549       0       0
  160.0360       1.0138550       0       0
  160.0370       1.0138551       0       0
  160.0380       1.0138552       0       0
  160.0390       1.0138553       0       0
  160.0400       1.0138554       0       0
  160.0410       1.0138555       0       0
  160.0420       1.0138557       0       0
  160.0430       1.0138558       0       0
  160.0440       1.0138559       0       0
  160.0450       1.0138560       0       0
  160.0460       1.0138561       0       0
  160.0470       1.0138562       0       0
  160.0480       1.0138563       0       0
  160.0490       1.0138564       0       0
  160.0500       1.0138565       0       0
  160.0510       1.0138566       0       0
  160.0520       1.0138567       0       0
  160.0530       1.0138568       0       0
  160.0540       1.0138569       0       0
  160.0550       1.0138570       0       0
  160.0560       1.0138571       0       0
  160.0570       1.0138572       0       0
  160.0580       1.0138574       0       0
  160.0590       1.0138575       0       0
  160.0600       1.0138576       0       0
  160.0610       1.0138577       0       0
  160.0620       1.0138578       0       0
  160.0630       1.0138579       0       0
  160.0640       1.0138580       0       0
  160.0650       1.0138581       0       0
  160.0660       1.0138582       0       0
  160.0670       1.0138583       0       0
  160.0680       1.0138584       0       0
  160.0690       1.0138585       0       0
  160.0700       1.0138586       0       0
  160.0710       1.0138587       0       0
  160.0720       1.0138588       0       0
  160.0730       1.0138589       0       0
  160.0740       1.0138590       0       0
  160.0750       1.0138591       0       0
  160.0760       1.0138592       0       0
  160.0770       1.0138593       0       0
  160.0780       1.0138594       0       0
  160.0790       1.0138595       0       0
  160.0800       1.0138596       0       0
  160.0810       1.0138597       0       0
  160.0820       1.0138598       0       0
  160.0830       1.0138599       0       0
  160.0840       1.0138600       0       0
  160.0850       1.0138601       0       0
  160.0860       1.0138602       0       0
  160.0870       1.0138603       0       0
  160.0880       1.0138604       0       0
  160.0890       1.0138605       0       0
  160.0900       1.0138606       0       0
  160.0910       1.0138607       0       0
  160.0920       1.0138608       0       0
  160.0930       1.0138609       0       0
  160.0940       1.0138610       0       0
  160.0950       1.0138611       0       0
  160.0960       1.0138612       0       0
  160.0970       1.0138613       0       0
  160.0980       1.0138614       0       0
  160.0990       1.0138615       0       0
  160.1000       1.0138616       0       0
  160.1010       1.0138617       0       0
  160.1020       1.0138618       0       0
  160.1030       1.0138619       0       0
  160.1040       1.0138620       0       0
  160.1050       1.0138621       0       0
  160.1060       1.0138622       0       0
  160.1070       1.0138622       0       0
  160.1080       1.0138623       0       0
  160.1090       1.0138624       0       0
  160.1100       1.0138625       0       0
  160.1110       1.0138626       0       0
  160.1120       1.0138627       0       0
  160.1130       1.0138628       0       0
  160.1140       1.0138629       0       0
  160.1150       1.0138630       0       0
  160.1160       1.0138631       0       0
  160.1170       1.0138632       0       0
  160.1180       1.0138633       0       0
  160.1190       1.0138634       0       0
  160.1200       1.0138635       0       0
  160.1210       1.0138636       0       0
  160.1220       1.0138637       0       0
  160.1230       1.0138637       0       0
  160.1240       1.0138638       0       0
  160.1250       1.0138639       0       0
  160.1260       1.0138640       0       0
  160.1270       1.0138641       0       0
  160.1280       1.0138642       0       0
  160.1290       1.0138643       0       0
  160.1300       1.0138644       0       0
  160.1310       1.0138645       0       0
  160.1320       1.0138646       0       0
  160.1330       1.0138647       0       0
  160.1340       1.0138648       0       0
  160.1350       1.0138648       0       0
  160.1360       1.0138649       0       0
  160.1370       1.0138650       0       0
  160.1380       1.0138651       0       0
  160.1390       1.0138652       0       0
  160.1400       1.0138653       0       0
  160.1410       1.0138654       0       0
  160.1420       1.0138655       0       0
  160.1430       1.0138656       0       0
  160.1440       1.0138656       0       0
  160.1450       1.0138657       0       0
