
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:52.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    4.5000  -0.1876440E+00  -0.1876440E+00   0.0000000E+00   0.4388852E-01   0.4388852E-01   0.0000000E+00  -0.1259981E+00   0.0000000E+00   0.4167665E-01   0.1752588E-01   0.0000000E+00   0.8552571E-01  -0.2435250E+04  -0.4651409E-02   0.0000000E+00   0.3260291E-01  -0.4368604E-02   0.0000000E+00  -0.1764668E-01  -0.7642509E+03
    4.6250  -0.1356224E+00  -0.1356224E+00   0.0000000E+00   0.2981632E-02   0.2981632E-02   0.0000000E+00  -0.1232234E+00   0.0000000E+00   0.5230648E-01   0.2686315E-01   0.0000000E+00   0.8435759E-01  -0.2376147E+04  -0.5363767E-02   0.0000000E+00   0.3059816E-01  -0.6923308E-02   0.0000000E+00  -0.1437528E-01  -0.7243404E+03
    4.7500  -0.8300882E-01  -0.8300882E-01   0.0000000E+00  -0.3959468E-01  -0.3959468E-01   0.0000000E+00  -0.1192873E+00   0.0000000E+00   0.6271765E-01   0.3607986E-01   0.0000000E+00   0.8202867E-01  -0.2303791E+04  -0.6355037E-02   0.0000000E+00   0.2902025E-01  -0.8825765E-02   0.0000000E+00  -0.1083571E-01  -0.6866642E+03
    4.8750  -0.3068923E-01  -0.3068923E-01   0.0000000E+00  -0.8243366E-01  -0.8243366E-01   0.0000000E+00  -0.1142147E+00   0.0000000E+00   0.7276610E-01   0.4502447E-01   0.0000000E+00   0.7855888E-01  -0.2218550E+04  -0.7542152E-02   0.0000000E+00   0.2789581E-01  -0.1005523E-01   0.0000000E+00  -0.7138123E-02  -0.6506695E+03
    5.0000   0.2042076E-01   0.2042076E-01   0.0000000E+00  -0.1241289E+00  -0.1241289E+00   0.0000000E+00  -0.1080488E+00   0.0000000E+00   0.8231149E-01   0.5354935E-01   0.0000000E+00   0.7398809E-01  -0.2120966E+04  -0.8840671E-02   0.0000000E+00   0.2723771E-01  -0.1060882E-01   0.0000000E+00  -0.3393036E-02  -0.6157769E+03
    5.1250   0.6939535E-01   0.6939535E-01   0.0000000E+00  -0.1633163E+00  -0.1633163E+00   0.0000000E+00  -0.1008508E+00   0.0000000E+00   0.9121966E-01   0.6151310E-01   0.0000000E+00   0.6837510E-01  -0.2011757E+04  -0.1016678E-01   0.0000000E+00   0.2704504E-01  -0.1050107E-01   0.0000000E+00   0.2916871E-03  -0.5814002E+03
    5.2500   0.1153193E+00   0.1153193E+00   0.0000000E+00  -0.1987154E+00  -0.1987154E+00   0.0000000E+00  -0.9269937E-01   0.0000000E+00   0.9936499E-01   0.6878319E-01   0.0000000E+00   0.6179691E-01  -0.1891805E+04  -0.1143965E-01   0.0000000E+00   0.2730381E-01  -0.9763183E-02   0.0000000E+00   0.3813417E-02  -0.5469625E+03
    5.3750   0.1573106E+00   0.1573106E+00   0.0000000E+00  -0.2291677E+00  -0.2291677E+00   0.0000000E+00  -0.8368900E-01   0.0000000E+00   0.1066326E+00   0.7523800E-01   0.0000000E+00   0.5434714E-01  -0.1762142E+04  -0.1258324E-01   0.0000000E+00   0.2798765E-01  -0.8441682E-02   0.0000000E+00   0.7077415E-02  -0.5119123E+03
    5.5000   0.1945437E+00   0.1945437E+00   0.0000000E+00  -0.2536717E+00  -0.2536717E+00   0.0000000E+00  -0.7392839E-01   0.0000000E+00   0.1129200E+00   0.8076891E-01   0.0000000E+00   0.4613479E-01  -0.1623935E+04  -0.1352824E-01   0.0000000E+00   0.2905889E-01  -0.6596820E-02   0.0000000E+00   0.9999081E-02  -0.4757392E+03
    5.6250   0.2262716E+00   0.2262716E+00   0.0000000E+00  -0.2714140E+00  -0.2714140E+00   0.0000000E+00  -0.6353916E-01   0.0000000E+00   0.1181396E+00   0.8528234E-01   0.0000000E+00   0.3728221E-01  -0.1478474E+04  -0.1421362E-01   0.0000000E+00   0.3047010E-01  -0.4300531E-02   0.0000000E+00   0.1250596E-01  -0.4379858E+03
