
These predictions were generated by SeaState on 20-Dec-2023 at 14:15:58.




      Time       Wave1Elev       Wave2Elev       Wave3Elev
   (sec)             (m)             (m)             (m)
   20.9000   0.1857990E+00  -0.1463426E+00   0.3774372E-01
   21.0000   0.1518396E+00  -0.1404033E+00   0.3353766E-01
   21.1000   0.1063653E+00  -0.1259116E+00   0.3965542E-01
   21.2000   0.5224108E-01  -0.1064566E+00   0.5221512E-01
   21.3000  -0.5911511E-02  -0.8626245E-01   0.6697541E-01
   21.4000  -0.6281254E-01  -0.6939977E-01   0.8030577E-01
   21.5000  -0.1138427E+00  -0.5902090E-01   0.8961806E-01
   21.6000  -0.1560832E+00  -0.5678383E-01   0.9333616E-01
   21.7000  -0.1886651E+00  -0.6262418E-01   0.9066591E-01
   21.8000  -0.2123123E+00  -0.7495438E-01   0.8141610E-01
   21.9000  -0.2283298E+00  -0.9121976E-01   0.6596599E-01
   22.0000  -0.2375631E+00  -0.1085903E+00   0.4529900E-01
   22.1000  -0.2398812E+00  -0.1245005E+00   0.2093230E-01
   22.2000  -0.2344819E+00  -0.1368341E+00  -0.5376965E-02
   22.3000  -0.2208808E+00  -0.1437527E+00  -0.3212186E-01
   22.4000  -0.2000538E+00  -0.1434000E+00  -0.5855331E-01
   22.5000  -0.1750532E+00  -0.1338162E+00  -0.8496243E-01
   22.6000  -0.1506288E+00  -0.1133091E+00  -0.1125577E+00
   22.7000  -0.1318725E+00  -0.8125325E-01  -0.1429188E+00
   22.8000  -0.1224209E+00  -0.3897394E-01  -0.1771914E+00
   22.9000  -0.1230386E+00   0.9789013E-02  -0.2153105E+00
   23.0000  -0.1312761E+00   0.5924167E-01  -0.2555431E+00
   23.1000  -0.1424105E+00   0.1027666E+00  -0.2945341E+00
   23.2000  -0.1512549E+00   0.1346289E+00  -0.3278743E+00
   23.3000  -0.1540024E+00   0.1514721E+00  -0.3510291E+00
   23.4000  -0.1492620E+00   0.1529559E+00  -0.3603645E+00
   23.5000  -0.1378798E+00   0.1412587E+00  -0.3539850E+00
   23.6000  -0.1217646E+00   0.1197029E+00  -0.3321641E+00
   23.7000  -0.1024486E+00   0.9117630E-01  -0.2972715E+00
   23.8000  -0.8020987E-01   0.5711211E-01  -0.2532426E+00
   23.9000  -0.5423475E-01   0.1747786E-01  -0.2047461E+00
   24.0000  -0.2368729E-01  -0.2830596E-01  -0.1562736E+00
   24.1000   0.1096395E-01  -0.8008108E-01  -0.1113728E+00
   24.2000   0.4716257E-01  -0.1360295E+00  -0.7219028E-01
   24.3000   0.8051748E-01  -0.1926197E+00  -0.3939701E-01
   24.4000   0.1060120E+00  -0.2454341E+00  -0.1246428E-01
   24.5000   0.1195677E+00  -0.2904200E+00   0.9822732E-02
   24.6000   0.1191995E+00  -0.3248997E+00   0.2877507E-01
   24.7000   0.1052668E+00  -0.3478646E+00   0.4529098E-01
   24.8000   0.7985896E-01  -0.3595091E+00   0.5954906E-01
   24.9000   0.4582510E-01  -0.3604000E+00   0.7096181E-01
   25.0000   0.6081811E-02  -0.3508494E+00   0.7838488E-01
   25.1000  -0.3644910E-01  -0.3308737E+00   0.8052020E-01
   25.2000  -0.7843628E-01  -0.3007013E+00   0.7641420E-01
   25.3000  -0.1158279E+00  -0.2613928E+00   0.6592669E-01
   25.4000  -0.1442095E+00  -0.2150324E+00   0.5004722E-01
   25.5000  -0.1599893E+00  -0.1641919E+00   0.3095320E-01
   25.6000  -0.1619596E+00  -0.1108521E+00   0.1175435E-01
   25.7000  -0.1523542E+00  -0.5537437E-01  -0.4061011E-02
   25.8000  -0.1365849E+00   0.3798596E-02  -0.1337305E-01
   25.9000  -0.1214164E+00   0.6936523E-01  -0.1418846E-01
   26.0000  -0.1121711E+00   0.1435435E+00  -0.6191553E-02
   26.1000  -0.1101701E+00   0.2263497E+00   0.9105176E-02
   26.2000  -0.1116694E+00   0.3146603E+00   0.2870658E-01
   26.3000  -0.1089325E+00   0.4026035E+00   0.4892083E-01
   26.4000  -0.9310196E-01   0.4831657E+00   0.6638053E-01
   26.5000  -0.5766092E-01   0.5502807E+00   0.7898531E-01
   26.6000  -0.9870117E-03   0.6004115E+00   0.8645044E-01
   26.7000   0.7306742E-01   0.6329069E+00   0.9025586E-01
   26.8000   0.1566897E+00   0.6490614E+00   0.9299254E-01
   26.9000   0.2408791E+00   0.6504878E+00   0.9732593E-01
   27.0000   0.3181416E+00   0.6377534E+00   0.1049589E+00
   27.1000   0.3839747E+00   0.6100429E+00   0.1160008E+00
   27.2000   0.4367494E+00   0.5660072E+00   0.1290086E+00
   27.3000   0.4764529E+00   0.5052726E+00   0.1417042E+00
   27.4000   0.5032615E+00   0.4296977E+00   0.1520836E+00
   27.5000   0.5168211E+00   0.3435954E+00   0.1594444E+00
   27.6000   0.5165364E+00   0.2527169E+00   0.1648605E+00
   27.7000   0.5024743E+00   0.1624870E+00   0.1708485E+00
   27.8000   0.4761030E+00   0.7640789E-01   0.1803102E+00
   27.9000   0.4402235E+00  -0.4532947E-02   0.1951746E+00
   28.0000   0.3980074E+00  -0.8116824E-01   0.2153206E+00
   28.1000   0.3516749E+00  -0.1546011E+00   0.2382741E+00
   28.2000   0.3016381E+00  -0.2247102E+00   0.2598457E+00
   28.3000   0.2467022E+00  -0.2895933E+00   0.2754649E+00
   28.4000   0.1853016E+00  -0.3463056E+00   0.2816511E+00
   28.5000   0.1170932E+00  -0.3925073E+00   0.2769985E+00
   28.6000   0.4395472E-01  -0.4280831E+00   0.2622815E+00
   28.7000  -0.3028488E-01  -0.4557440E+00   0.2396931E+00
   28.8000  -0.1013587E+00  -0.4801116E+00   0.2116252E+00
   28.9000  -0.1665593E+00  -0.5055767E+00   0.1795840E+00
   29.0000  -0.2261221E+00  -0.5338943E+00   0.1437201E+00
   29.1000  -0.2831494E+00  -0.5626845E+00   0.1031120E+00
   29.2000  -0.3419717E+00  -0.5856354E+00   0.5654882E-01
   29.3000  -0.4056720E+00  -0.5944282E+00   0.3336267E-02
   29.4000  -0.4739694E+00  -0.5816040E+00  -0.5630276E-01
   29.5000  -0.5425147E+00  -0.5431814E+00  -0.1213659E+00
   29.6000  -0.6039699E+00  -0.4799569E+00  -0.1905321E+00
   29.7000  -0.6503674E+00  -0.3970569E+00  -0.2625252E+00
   29.8000  -0.6756573E+00  -0.3020785E+00  -0.3360410E+00
   29.9000  -0.6773111E+00  -0.2027402E+00  -0.4092073E+00
   30.0000  -0.6563922E+00  -0.1050519E+00  -0.4789173E+00
   30.1000  -0.6162784E+00  -0.1265280E-01  -0.5405609E+00
   30.2000  -0.5608648E+00   0.7267357E-01  -0.5885448E+00
   30.3000  -0.4932136E+00   0.1498533E+00  -0.6175926E+00
   30.4000  -0.4152653E+00   0.2175110E+00  -0.6243452E+00
   30.5000  -0.3285639E+00   0.2736666E+00  -0.6085351E+00
   30.6000  -0.2353804E+00   0.3162432E+00  -0.5731232E+00
   30.7000  -0.1394304E+00   0.3440045E+00  -0.5232658E+00
   30.8000  -0.4565029E-01   0.3573058E+00  -0.4645481E+00
   30.9000   0.4094454E-01   0.3581574E+00  -0.4012976E+00
   31.0000   0.1167645E+00   0.3494920E+00  -0.3357401E+00
   31.1000   0.1807378E+00   0.3339841E+00  -0.2683086E+00
   31.2000   0.2344065E+00   0.3130283E+00  -0.1987931E+00
   31.3000   0.2809334E+00   0.2864287E+00  -0.1275750E+00
   31.4000   0.3234513E+00   0.2529940E+00  -0.5617994E-01
   31.5000   0.3634901E+00   0.2117647E+00   0.1318193E-01
   31.6000   0.4001593E+00   0.1632597E+00   0.7878008E-01
   31.7000   0.4304071E+00   0.1100939E+00   0.1404487E+00
   31.8000   0.4501988E+00   0.5661186E-01   0.1997935E+00
   31.9000   0.4560876E+00   0.7656128E-02   0.2591923E+00
   32.0000   0.4465402E+00  -0.3298258E-01   0.3199778E+00
   32.1000   0.4225299E+00  -0.6372725E-01   0.3807439E+00
   32.2000   0.3872431E+00  -0.8546522E-01   0.4367777E+00
   32.3000   0.3450819E+00  -0.1008011E+00   0.4811108E+00
   32.4000   0.3003769E+00  -0.1127014E+00   0.5068655E+00
   32.5000   0.2562682E+00  -0.1231899E+00   0.5098727E+00
   32.6000   0.2140965E+00  -0.1326904E+00   0.4903443E+00
   32.7000   0.1734325E+00  -0.1402463E+00   0.4528261E+00
   32.8000   0.1326539E+00  -0.1443799E+00   0.4044959E+00
   32.9000   0.8981206E-01  -0.1440241E+00   0.3526737E+00
   33.0000   0.4348013E-01  -0.1389553E+00   0.3027413E+00
   33.1000  -0.6682097E-02  -0.1294716E+00   0.2573536E+00
   33.2000  -0.5977086E-01  -0.1155379E+00   0.2170629E+00
   33.3000  -0.1138501E+00  -0.9597550E-01   0.1816866E+00
   33.4000  -0.1663629E+00  -0.6832529E-01   0.1513939E+00
   33.5000  -0.2145272E+00  -0.2968184E-01   0.1267523E+00
   33.6000  -0.2555673E+00   0.2173885E-01   0.1077010E+00
   33.7000  -0.2867645E+00   0.8500098E-01   0.9218626E-01
   33.8000  -0.3054543E+00   0.1556536E+00   0.7551905E-01
   33.9000  -0.3091560E+00   0.2262760E+00   0.5121376E-01
   34.0000  -0.2959625E+00   0.2882965E+00   0.1324680E-01
   34.1000  -0.2651546E+00   0.3344053E+00  -0.4118322E-01
   34.2000  -0.2178245E+00   0.3605781E+00  -0.1097435E+00
   34.3000  -0.1571970E+00   0.3668797E+00  -0.1849694E+00
   34.4000  -0.8839383E-01   0.3567789E+00  -0.2563779E+00
   34.5000  -0.1759408E-01   0.3353721E+00  -0.3138638E+00
   34.6000   0.4920140E-01   0.3073714E+00  -0.3509113E+00
   34.7000   0.1074000E+00   0.2757306E+00  -0.3662288E+00
   34.8000   0.1546190E+00   0.2413772E+00  -0.3631730E+00
   34.9000   0.1907972E+00   0.2039250E+00  -0.3473743E+00
   35.0000   0.2176248E+00   0.1627752E+00  -0.3237864E+00
   35.1000   0.2375474E+00   0.1179201E+00  -0.2945578E+00
   35.2000   0.2527281E+00   0.7005228E-01  -0.2586161E+00
   35.3000   0.2643037E+00   0.2006880E-01  -0.2129675E+00
   35.4000   0.2721081E+00  -0.3155958E-01  -0.1549023E+00
   35.5000   0.2748426E+00  -0.8502354E-01  -0.8396790E-01
   35.6000   0.2705486E+00  -0.1407733E+00  -0.2824296E-02
   35.7000   0.2572065E+00  -0.1986834E+00   0.8325272E-01
   35.8000   0.2333233E+00  -0.2573107E+00   0.1677949E+00
   35.9000   0.1984228E+00  -0.3137694E+00   0.2447191E+00
   36.0000   0.1533645E+00  -0.3643951E+00   0.3093825E+00
   36.1000   0.1004095E+00  -0.4059033E+00   0.3588531E+00
   36.2000   0.4295630E-01  -0.4364122E+00   0.3915724E+00
   36.3000  -0.1506487E-01  -0.4557502E+00   0.4068313E+00
   36.4000  -0.7002050E-01  -0.4648582E+00   0.4044170E+00
   36.5000  -0.1193803E+00  -0.4646344E+00   0.3845451E+00
   36.6000  -0.1622049E+00  -0.4549190E+00   0.3479549E+00
   36.7000  -0.1991076E+00  -0.4342727E+00   0.2959716E+00
   36.8000  -0.2316934E+00  -0.4007727E+00   0.2304544E+00
   36.9000  -0.2617040E+00  -0.3534457E+00   0.1537140E+00
   37.0000  -0.2902345E+00  -0.2935625E+00   0.6855763E-01
   37.1000  -0.3173337E+00  -0.2250244E+00  -0.2148514E-01
   37.2000  -0.3420961E+00  -0.1535333E+00  -0.1119170E+00
   37.3000  -0.3631009E+00  -0.8487134E-01  -0.1973262E+00
   37.4000  -0.3788970E+00  -0.2310565E-01  -0.2720094E+00
   37.5000  -0.3882706E+00   0.3042583E-01  -0.3311525E+00
   37.6000  -0.3902204E+00   0.7689176E-01  -0.3721806E+00
   37.7000  -0.3838002E+00   0.1187010E+00  -0.3956565E+00
   37.8000  -0.3680942E+00   0.1578973E+00  -0.4051814E+00
   37.9000  -0.3424974E+00   0.1950364E+00  -0.4061665E+00
   38.0000  -0.3072328E+00   0.2290378E+00  -0.4038881E+00
   38.1000  -0.2637928E+00   0.2579270E+00  -0.4016312E+00
   38.2000  -0.2149325E+00   0.2799153E+00  -0.3997349E+00
   38.3000  -0.1640282E+00   0.2941541E+00  -0.3959416E+00
   38.4000  -0.1139752E+00   0.3007919E+00  -0.3868287E+00
   38.5000  -0.6612237E-01   0.3004555E+00  -0.3695823E+00
   38.6000  -0.1982087E-01   0.2936549E+00  -0.3432438E+00
   38.7000   0.2708346E-01   0.2806290E+00  -0.3088750E+00
   38.8000   0.7696273E-01   0.2618048E+00  -0.2686836E+00
   38.9000   0.1309204E+00   0.2385594E+00  -0.2246916E+00
   39.0000   0.1878609E+00   0.2136696E+00  -0.1777267E+00
   39.1000   0.2446261E+00   0.1909344E+00  -0.1272855E+00
   39.2000   0.2971608E+00   0.1739267E+00  -0.7229136E-01
   39.3000   0.3421180E+00   0.1644086E+00  -0.1226134E-01
   39.4000   0.3780569E+00   0.1612650E+00   0.5181412E-01
   39.5000   0.4055905E+00   0.1606494E+00   0.1173909E+00
