
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:36.

 
 
 
      Time        FAIRTEN1       LINE3NAPZ
       (s)             (N)             (m)
    3.2500   4.3337095E+04  -2.6307488E+02
    3.2600   4.3351492E+04  -2.6307290E+02
    3.2700   4.3366542E+04  -2.6307093E+02
    3.2800   4.3382278E+04  -2.6306894E+02
    3.2900   4.3398642E+04  -2.6306695E+02
    3.3000   4.3415487E+04  -2.6306494E+02
    3.3100   4.3432594E+04  -2.6306293E+02
    3.3200   4.3449708E+04  -2.6306091E+02
    3.3300   4.3466576E+04  -2.6305887E+02
    3.3400   4.3482988E+04  -2.6305682E+02
    3.3500   4.3498812E+04  -2.6305477E+02
    3.3600   4.3514004E+04  -2.6305270E+02
    3.3700   4.3528614E+04  -2.6305062E+02
    3.3800   4.3542767E+04  -2.6304853E+02
    3.3900   4.3556640E+04  -2.6304643E+02
    3.4000   4.3570428E+04  -2.6304432E+02
    3.4100   4.3584318E+04  -2.6304220E+02
    3.4200   4.3598462E+04  -2.6304007E+02
    3.4300   4.3612968E+04  -2.6303794E+02
    3.4400   4.3627890E+04  -2.6303579E+02
    3.4500   4.3643234E+04  -2.6303364E+02
    3.4600   4.3658968E+04  -2.6303148E+02
    3.4700   4.3675037E+04  -2.6302932E+02
    3.4800   4.3691372E+04  -2.6302715E+02
    3.4900   4.3707905E+04  -2.6302497E+02
    3.5000   4.3724577E+04  -2.6302278E+02
    3.5100   4.3741338E+04  -2.6302059E+02
    3.5200   4.3758151E+04  -2.6301839E+02
    3.5300   4.3774989E+04  -2.6301618E+02
    3.5400   4.3791832E+04  -2.6301396E+02
    3.5500   4.3808661E+04  -2.6301173E+02
    3.5600   4.3825460E+04  -2.6300949E+02
    3.5700   4.3842212E+04  -2.6300725E+02
    3.5800   4.3858897E+04  -2.6300499E+02
    3.5900   4.3875496E+04  -2.6300272E+02
    3.6000   4.3891994E+04  -2.6300044E+02
    3.6100   4.3908377E+04  -2.6299815E+02
    3.6200   4.3924638E+04  -2.6299585E+02
    3.6300   4.3940779E+04  -2.6299353E+02
    3.6400   4.3956807E+04  -2.6299121E+02
    3.6500   4.3972737E+04  -2.6298887E+02
    3.6600   4.3988588E+04  -2.6298653E+02
    3.6700   4.4004373E+04  -2.6298417E+02
    3.6800   4.4019997E+04  -2.6298180E+02
    3.6900   4.4034453E+04  -2.6297942E+02
    3.7000   4.4042860E+04  -2.6297704E+02
    3.7100   4.4031175E+04  -2.6297464E+02
    3.7200   4.3973874E+04  -2.6297223E+02
    3.7300   4.3842025E+04  -2.6296982E+02
    3.7400   4.3620310E+04  -2.6296739E+02
    3.7500   4.3320445E+04  -2.6296496E+02
    3.7600   4.2980180E+04  -2.6296252E+02
    3.7700   4.2649500E+04  -2.6296006E+02
    3.7800   4.2374447E+04  -2.6295760E+02
    3.7900   4.2187194E+04  -2.6295513E+02
    3.8000   4.2103802E+04  -2.6295264E+02
    3.8100   4.2126341E+04  -2.6295015E+02
    3.8200   4.2245824E+04  -2.6294765E+02
    3.8300   4.2444548E+04  -2.6294513E+02
    3.8400   4.2698305E+04  -2.6294261E+02
    3.8500   4.2979318E+04  -2.6294007E+02
