
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
   14.3000   8.8340572E+02   9.0088981E+02   9.0088981E+02  -3.1670386E+00  -8.7399208E+00
   14.4000   8.4017717E+02   8.4473227E+02   8.4473227E+02  -3.2210238E+00  -8.9460497E+00
   14.5000   7.8015791E+02   7.7986867E+02   7.7986867E+02  -3.2756108E+00  -9.1441946E+00
   14.6000   7.0608188E+02   7.1200305E+02   7.1200305E+02  -3.3307364E+00  -9.3327043E+00
   14.7000   6.2850229E+02   6.4950898E+02   6.4950898E+02  -3.3863306E+00  -9.5100052E+00
   14.8000   5.5459163E+02   5.9925009E+02   5.9925009E+02  -3.4423199E+00  -9.6746003E+00
   14.9000   4.9398431E+02   5.6644974E+02   5.6644974E+02  -3.4986303E+00  -9.8250752E+00
   15.0000   4.5724625E+02   5.5243408E+02   5.5243408E+02  -3.5551899E+00  -9.9601086E+00
   15.1000   4.5392886E+02   5.5519903E+02   5.5519903E+02  -3.6119312E+00  -1.0078487E+01
   15.2000   4.8657681E+02   5.7231213E+02   5.7231213E+02  -3.6687929E+00  -1.0179123E+01
   15.3000   5.4974349E+02   6.0285013E+02   6.0285013E+02  -3.7257202E+00  -1.0261068E+01
   15.4000   6.3904155E+02   6.3633967E+02   6.3633967E+02  -3.7826658E+00  -1.0323525E+01
   15.5000   7.4732259E+02   6.7896101E+02   6.7896101E+02  -3.8395907E+00  -1.0365868E+01
   15.6000   8.7268994E+02   7.3127969E+02   7.3127969E+02  -3.8964644E+00  -1.0387646E+01
   15.7000   1.0212702E+03   7.9642651E+02   7.9642651E+02  -3.9532653E+00  -1.0388604E+01
   15.8000   1.1981275E+03   8.8013973E+02   8.8013973E+02  -4.0099805E+00  -1.0368740E+01
   15.9000   1.4219496E+03   9.8888466E+02   9.8888466E+02  -4.0666056E+00  -1.0328341E+01
