
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:53:23.

 
 
 
      Time       LINE2NBPZ       LINE2NBPX       LINE3NBPZ       LINE3NBPX
       (s)             (m)             (m)             (m)             (m)
    0.1200  -1.9993893E+01  -9.3399152E-02  -2.0266270E+01   4.0228811E-01
    0.1210  -1.9993773E+01  -9.6941791E-02  -2.0268673E+01   4.0325713E-01
    0.1220  -1.9993694E+01  -1.0052720E-01  -2.0271082E+01   4.0422308E-01
    0.1230  -1.9993652E+01  -1.0414860E-01  -2.0273495E+01   4.0518594E-01
    0.1240  -1.9993639E+01  -1.0779779E-01  -2.0275909E+01   4.0614572E-01
    0.1250  -1.9993641E+01  -1.1146539E-01  -2.0278328E+01   4.0710244E-01
    0.1260  -1.9993652E+01  -1.1514138E-01  -2.0280750E+01   4.0805605E-01
    0.1270  -1.9993658E+01  -1.1881543E-01  -2.0283178E+01   4.0900663E-01
    0.1280  -1.9993654E+01  -1.2248352E-01  -2.0285606E+01   4.0995410E-01
    0.1290  -1.9993639E+01  -1.2614676E-01  -2.0288040E+01   4.1089854E-01
    0.1300  -1.9993608E+01  -1.2980503E-01  -2.0290478E+01   4.1183987E-01
    0.1310  -1.9993559E+01  -1.3345820E-01  -2.0292917E+01   4.1277817E-01
    0.1320  -1.9993492E+01  -1.3710622E-01  -2.0295362E+01   4.1371337E-01
    0.1330  -1.9993402E+01  -1.4074905E-01  -2.0297810E+01   4.1464552E-01
    0.1340  -1.9993290E+01  -1.4438666E-01  -2.0300261E+01   4.1557458E-01
    0.1350  -1.9993153E+01  -1.4801909E-01  -2.0302715E+01   4.1650060E-01
    0.1360  -1.9992992E+01  -1.5164638E-01  -2.0305174E+01   4.1742355E-01
    0.1370  -1.9992809E+01  -1.5526858E-01  -2.0307634E+01   4.1834342E-01
    0.1380  -1.9992601E+01  -1.5888584E-01  -2.0310101E+01   4.1926026E-01
    0.1390  -1.9992373E+01  -1.6249825E-01  -2.0312569E+01   4.2017403E-01
    0.1400  -1.9992121E+01  -1.6610597E-01  -2.0315042E+01   4.2108473E-01
    0.1410  -1.9991852E+01  -1.6970916E-01  -2.0317518E+01   4.2199236E-01
    0.1420  -1.9991564E+01  -1.7330800E-01  -2.0319998E+01   4.2289695E-01
    0.1430  -1.9991262E+01  -1.7690268E-01  -2.0322481E+01   4.2379847E-01
    0.1440  -1.9990950E+01  -1.8049340E-01  -2.0324966E+01   4.2469695E-01
    0.1450  -1.9990629E+01  -1.8408035E-01  -2.0327457E+01   4.2559236E-01
    0.1460  -1.9990301E+01  -1.8766375E-01  -2.0329950E+01   4.2648470E-01
    0.1470  -1.9989971E+01  -1.9124383E-01  -2.0332449E+01   4.2737401E-01
    0.1480  -1.9989641E+01  -1.9482082E-01  -2.0334949E+01   4.2826027E-01
    0.1490  -1.9989317E+01  -1.9839524E-01  -2.0337454E+01   4.2914346E-01
    0.1500  -1.9989004E+01  -2.0197451E-01  -2.0339962E+01   4.3002361E-01
    0.1510  -1.9988712E+01  -2.0556536E-01  -2.0342472E+01   4.3090069E-01
    0.1520  -1.9988445E+01  -2.0917374E-01  -2.0344988E+01   4.3177474E-01
    0.1530  -1.9988205E+01  -2.1280478E-01  -2.0347506E+01   4.3264574E-01
    0.1540  -1.9987997E+01  -2.1646260E-01  -2.0350027E+01   4.3351367E-01
    0.1550  -1.9987822E+01  -2.2015010E-01  -2.0352554E+01   4.3437856E-01
    0.1560  -1.9987682E+01  -2.2386894E-01  -2.0355083E+01   4.3524042E-01
    0.1570  -1.9987577E+01  -2.2761942E-01  -2.0357615E+01   4.3609923E-01
    0.1580  -1.9987507E+01  -2.3140052E-01  -2.0360151E+01   4.3695498E-01
    0.1590  -1.9987469E+01  -2.3520990E-01  -2.0362692E+01   4.3780768E-01
    0.1600  -1.9987457E+01  -2.3904377E-01  -2.0365234E+01   4.3865734E-01
    0.1610  -1.9987465E+01  -2.4289733E-01  -2.0367781E+01   4.3950400E-01
    0.1620  -1.9987480E+01  -2.4676490E-01  -2.0370331E+01   4.4034755E-01
    0.1630  -1.9987497E+01  -2.5064033E-01  -2.0372885E+01   4.4118810E-01
    0.1640  -1.9987505E+01  -2.5451729E-01  -2.0375443E+01   4.4202560E-01
    0.1650  -1.9987494E+01  -2.5838947E-01  -2.0378002E+01   4.4286007E-01
    0.1660  -1.9987455E+01  -2.6225460E-01  -2.0380568E+01   4.4369149E-01
    0.1670  -1.9987391E+01  -2.6611304E-01  -2.0383135E+01   4.4451988E-01
    0.1680  -1.9987293E+01  -2.6996452E-01  -2.0385706E+01   4.4534522E-01
    0.1690  -1.9987162E+01  -2.7380887E-01  -2.0388281E+01   4.4616753E-01
    0.1700  -1.9986994E+01  -2.7764595E-01  -2.0390860E+01   4.4698679E-01
    0.1710  -1.9986790E+01  -2.8147563E-01  -2.0393442E+01   4.4780305E-01
    0.1720  -1.9986546E+01  -2.8529799E-01  -2.0396027E+01   4.4861624E-01
    0.1730  -1.9986265E+01  -2.8911301E-01  -2.0398615E+01   4.4942641E-01
    0.1740  -1.9985947E+01  -2.9292083E-01  -2.0401209E+01   4.5023355E-01
    0.1750  -1.9985596E+01  -2.9672161E-01  -2.0403805E+01   4.5103765E-01
    0.1760  -1.9985210E+01  -3.0051559E-01  -2.0406403E+01   4.5183870E-01
    0.1770  -1.9984797E+01  -3.0430308E-01  -2.0409006E+01   4.5263675E-01
    0.1780  -1.9984356E+01  -3.0808443E-01  -2.0411613E+01   4.5343176E-01
    0.1790  -1.9983894E+01  -3.1186005E-01  -2.0414223E+01   4.5422375E-01
    0.1800  -1.9983418E+01  -3.1563041E-01  -2.0416836E+01   4.5501268E-01
    0.1810  -1.9982929E+01  -3.1939596E-01  -2.0419453E+01   4.5579860E-01
    0.1820  -1.9982433E+01  -3.2315725E-01  -2.0422073E+01   4.5658150E-01
    0.1830  -1.9981936E+01  -3.2691476E-01  -2.0424696E+01   4.5736137E-01
    0.1840  -1.9981445E+01  -3.3067024E-01  -2.0427324E+01   4.5813820E-01
    0.1850  -1.9980970E+01  -3.3443224E-01  -2.0429955E+01   4.5891201E-01
    0.1860  -1.9980516E+01  -3.3820793E-01  -2.0432589E+01   4.5968279E-01
    0.1870  -1.9980091E+01  -3.4200418E-01  -2.0435226E+01   4.6045056E-01
    0.1880  -1.9979698E+01  -3.4582740E-01  -2.0437868E+01   4.6121532E-01
    0.1890  -1.9979342E+01  -3.4968308E-01  -2.0440512E+01   4.6197703E-01
    0.1900  -1.9979025E+01  -3.5357547E-01  -2.0443161E+01   4.6273571E-01
    0.1910  -1.9978752E+01  -3.5750756E-01  -2.0445812E+01   4.6349141E-01
    0.1920  -1.9978523E+01  -3.6148065E-01  -2.0448467E+01   4.6424404E-01
    0.1930  -1.9978338E+01  -3.6549449E-01  -2.0451126E+01   4.6499369E-01
    0.1940  -1.9978195E+01  -3.6954713E-01  -2.0453787E+01   4.6574029E-01
    0.1950  -1.9978092E+01  -3.7363505E-01  -2.0456453E+01   4.6648389E-01
    0.1960  -1.9978024E+01  -3.7775329E-01  -2.0459122E+01   4.6722448E-01
    0.1970  -1.9977985E+01  -3.8189572E-01  -2.0461794E+01   4.6796203E-01
    0.1980  -1.9977972E+01  -3.8605520E-01  -2.0464470E+01   4.6869656E-01
    0.1990  -1.9977968E+01  -3.9022344E-01  -2.0467150E+01   4.6942809E-01
    0.2000  -1.9977964E+01  -3.9439195E-01  -2.0469831E+01   4.7015661E-01
    0.2010  -1.9977945E+01  -3.9855316E-01  -2.0472517E+01   4.7088209E-01
    0.2020  -1.9977907E+01  -4.0270719E-01  -2.0475206E+01   4.7160459E-01
    0.2030  -1.9977846E+01  -4.0685350E-01  -2.0477900E+01   4.7232404E-01
    0.2040  -1.9977753E+01  -4.1099158E-01  -2.0480597E+01   4.7304049E-01
    0.2050  -1.9977627E+01  -4.1512096E-01  -2.0483295E+01   4.7375393E-01
    0.2060  -1.9977463E+01  -4.1924134E-01  -2.0486000E+01   4.7446436E-01
    0.2070  -1.9977257E+01  -4.2335236E-01  -2.0488707E+01   4.7517180E-01
    0.2080  -1.9977007E+01  -4.2745391E-01  -2.0491417E+01   4.7587621E-01
    0.2090  -1.9976713E+01  -4.3154579E-01  -2.0494129E+01   4.7657761E-01
    0.2100  -1.9976374E+01  -4.3562806E-01  -2.0496847E+01   4.7727600E-01
    0.2110  -1.9975990E+01  -4.3970078E-01  -2.0499567E+01   4.7797137E-01
    0.2120  -1.9975563E+01  -4.4376415E-01  -2.0502291E+01   4.7866374E-01
    0.2130  -1.9975096E+01  -4.4781843E-01  -2.0505018E+01   4.7935313E-01
    0.2140  -1.9974590E+01  -4.5186400E-01  -2.0507748E+01   4.8003948E-01
    0.2150  -1.9974052E+01  -4.5590135E-01  -2.0510483E+01   4.8072284E-01
    0.2160  -1.9973486E+01  -4.5993099E-01  -2.0513220E+01   4.8140320E-01
    0.2170  -1.9972895E+01  -4.6395355E-01  -2.0515961E+01   4.8208055E-01
    0.2180  -1.9972286E+01  -4.6796969E-01  -2.0518705E+01   4.8275489E-01
    0.2190  -1.9971664E+01  -4.7198012E-01  -2.0521452E+01   4.8342621E-01
    0.2200  -1.9971041E+01  -4.7598729E-01  -2.0524204E+01   4.8409456E-01
    0.2210  -1.9970423E+01  -4.8000029E-01  -2.0526958E+01   4.8475990E-01
    0.2220  -1.9969828E+01  -4.8402676E-01  -2.0529716E+01   4.8542222E-01
    0.2230  -1.9969261E+01  -4.8807374E-01  -2.0532476E+01   4.8608157E-01
    0.2240  -1.9968729E+01  -4.9214718E-01  -2.0535242E+01   4.8673791E-01
    0.2250  -1.9968233E+01  -4.9625239E-01  -2.0538010E+01   4.8739123E-01
    0.2260  -1.9967781E+01  -5.0039381E-01  -2.0540781E+01   4.8804158E-01
    0.2270  -1.9967371E+01  -5.0457466E-01  -2.0543554E+01   4.8868892E-01
    0.2280  -1.9967009E+01  -5.0879711E-01  -2.0546333E+01   4.8933327E-01
    0.2290  -1.9966694E+01  -5.1306194E-01  -2.0549114E+01   4.8997462E-01
    0.2300  -1.9966425E+01  -5.1736867E-01  -2.0551899E+01   4.9061298E-01
    0.2310  -1.9966200E+01  -5.2171558E-01  -2.0554688E+01   4.9124834E-01
    0.2320  -1.9966019E+01  -5.2609974E-01  -2.0557480E+01   4.9188069E-01
    0.2330  -1.9965878E+01  -5.3051710E-01  -2.0560274E+01   4.9251005E-01
    0.2340  -1.9965771E+01  -5.3496289E-01  -2.0563072E+01   4.9313644E-01
    0.2350  -1.9965693E+01  -5.3943127E-01  -2.0565874E+01   4.9375984E-01
    0.2360  -1.9965631E+01  -5.4391521E-01  -2.0568678E+01   4.9438024E-01
    0.2370  -1.9965574E+01  -5.4840755E-01  -2.0571487E+01   4.9499762E-01
    0.2380  -1.9965508E+01  -5.5290145E-01  -2.0574299E+01   4.9561203E-01
    0.2390  -1.9965420E+01  -5.5739021E-01  -2.0577112E+01   4.9622345E-01
    0.2400  -1.9965303E+01  -5.6186855E-01  -2.0579931E+01   4.9683189E-01
    0.2410  -1.9965149E+01  -5.6633633E-01  -2.0582752E+01   4.9743736E-01
    0.2420  -1.9964954E+01  -5.7079297E-01  -2.0585577E+01   4.9803981E-01
    0.2430  -1.9964714E+01  -5.7523781E-01  -2.0588406E+01   4.9863929E-01
    0.2440  -1.9964424E+01  -5.7967055E-01  -2.0591238E+01   4.9923578E-01
    0.2450  -1.9964083E+01  -5.8409083E-01  -2.0594072E+01   4.9982926E-01
    0.2460  -1.9963690E+01  -5.8849853E-01  -2.0596910E+01   5.0041980E-01
    0.2470  -1.9963243E+01  -5.9289366E-01  -2.0599752E+01   5.0100732E-01
    0.2480  -1.9962746E+01  -5.9727633E-01  -2.0602596E+01   5.0159186E-01
    0.2490  -1.9962198E+01  -6.0164684E-01  -2.0605446E+01   5.0217342E-01
    0.2500  -1.9961603E+01  -6.0600567E-01  -2.0608297E+01   5.0275201E-01
    0.2510  -1.9960966E+01  -6.1035335E-01  -2.0611151E+01   5.0332767E-01
    0.2520  -1.9960291E+01  -6.1469102E-01  -2.0614010E+01   5.0390029E-01
    0.2530  -1.9959589E+01  -6.1902452E-01  -2.0616871E+01   5.0446993E-01
    0.2540  -1.9958870E+01  -6.2335974E-01  -2.0619736E+01   5.0503659E-01
    0.2550  -1.9958145E+01  -6.2770277E-01  -2.0622604E+01   5.0560027E-01
    0.2560  -1.9957424E+01  -6.3205922E-01  -2.0625475E+01   5.0616097E-01
    0.2570  -1.9956718E+01  -6.3643444E-01  -2.0628349E+01   5.0671870E-01
    0.2580  -1.9956038E+01  -6.4083266E-01  -2.0631227E+01   5.0727350E-01
    0.2590  -1.9955387E+01  -6.4525741E-01  -2.0634108E+01   5.0782526E-01
    0.2600  -1.9954775E+01  -6.4971089E-01  -2.0636992E+01   5.0837409E-01
    0.2610  -1.9954201E+01  -6.5419400E-01  -2.0639879E+01   5.0891989E-01
    0.2620  -1.9953665E+01  -6.5870672E-01  -2.0642771E+01   5.0946277E-01
    0.2630  -1.9953165E+01  -6.6324848E-01  -2.0645664E+01   5.1000267E-01
    0.2640  -1.9952703E+01  -6.6781825E-01  -2.0648563E+01   5.1053959E-01
    0.2650  -1.9952278E+01  -6.7241478E-01  -2.0651463E+01   5.1107353E-01
    0.2660  -1.9951885E+01  -6.7703646E-01  -2.0654367E+01   5.1160455E-01
    0.2670  -1.9951525E+01  -6.8168169E-01  -2.0657274E+01   5.1213253E-01
    0.2680  -1.9951199E+01  -6.8634886E-01  -2.0660185E+01   5.1265758E-01
    0.2690  -1.9950899E+01  -6.9103640E-01  -2.0663099E+01   5.1317966E-01
    0.2700  -1.9950630E+01  -6.9574279E-01  -2.0666016E+01   5.1369876E-01
    0.2710  -1.9950384E+01  -7.0046592E-01  -2.0668936E+01   5.1421493E-01
    0.2720  -1.9950153E+01  -7.0520365E-01  -2.0671860E+01   5.1472813E-01
    0.2730  -1.9949934E+01  -7.0995390E-01  -2.0674786E+01   5.1523834E-01
    0.2740  -1.9949717E+01  -7.1471447E-01  -2.0677715E+01   5.1574558E-01
    0.2750  -1.9949497E+01  -7.1948332E-01  -2.0680649E+01   5.1624990E-01
    0.2760  -1.9949266E+01  -7.2425824E-01  -2.0683584E+01   5.1675117E-01
    0.2770  -1.9949018E+01  -7.2903687E-01  -2.0686523E+01   5.1724958E-01
    0.2780  -1.9948750E+01  -7.3381704E-01  -2.0689466E+01   5.1774496E-01
    0.2790  -1.9948448E+01  -7.3859644E-01  -2.0692413E+01   5.1823741E-01
    0.2800  -1.9948114E+01  -7.4337316E-01  -2.0695362E+01   5.1872689E-01
    0.2810  -1.9947741E+01  -7.4814558E-01  -2.0698315E+01   5.1921344E-01
    0.2820  -1.9947325E+01  -7.5291270E-01  -2.0701269E+01   5.1969701E-01
    0.2830  -1.9946865E+01  -7.5767392E-01  -2.0704229E+01   5.2017760E-01
    0.2840  -1.9946362E+01  -7.6242924E-01  -2.0707191E+01   5.2065527E-01
    0.2850  -1.9945812E+01  -7.6717931E-01  -2.0710155E+01   5.2113003E-01
    0.2860  -1.9945221E+01  -7.7192527E-01  -2.0713125E+01   5.2160174E-01
    0.2870  -1.9944592E+01  -7.7666873E-01  -2.0716097E+01   5.2207059E-01
    0.2880  -1.9943928E+01  -7.8141189E-01  -2.0719070E+01   5.2253640E-01
    0.2890  -1.9943233E+01  -7.8615701E-01  -2.0722048E+01   5.2299929E-01
    0.2900  -1.9942514E+01  -7.9090673E-01  -2.0725029E+01   5.2345926E-01
    0.2910  -1.9941778E+01  -7.9566354E-01  -2.0728014E+01   5.2391624E-01
    0.2920  -1.9941031E+01  -8.0042994E-01  -2.0731001E+01   5.2437031E-01
    0.2930  -1.9940277E+01  -8.0520815E-01  -2.0733992E+01   5.2482140E-01
    0.2940  -1.9939524E+01  -8.1000006E-01  -2.0736986E+01   5.2526957E-01
    0.2950  -1.9938778E+01  -8.1480688E-01  -2.0739983E+01   5.2571476E-01
    0.2960  -1.9938042E+01  -8.1962967E-01  -2.0742983E+01   5.2615702E-01
    0.2970  -1.9937323E+01  -8.2446903E-01  -2.0745987E+01   5.2659637E-01
    0.2980  -1.9936621E+01  -8.2932550E-01  -2.0748993E+01   5.2703273E-01
    0.2990  -1.9935944E+01  -8.3419973E-01  -2.0752003E+01   5.2746618E-01
    0.3000  -1.9935289E+01  -8.3909225E-01  -2.0755014E+01   5.2789670E-01
    0.3010  -1.9934666E+01  -8.4400374E-01  -2.0758030E+01   5.2832425E-01
    0.3020  -1.9934072E+01  -8.4893507E-01  -2.0761049E+01   5.2874887E-01
