
These predictions were generated by SeaState on 20-Dec-2023 at 15:17:55.




      Time       Wave1Elev       Wave2Elev       Wave3Elev         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2         FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi          FDynP3
   (sec)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    3.2000  -0.2213019E+00   0.2934711E+00  -0.3242958E+00   0.3296729E-01   0.1251215E+00  -0.5528144E-01   0.3215755E-01   0.8994603E-01   0.2294185E+00  -0.8444347E+03   0.7039026E-02  -0.4453514E+00   0.3278109E+00  -0.8579521E+00  -0.8309107E-01  -0.3699963E+00   0.2959236E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.3000  -0.2443097E+00   0.3233868E+00  -0.2945002E+00   0.3527733E-01   0.1325080E+00  -0.3112343E-01   0.1421064E-01   0.5718232E-01   0.2522969E+00  -0.8880529E+03  -0.9562629E-01  -0.4459310E+00   0.2801359E+00  -0.1174067E+01   0.7241301E-01  -0.6143796E+00   0.3266837E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.4000  -0.2524537E+00   0.3471016E+00  -0.2502701E+00   0.3585826E-01   0.1364558E+00  -0.5119330E-02  -0.2277282E-02   0.2135424E-01   0.2662718E+00  -0.9063851E+03  -0.2207097E+00  -0.4303476E+00   0.2000730E+00  -0.1281117E+01   0.2433206E+00  -0.1000884E+01   0.3511445E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.5000  -0.2456067E+00   0.3609021E+00  -0.1950044E+00   0.3489686E-01   0.1367148E+00   0.2182672E-01  -0.1652376E-01  -0.1639502E-01   0.2711344E+00  -0.8980289E+03  -0.3415522E+00  -0.3963493E+00   0.8003850E-01  -0.1084130E+01   0.4408036E+00  -0.1383656E+01   0.3655459E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.6000  -0.2258653E+00   0.3611402E+00  -0.1332384E+00   0.3264690E-01   0.1331526E+00   0.4880998E-01  -0.2797760E-01  -0.5486931E-01   0.2670814E+00  -0.8624935E+03  -0.4286716E+00  -0.3417745E+00  -0.7037301E-01  -0.6256036E+00   0.6495312E+00  -0.1579870E+01   0.3661980E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.7000  -0.1969012E+00   0.3459801E+00  -0.6954563E-01   0.2940425E-01   0.1257571E+00   0.7496433E-01  -0.3635325E-01  -0.9285876E-01   0.2546788E+00  -0.8001814E+03  -0.4634270E+00  -0.2675964E+00  -0.2253744E+00  -0.7126473E-01   0.8230998E+00  -0.1463783E+01   0.3512367E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.8000  -0.1630433E+00   0.3165941E+00  -0.7851800E-02   0.2547946E-01   0.1146366E+00   0.9949634E-01  -0.4164142E-01  -0.1291766E+00   0.2348023E+00  -0.7123326E+03  -0.4467873E+00  -0.1803893E+00  -0.3526341E+00   0.3693068E+00   0.9001467E+00  -0.1037701E+01   0.3218276E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    3.9000  -0.1283297E+00   0.2771302E+00   0.4864987E-01   0.2117074E-01   0.1000152E+00   0.1217125E+00  -0.4409368E-01  -0.1626933E+00   0.2085611E+00  -0.6009351E+03  -0.3985162E+00  -0.9236425E-01  -0.4271384E+00   0.5460670E+00   0.8348519E+00  -0.4410956E+00   0.2821340E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.0000  -0.9571978E-01   0.2333688E+00   0.9712778E-01   0.1673965E-01   0.8222612E-01   0.1410382E+00  -0.4418306E-01  -0.1923684E+00   0.1772124E+00  -0.4686165E+03  -0.3471224E+00  -0.1825902E-01  -0.4424351E+00   0.4412075E+00   0.6263564E+00   0.1087962E+00   0.2379666E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.1000  -0.6660820E-01   0.1906345E+00   0.1346767E+00   0.1239185E-01   0.6170055E-01   0.1570286E+00  -0.4254382E-01  -0.2172788E+00   0.1420739E+00  -0.3185161E+03  -0.3158042E+00   0.2994457E-01  -0.4136098E+00   0.1729406E+00   0.3304822E+00   0.4156499E+00   0.1946842E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
