
Predictions were generated on 09-Jun-2020 at 10:52:56 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.390000	-5.607E+03	-2.368E+05	-6.141E+02	 5.851E+06	-2.333E+05	-4.764E+03	 4.904E+04	-2.317E+05	-6.141E+02	 5.747E+06	 1.120E+06	-4.764E+03	 3.281E-02	-7.908E-01	-6.226E-03	 1.914E-02	 2.260E-04	-1.836E-04
       0.400000	-5.604E+03	-2.407E+05	-6.842E+02	 5.956E+06	-2.326E+05	-5.086E+03	 4.996E+04	-2.356E+05	-6.842E+02	 5.849E+06	 1.145E+06	-5.086E+03	 3.889E-02	-8.030E-01	-6.419E-03	 1.942E-02	 5.856E-04	-2.332E-04
       0.410000	-5.560E+03	-2.442E+05	-7.178E+02	 6.038E+06	-2.303E+05	-5.374E+03	 5.080E+04	-2.389E+05	-7.178E+02	 5.929E+06	 1.166E+06	-5.374E+03	 4.483E-02	-8.154E-01	-6.629E-03	 1.979E-02	 8.835E-04	-2.704E-04
       0.420000	-5.480E+03	-2.466E+05	-7.138E+02	 6.094E+06	-2.264E+05	-5.614E+03	 5.143E+04	-2.413E+05	-7.138E+02	 5.983E+06	 1.183E+06	-5.614E+03	 5.062E-02	-8.277E-01	-6.853E-03	 2.024E-02	 1.119E-03	-2.938E-04
       0.430000	-5.369E+03	-2.475E+05	-6.826E+02	 6.118E+06	-2.209E+05	-5.802E+03	 5.176E+04	-2.421E+05	-6.826E+02	 6.004E+06	 1.193E+06	-5.802E+03	 5.627E-02	-8.395E-01	-7.083E-03	 2.072E-02	 1.298E-03	-3.034E-04
       0.440000	-5.230E+03	-2.466E+05	-6.434E+02	 6.106E+06	-2.139E+05	-5.936E+03	 5.167E+04	-2.411E+05	-6.434E+02	 5.991E+06	 1.197E+06	-5.936E+03	 6.182E-02	-8.505E-01	-7.313E-03	 2.122E-02	 1.428E-03	-3.010E-04
       0.450000	-5.064E+03	-2.435E+05	-6.175E+02	 6.057E+06	-2.054E+05	-6.025E+03	 5.111E+04	-2.381E+05	-6.175E+02	 5.941E+06	 1.194E+06	-6.025E+03	 6.730E-02	-8.602E-01	-7.533E-03	 2.170E-02	 1.521E-03	-2.892E-04
       0.460000	-4.870E+03	-2.383E+05	-6.194E+02	 5.973E+06	-1.955E+05	-6.084E+03	 5.012E+04	-2.330E+05	-6.194E+02	 5.858E+06	 1.185E+06	-6.084E+03	 7.279E-02	-8.683E-01	-7.734E-03	 2.214E-02	 1.589E-03	-2.717E-04
       0.470000	-4.645E+03	-2.315E+05	-6.522E+02	 5.862E+06	-1.841E+05	-6.131E+03	 4.877E+04	-2.264E+05	-6.522E+02	 5.747E+06	 1.170E+06	-6.131E+03	 7.834E-02	-8.744E-01	-7.908E-03	 2.252E-02	 1.644E-03	-2.525E-04
       0.480000	-4.385E+03	-2.237E+05	-7.071E+02	 5.730E+06	-1.713E+05	-6.185E+03	 4.723E+04	-2.187E+05	-7.071E+02	 5.616E+06	 1.152E+06	-6.185E+03	 8.400E-02	-8.783E-01	-8.047E-03	 2.282E-02	 1.699E-03	-2.358E-04
       0.490000	-4.088E+03	-2.156E+05	-7.672E+02	 5.589E+06	-1.571E+05	-6.259E+03	 4.566E+04	-2.108E+05	-7.672E+02	 5.475E+06	 1.134E+06	-6.259E+03	 8.984E-02	-8.799E-01	-8.144E-03	 2.304E-02	 1.764E-03	-2.255E-04
       0.500000	-3.752E+03	-2.080E+05	-8.145E+02	 5.448E+06	-1.416E+05	-6.360E+03	 4.424E+04	-2.033E+05	-8.145E+02	 5.335E+06	 1.116E+06	-6.360E+03	 9.592E-02	-8.791E-01	-8.193E-03	 2.319E-02	 1.851E-03	-2.251E-04
       0.510000	-3.374E+03	-2.015E+05	-8.348E+02	 5.316E+06	-1.248E+05	-6.486E+03	 4.310E+04	-1.969E+05	-8.348E+02	 5.202E+06	 1.102E+06	-6.486E+03	 1.023E-01	-8.756E-01	-8.190E-03	 2.325E-02	 1.968E-03	-2.370E-04
       0.520000	-2.956E+03	-1.965E+05	-8.210E+02	 5.199E+06	-1.068E+05	-6.627E+03	 4.235E+04	-1.919E+05	-8.210E+02	 5.084E+06	 1.093E+06	-6.627E+03	 1.089E-01	-8.695E-01	-8.131E-03	 2.322E-02	 2.126E-03	-2.625E-04
       0.530000	-2.497E+03	-1.931E+05	-7.729E+02	 5.099E+06	-8.763E+04	-6.770E+03	 4.203E+04	-1.885E+05	-7.729E+02	 4.982E+06	 1.088E+06	-6.770E+03	 1.160E-01	-8.606E-01	-8.012E-03	 2.309E-02	 2.334E-03	-3.014E-04
       0.540000	-1.999E+03	-1.914E+05	-6.955E+02	 5.017E+06	-6.746E+04	-6.897E+03	 4.211E+04	-1.867E+05	-6.955E+02	 4.898E+06	 1.089E+06	-6.897E+03	 1.234E-01	-8.487E-01	-7.831E-03	 2.285E-02	 2.597E-03	-3.520E-04
       0.550000	-1.465E+03	-1.910E+05	-5.966E+02	 4.952E+06	-4.636E+04	-6.991E+03	 4.254E+04	-1.862E+05	-5.966E+02	 4.829E+06	 1.095E+06	-6.991E+03	 1.312E-01	-8.337E-01	-7.587E-03	 2.249E-02	 2.921E-03	-4.111E-04
