
These predictions were generated by SeaState on 08-Apr-2022 at 13:45:53.




      Time                          Wave1Elev                          Wave1Elv1                          Wave1Elv2                          Wave2Elev                          Wave2Elv1                          Wave2Elv2                            FVel1xi                            FVel1yi                            FVel1zi                            FAcc1xi                            FAcc1yi                            FAcc1zi                             FDynP1                            FVel2xi                            FVel2yi                            FVel2zi                            FAcc2xi                            FAcc2yi                            FAcc2zi                             FDynP2
   (sec)                                (m)                                (m)                                (m)                                (m)                                (m)                                (m)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)
    0.4750                     -0.7490918E+00                     -0.7490918E+00                      0.0000000E+00                      0.4268322E+00                      0.4268322E+00                      0.0000000E+00                     -0.2935234E+00                      0.0000000E+00                      0.1934026E+00                      0.1074255E+00                      0.0000000E+00                      0.1784204E+00                     -0.5189225E+04                      0.1245366E+00                      0.0000000E+00                      0.2482731E+00                      0.1455765E+00                      0.0000000E+00                     -0.1109448E+00                      0.1118537E+04
    0.4875                     -0.7457275E+00                     -0.7457275E+00                      0.0000000E+00                      0.4300864E+00                      0.4300864E+00                      0.0000000E+00                     -0.2921449E+00                      0.0000000E+00                      0.1956159E+00                      0.1087956E+00                      0.0000000E+00                      0.1776392E+00                     -0.5164309E+04                      0.1263301E+00                      0.0000000E+00                      0.2468552E+00                      0.1444320E+00                      0.0000000E+00                     -0.1120717E+00                      0.1149462E+04
    0.5000                     -0.7423633E+00                     -0.7423633E+00                      0.0000000E+00                      0.4333405E+00                      0.4333405E+00                      0.0000000E+00                     -0.2907664E+00                      0.0000000E+00                      0.1978291E+00                      0.1101657E+00                      0.0000000E+00                      0.1768581E+00                     -0.5139393E+04                      0.1281236E+00                      0.0000000E+00                      0.2454373E+00                      0.1432875E+00                      0.0000000E+00                     -0.1131985E+00                      0.1180386E+04
    0.5125                     -0.7389990E+00                     -0.7389990E+00                      0.0000000E+00                      0.4365947E+00                      0.4365947E+00                      0.0000000E+00                     -0.2893879E+00                      0.0000000E+00                      0.2000424E+00                      0.1115358E+00                      0.0000000E+00                      0.1760769E+00                     -0.5114477E+04                      0.1299170E+00                      0.0000000E+00                      0.2440194E+00                      0.1421431E+00                      0.0000000E+00                     -0.1143254E+00                      0.1211311E+04
    0.5250                     -0.7356347E+00                     -0.7356347E+00                      0.0000000E+00                      0.4398488E+00                      0.4398488E+00                      0.0000000E+00                     -0.2880094E+00                      0.0000000E+00                      0.2022556E+00                      0.1129059E+00                      0.0000000E+00                      0.1752958E+00                     -0.5089561E+04                      0.1317105E+00                      0.0000000E+00                      0.2426016E+00                      0.1409986E+00                      0.0000000E+00                     -0.1154523E+00                      0.1242236E+04
    0.5375                     -0.7322705E+00                     -0.7322705E+00                      0.0000000E+00                      0.4431030E+00                      0.4431030E+00                      0.0000000E+00                     -0.2866310E+00                      0.0000000E+00                      0.2044689E+00                      0.1142760E+00                      0.0000000E+00                      0.1745147E+00                     -0.5064645E+04                      0.1335040E+00                      0.0000000E+00                      0.2411837E+00                      0.1398541E+00                      0.0000000E+00                     -0.1165791E+00                      0.1273161E+04
    0.5500                     -0.7289062E+00                     -0.7289062E+00                      0.0000000E+00                      0.4463571E+00                      0.4463571E+00                      0.0000000E+00                     -0.2852525E+00                      0.0000000E+00                      0.2066821E+00                      0.1156461E+00                      0.0000000E+00                      0.1737335E+00                     -0.5039729E+04                      0.1352975E+00                      0.0000000E+00                      0.2397658E+00                      0.1387097E+00                      0.0000000E+00                     -0.1177060E+00                      0.1304086E+04
    0.5625                     -0.7255419E+00                     -0.7255419E+00                      0.0000000E+00                      0.4496113E+00                      0.4496113E+00                      0.0000000E+00                     -0.2838740E+00                      0.0000000E+00                      0.2088954E+00                      0.1170162E+00                      0.0000000E+00                      0.1729524E+00                     -0.5014814E+04                      0.1370910E+00                      0.0000000E+00                      0.2383479E+00                      0.1375652E+00                      0.0000000E+00                     -0.1188329E+00                      0.1335010E+04
    0.5750                     -0.7221777E+00                     -0.7221777E+00                      0.0000000E+00                      0.4528655E+00                      0.4528655E+00                      0.0000000E+00                     -0.2824955E+00                      0.0000000E+00                      0.2111086E+00                      0.1183864E+00                      0.0000000E+00                      0.1721712E+00                     -0.4989898E+04                      0.1388844E+00                      0.0000000E+00                      0.2369300E+00                      0.1364207E+00                      0.0000000E+00                     -0.1199598E+00                      0.1365935E+04
    0.5875                     -0.7188134E+00                     -0.7188134E+00                      0.0000000E+00                      0.4561196E+00                      0.4561196E+00                      0.0000000E+00                     -0.2811170E+00                      0.0000000E+00                      0.2133219E+00                      0.1197565E+00                      0.0000000E+00                      0.1713901E+00                     -0.4964982E+04                      0.1406779E+00                      0.0000000E+00                      0.2355122E+00                      0.1352763E+00                      0.0000000E+00                     -0.1210866E+00                      0.1396860E+04
    0.6000                     -0.7154492E+00                     -0.7154492E+00                      0.0000000E+00                      0.4593737E+00                      0.4593737E+00                      0.0000000E+00                     -0.2797385E+00                      0.0000000E+00                      0.2155351E+00                      0.1211266E+00                      0.0000000E+00                      0.1706089E+00                     -0.4940066E+04                      0.1424714E+00                      0.0000000E+00                      0.2340943E+00                      0.1341318E+00                      0.0000000E+00                     -0.1222135E+00                      0.1427785E+04
    0.6125                     -0.7121340E+00                     -0.7121340E+00                      0.0000000E+00                      0.4621198E+00                      0.4621198E+00                      0.0000000E+00                     -0.2780948E+00                      0.0000000E+00                      0.2175772E+00                      0.1224076E+00                      0.0000000E+00                      0.1696793E+00                     -0.4910868E+04                      0.1440225E+00                      0.0000000E+00                      0.2324689E+00                      0.1328568E+00                      0.0000000E+00                     -0.1231592E+00                      0.1455645E+04
    0.6250                     -0.7088189E+00                     -0.7088189E+00                      0.0000000E+00                      0.4648659E+00                      0.4648659E+00                      0.0000000E+00                     -0.2764510E+00                      0.0000000E+00                      0.2196193E+00                      0.1236887E+00                      0.0000000E+00                      0.1687496E+00                     -0.4881666E+04                      0.1455736E+00                      0.0000000E+00                      0.2308436E+00                      0.1315817E+00                      0.0000000E+00                     -0.1241049E+00                      0.1483505E+04
    0.6375                     -0.7055037E+00                     -0.7055037E+00                      0.0000000E+00                      0.4676120E+00                      0.4676120E+00                      0.0000000E+00                     -0.2748073E+00                      0.0000000E+00                      0.2216614E+00                      0.1249698E+00                      0.0000000E+00                      0.1678200E+00                     -0.4852467E+04                      0.1471247E+00                      0.0000000E+00                      0.2292182E+00                      0.1303067E+00                      0.0000000E+00                     -0.1250506E+00                      0.1511365E+04
    0.6500                     -0.7021886E+00                     -0.7021886E+00                      0.0000000E+00                      0.4703581E+00                      0.4703581E+00                      0.0000000E+00                     -0.2731635E+00                      0.0000000E+00                      0.2237034E+00                      0.1262509E+00                      0.0000000E+00                      0.1668904E+00                     -0.4823267E+04                      0.1486758E+00                      0.0000000E+00                      0.2275928E+00                      0.1290316E+00                      0.0000000E+00                     -0.1259964E+00                      0.1539225E+04
    0.6625                     -0.6988734E+00                     -0.6988734E+00                      0.0000000E+00                      0.4731041E+00                      0.4731041E+00                      0.0000000E+00                     -0.2715198E+00                      0.0000000E+00                      0.2257456E+00                      0.1275319E+00                      0.0000000E+00                      0.1659607E+00                     -0.4794068E+04                      0.1502270E+00                      0.0000000E+00                      0.2259674E+00                      0.1277566E+00                      0.0000000E+00                     -0.1269421E+00                      0.1567085E+04
    0.6750                     -0.6955582E+00                     -0.6955582E+00                      0.0000000E+00                      0.4758503E+00                      0.4758503E+00                      0.0000000E+00                     -0.2698760E+00                      0.0000000E+00                      0.2277876E+00                      0.1288130E+00                      0.0000000E+00                      0.1650310E+00                     -0.4764867E+04                      0.1517781E+00                      0.0000000E+00                      0.2243420E+00                      0.1264816E+00                      0.0000000E+00                     -0.1278878E+00                      0.1594945E+04
    0.6875                     -0.6922431E+00                     -0.6922431E+00                      0.0000000E+00                      0.4785963E+00                      0.4785963E+00                      0.0000000E+00                     -0.2682323E+00                      0.0000000E+00                      0.2298297E+00                      0.1300941E+00                      0.0000000E+00                      0.1641014E+00                     -0.4735668E+04                      0.1533292E+00                      0.0000000E+00                      0.2227167E+00                      0.1252065E+00                      0.0000000E+00                     -0.1288335E+00                      0.1622804E+04
    0.7000                     -0.6889279E+00                     -0.6889279E+00                      0.0000000E+00                      0.4813424E+00                      0.4813424E+00                      0.0000000E+00                     -0.2665886E+00                      0.0000000E+00                      0.2318718E+00                      0.1313752E+00                      0.0000000E+00                      0.1631718E+00                     -0.4706469E+04                      0.1548803E+00                      0.0000000E+00                      0.2210913E+00                      0.1239315E+00                      0.0000000E+00                     -0.1297793E+00                      0.1650665E+04
