## This file was generated by MoorDyn c-bindings library on Aug-13-2024 at 17:07:14
## This file contains output channels requested from the OutList section of the input fileMD.out
#
#
#
#
     Time               FAIRTEN1                 FAIRTEN2                 FAIRTEN3                 ANCHTEN1                 ANCHTEN2                 ANCHTEN3        
      (s)                 (N)                      (N)                      (N)                      (N)                      (N)                      (N)           
    2.7000          1155059.0000000           488866.1250000          1153762.8750000           783417.8125000           317532.6250000           781837.1250000
    2.7125          1145908.6250000           489095.9062500          1144729.3750000           801030.0625000           317544.7187500           799462.5000000
    2.7250          1135813.5000000           489323.9687500          1134745.1250000           819410.0625000           317556.8750000           817856.0000000
    2.7375          1125012.8750000           489549.9687500          1124049.1250000           838337.1250000           317569.5312500           836798.0000000
    2.7500          1113745.6250000           587888.5625000          1112879.5000000           857585.1875000           317583.0937500           856063.6875000
    2.7625          1102264.7500000           792832.6250000          1101488.8750000           876925.9375000           317597.9062500           875425.8125000
    2.7750          1090804.3750000           888671.8125000          1090110.6250000           896132.3750000           317614.4062500           894658.4375000
    2.7875          1079597.5000000           933318.4375000          1078977.6250000           914982.0625000           317632.9062500           913540.3750000
    2.8000          1068870.7500000           953838.4375000          1068316.0000000           933260.8750000           317653.8750000           931858.1875000
    2.8125          1058827.1250000           962916.2500000          1058328.5000000           950765.9375000           317677.7812500           949409.6875000
    2.8250          1049656.3750000           966492.3125000          1049204.6250000           967308.6875000           317705.1875000           966006.8750000
    2.8375          1041521.6875000           967370.6250000          1041107.4375000           982717.5000000           317737.4687500           981478.3125000
    2.8500          1034573.6250000           966862.1875000          1034187.5625000           996839.9375000           317779.1875000           995671.4375000
    2.8625          1028928.4375000           965615.0625000          1028561.3125000          1009544.3125000           317846.8750000          1008454.3750000
    2.8750          1024689.1875000           963932.7500000          1024331.7500000          1020721.3125000           317990.0625000          1019717.3125000
    2.8875          1021920.2500000           961992.7500000          1021563.6250000          1030284.8125000           318330.9375000          1029373.4375000
    2.9000          1020677.3125000           959867.5000000          1020312.9375000          1038172.6875000           319122.8437500          1037359.5625000
    2.9125          1020979.6250000           957615.6875000          1020599.1250000          1044346.7500000           320816.9062500          1043636.6250000
    2.9250          1022833.5625000           955256.6250000          1022428.9375000          1048793.0000000           324113.3750000          1048189.4375000
    2.9375          1026208.1875000           952827.4375000          1025771.8750000          1051521.1250000           329970.9062500          1051026.6250000
    2.9500          1031064.0625000           950334.5000000          1030589.1250000          1052564.2500000           339550.6562500          1052179.7500000
    2.9625          1037340.3125000           947782.6250000          1036820.3125000          1051977.6250000           354090.4062500          1051702.8750000
    2.9750          1044942.8750000           945200.0000000          1044372.1250000          1049837.6250000           374724.3437500          1049671.3750000
    2.9875          1053773.2500000           942585.0000000          1053147.0000000          1046241.3125000           402284.4687500          1046180.7500000
    3.0000          1063715.1250000           939935.3125000          1063029.6250000          1041304.2500000           437128.0625000          1041345.5000000
    3.0125          1074629.7500000           937260.4375000          1073882.3750000          1035159.5625000           479031.9687500          1035297.5000000
    3.0250          1086367.1250000           934563.8125000          1085556.8750000          1027955.5625000           527176.8125000          1028183.9375000
    3.0375          1098770.5000000           931840.0625000          1097897.5000000          1019853.6875000           580222.3750000          1020165.1250000
    3.0500          1111675.2500000           929081.1250000          1110741.2500000          1011025.5625000           636454.8125000          1011411.9375000
    3.0625          1124902.3750000           926297.2500000          1123910.6250000          1001650.3125000           693972.4375000          1002102.5625000
    3.0750          1138281.7500000           923478.3125000          1137236.5000000           991911.2500000           750876.5625000           992419.7500000
    3.0875          1151637.3750000           920629.5625000          1150544.3750000           981992.1250000           805437.2500000           982546.7500000
    3.1000          1164791.3750000           917775.8750000          1163657.0000000           972074.0625000           856214.4375000           972664.3125000
    3.1125          1177581.6250000           914933.6250000          1176413.3750000           962332.0000000           902128.6250000           962947.1250000
    3.1250          1189845.2500000           912156.3125000          1188650.7500000           952931.8750000           942481.3125000           953561.1875000
    3.1375          1201433.1250000           909516.4375000          1200220.1250000           944028.3125000           976935.6875000           944660.8125000
    3.1500          1212201.0000000           907132.6875000          1210977.3750000           935762.0000000          1005468.4375000           936387.0000000
    3.1625          1222032.1250000           905135.6250000          1220805.2500000           928258.3750000          1028305.6250000           928865.2500000
    3.1750          1230805.0000000           903738.6250000          1229581.6250000           921626.1875000          1045846.6250000           922204.4375000
    3.1875          1238431.1250000           903163.8125000          1237217.7500000           915956.3750000          1058575.5000000           916495.8750000
    3.2000          1244829.3750000           903694.7500000          1243631.5000000           911321.6250000          1067018.3750000           911812.5000000
    3.2125          1249938.3750000           905640.0000000          1248760.6250000           907776.1250000          1071758.1250000           908208.9375000
    3.2250          1253720.5000000           909312.6250000          1252566.8750000           905355.1250000          1073418.6250000           905720.9375000
    3.2375          1256149.2500000           915036.5625000          1255022.7500000           904075.6875000          1072602.0000000           904366.1250000
    3.2500          1257220.1250000           923107.5000000          1256123.2500000           903936.5000000          1069830.5000000           904143.8125000
    3.2625          1256946.8750000           933781.3750000          1255881.1250000           904918.8125000          1065525.8750000           905036.0625000
    3.2750          1255358.3750000           947261.9375000          1254324.2500000           906987.1875000          1060017.6250000           907008.2500000
    3.2875          1252509.3750000           963657.3125000          1251506.7500000           910089.7500000          1053564.3750000           910009.5625000
    3.3000          1248459.5000000           982997.1875000          1247487.5000000           914159.4375000          1046375.2500000           913974.0000000
