
Predictions were generated on 08-Sep-2022 at 14:21:33 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-270-gf067eb99-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MoorDyn (v2.a27, 2022-07-20)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time     B1Surge        B1Sway          B1Heave         B1Roll          B1Pitch        B1Yaw           B1TVxi          B1TVyi          B1TVzi          B1RVxi          B1RVyi          B1RVzi          B1TAxi          B1TAyi          B1TAzi          B1RAxi          B1RAyi          B1RAzi
(s)      (m)            (m)             (m)             (rad)           (rad)          (rad)           (m/s)           (m/s)           (m/s)           (rad/s)         (rad/s)         (rad/s)         (m/s^2)         (m/s^2)         (m/s^2)         (rad/s^2)       (rad/s^2)       (rad/s^2)
0.6000   5.0003529E+00  5.7271920E-04   3.2781942E-03   -2.1786316E-05  3.2110926E-02  -2.1498495E-06  1.0361007E-02   1.0282239E-03   9.2245797E-03   -2.9326464E-05  -3.1499432E-03  -1.1402643E-05  7.5998217E-02   -4.8821243E-03  9.3077281E-03   2.6499154E-04   -2.7851874E-03  -2.4357256E-05
0.6125   5.0004883E+00  5.8519491E-04   3.3942275E-03   -2.2132341E-05  3.2071341E-02  -2.2942509E-06  1.1335104E-02   9.6853438E-04   9.3406942E-03   -2.6060876E-05  -3.1837029E-03  -1.1698463E-05  8.0049857E-02   -4.6969266E-03  9.2489403E-03   2.5829347E-04   -2.6009907E-03  -2.3030001E-05
0.6250   5.0006366E+00  5.9693685E-04   3.5117075E-03   -2.2438004E-05  3.2031346E-02  -2.4422557E-06  1.2357851E-02   9.1091584E-04   9.4560431E-03   -2.2874741E-05  -3.2151649E-03  -1.1979763E-05  8.3783738E-02   -4.6271877E-03  9.2094894E-03   2.5567471E-04   -2.4287309E-03  -2.2077003E-05
0.6375   5.0007977E+00  6.0796324E-04   3.6306269E-03   -2.2704027E-05  3.1990968E-02  -2.5937063E-06  1.3425494E-02   8.5412862E-04   9.5710475E-03   -1.9723480E-05  -3.2445688E-03  -1.2250081E-05  8.7128334E-02   -4.6111383E-03  9.1902670E-03   2.5486806E-04   -2.2711765E-03  -2.1280155E-05
0.6500   5.0009723E+00  6.1828189E-04   3.7509832E-03   -2.2930761E-05  3.1950239E-02  -2.7484712E-06  1.4532817E-02   7.9773314E-04   9.6858963E-03   -1.6591608E-05  -3.2720801E-03  -1.2509986E-05  9.0048894E-02   -4.5769615E-03  9.1910139E-03   2.5322248E-04   -2.1297119E-03  -2.0384583E-05
0.6625   5.0011611E+00  6.2790047E-04   3.8727752E-03   -2.3118560E-05  3.1909175E-02  -2.9064065E-06  1.5674539E-02   7.4215891E-04   9.8008281E-03   -1.3495642E-05  -3.2978996E-03  -1.2756873E-05  9.2549853E-02   -4.4581443E-03  9.2097167E-03   2.4827974E-04   -2.0042057E-03  -1.9146330E-05
0.6750   5.0013642E+00  6.3683686E-04   3.9960057E-03   -2.3268170E-05  3.1867798E-02  -3.0673182E-06  1.6845627E-02   6.8858912E-04   9.9160476E-03   -1.0480083E-05  -3.3222188E-03  -1.2985357E-05  9.4678007E-02   -4.2068241E-03  9.2434222E-03   2.3827690E-04   -1.8929132E-03  -1.7377506E-05
0.6875   5.0015821E+00  6.4512674E-04   4.1206796E-03   -2.3380995E-05  3.1826124E-02  -3.2309315E-06  1.8041853E-02   6.3869992E-04   1.0031726E-02   -7.6078836E-06  -3.3451996E-03  -1.3188180E-05  9.6499287E-02   -3.8028732E-03  9.2863049E-03   2.2248864E-04   -1.7933211E-03  -1.4988344E-05
0.7000   5.0018153E+00  6.5282761E-04   4.2468025E-03   -2.3459263E-05  3.1784173E-02  -3.3968786E-06  1.9259710E-02   5.9430016E-04   1.0147946E-02   -4.9470823E-06  -3.3669765E-03  -1.3357649E-05  9.8127313E-02   -3.2581051E-03  9.3341256E-03   2.0138576E-04   -1.7011394E-03  -1.1989038E-05
0.7125   5.0020638E+00  6.6001812E-04   4.3743821E-03   -2.3505992E-05  3.1741954E-02  -3.5646965E-06  2.0497689E-02   5.5694737E-04   1.0264751E-02   -2.5564893E-06  -3.3876083E-03  -1.3486670E-05  9.9665925E-02   -2.6132809E-03  9.3792928E-03   1.7652439E-04   -1.6123911E-03  -8.5071479E-06
0.7250   5.0023279E+00  6.6679256E-04   4.5034247E-03   -2.3524797E-05  3.1699486E-02  -3.7338482E-06  2.1754825E-02   5.2763626E-04   1.0382074E-02   -4.7396696E-07  -3.4071340E-03  -1.3570416E-05  1.0121904E-01   -1.9314232E-03  9.4135916E-03   1.5029401E-04   -1.5230855E-03  -4.7471735E-06
0.7375   5.0026078E+00  6.7325274E-04   4.6339366E-03   -2.3519571E-05  3.1656779E-02  -3.9037518E-06  2.3032051E-02   5.0652190E-04   1.0499728E-02   1.2941300E-06   -3.4255171E-03  -1.3606807E-05  1.0294999E-01   -1.2858933E-03  9.4371559E-03   1.2547050E-04   -1.4271075E-03  -9.2643404E-07
0.7500   5.0029039E+00  6.7949662E-04   4.7659203E-03   -2.3494074E-05  3.1613853E-02  -4.0738150E-06  2.4332633E-02   4.9292052E-04   1.0617632E-02   2.7728890E-06   -3.4426379E-03  -1.3596112E-05  1.0493301E-01   -7.4637850E-04  9.4423741E-03   1.0468803E-04   -1.3215936E-03  2.6662269E-06
0.7625   5.0032163E+00  6.8560871E-04   4.8993779E-03   -2.3451572E-05  3.1570718E-02  -4.2434758E-06  2.5659105E-02   4.8533487E-04   1.0735498E-02   4.0182849E-06   -3.4584021E-03  -1.3543029E-05  1.0723041E-01   -3.6678129E-04  9.4250441E-03   8.9984824E-05   -1.2041815E-03  5.7841412E-06
0.7750   5.0035453E+00  6.9165125E-04   5.0343070E-03   -2.3394485E-05  3.1527396E-02  -4.4122457E-06  2.7016247E-02   4.8169753E-04   1.0853015E-02   5.1080756E-06   -3.4726267E-03  -1.3454548E-05  1.0988951E-01   -1.7503271E-04  9.3848957E-03   8.2420411E-05   -1.0731252E-03  8.2630795E-06
0.7875   5.0038919E+00  6.9765898E-04   5.1707011E-03   -2.3324206E-05  3.1483911E-02  -4.5797333E-06  2.8408350E-02   4.7974550E-04   1.0969926E-02   6.1278306E-06   -3.4851527E-03  -1.3339083E-05  1.1289699E-01   -1.6799204E-04  9.3197962E-03   8.1883278E-05   -9.2895149E-04  9.9878398E-06
0.8000   5.0042558E+00  7.0363953E-04   5.3085512E-03   -2.3241100E-05  3.1440277E-02  -4.7456624E-06  2.9839396E-02   4.7735081E-04   1.1085900E-02   7.1586478E-06   -3.4958299E-03  -1.3206529E-05  1.1621526E-01   -3.1113741E-04  9.2303474E-03   8.7083288E-05   -7.7315065E-04  1.1013542E-05
0.8125   5.0046382E+00  7.0957711E-04   5.4478436E-03   -2.3144634E-05  3.1396523E-02  -4.9098685E-06  3.1313166E-02   4.7292330E-04   1.1200638E-02   8.2619454E-06   -3.5045168E-03  -1.3064518E-05  1.1975537E-01   -5.4417201E-04  9.1110608E-03   9.5763098E-05   -6.0359604E-04  1.1513792E-05
0.8250   5.0050387E+00  7.1544113E-04   5.5885594E-03   -2.3033697E-05  3.1352673E-02  -5.0722674E-06  3.2831527E-02   4.6565881E-04   1.1313707E-02   9.4702018E-06   -3.5110123E-03  -1.2918188E-05  1.2342728E-01   -7.9110800E-04  8.9711985E-03   1.0507760E-04   -4.2935810E-04  1.1725600E-05
0.8375   5.0054588E+00  7.2119676E-04   5.7306779E-03   -2.2906996E-05  3.1308759E-02  -5.2328219E-06  3.4395859E-02   4.5569183E-04   1.1424961E-02   1.0780998E-05   -3.5153599E-03  -1.2769673E-05  1.2711728E-01   -9.7305787E-04  8.8139018E-03   1.1207842E-04   -2.5482927E-04  1.1941281E-05
0.8500   5.0058990E+00  7.2681688E-04   5.8741742E-03   -2.2763479E-05  3.1264801E-02  -5.3914964E-06  3.6005739E-02   4.4407757E-04   1.1534167E-02   1.2157660E-05   -3.5175513E-03  -1.2617184E-05  1.3070239E-01   -1.0220421E-03  8.6428290E-03   1.1423346E-04   -8.4776409E-05  1.2432092E-05
