
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 13-Aug-2024 at 17:07:11.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.2375   1.4324976E+06   4.2751993E+05   1.4320431E+06   5.6022473E+05   2.8140749E+05   5.6088785E+05
    1.2500   1.4654915E+06   4.3009084E+05   1.4649094E+06   5.1414136E+05   2.8429870E+05   5.1481692E+05
    1.2625   1.4913018E+06   4.3272423E+05   1.4905906E+06   4.7393003E+05   2.8709109E+05   4.7461424E+05
    1.2750   1.5095286E+06   4.3541197E+05   1.5086878E+06   4.3967133E+05   2.8978767E+05   4.4035880E+05
    1.2875   1.5199293E+06   4.3814339E+05   1.5189599E+06   4.1142000E+05   2.9239158E+05   4.1210376E+05
    1.3000   1.5224055E+06   4.4090614E+05   1.5213104E+06   3.8920841E+05   2.9490605E+05   3.8987995E+05
    1.3125   1.5170201E+06   4.4368703E+05   1.5158038E+06   3.7304683E+05   2.9733437E+05   3.7369619E+05
    1.3250   1.5039601E+06   4.4647301E+05   1.5026292E+06   3.6292089E+05   2.9967986E+05   3.6353690E+05
    1.3375   1.4835379E+06   4.4925117E+05   1.4820995E+06   3.5878672E+05   3.0194578E+05   3.5935718E+05
    1.3500   1.4561980E+06   4.5200982E+05   1.4546594E+06   3.6056416E+05   3.0413537E+05   3.6107616E+05
    1.3625   1.4224896E+06   4.5473799E+05   1.4208585E+06   3.6812860E+05   3.0625171E+05   3.6856878E+05
    1.3750   1.3830639E+06   4.5742609E+05   1.3813479E+06   3.8129845E+05   3.0829774E+05   3.8165339E+05
    1.3875   1.3386398E+06   4.6006560E+05   1.3368468E+06   3.9981990E+05   3.1027621E+05   4.0007651E+05
    1.4000   1.2900014E+06   4.6264922E+05   1.2881388E+06   4.2335794E+05   3.1218963E+05   4.2350375E+05
    1.4125   1.2379651E+06   4.6517077E+05   1.2360399E+06   4.5149043E+05   3.1404024E+05   4.5151388E+05
    1.4250   1.1833660E+06   4.6762514E+05   1.1813849E+06   4.8370613E+05   3.1583004E+05   4.8359687E+05
    1.4375   1.1270423E+06   4.7000876E+05   1.1250116E+06   5.1940729E+05   3.1756077E+05   5.1915627E+05
    1.4500   1.0698091E+06   4.7231802E+05   1.0677349E+06   5.5791715E+05   3.1923389E+05   5.5751679E+05
    1.4625   1.0124617E+06   4.7455093E+05   1.0103498E+06   5.9849286E+05   3.2085065E+05   5.9793702E+05
    1.4750   9.5574645E+05   4.7670613E+05   9.5360281E+05   6.4034294E+05   3.2241213E+05   6.3962693E+05
    1.4875   9.0035647E+05   4.7878311E+05   8.9818660E+05   6.8264842E+05   3.2391925E+05   6.8176887E+05
    1.5000   8.4693213E+05   4.8078206E+05   8.4474131E+05   7.2458573E+05   3.2537280E+05   7.2354046E+05
    1.5125   7.9605153E+05   4.8270384E+05   7.9384454E+05   7.6534962E+05   3.2677356E+05   7.6413751E+05
    1.5250   7.4823200E+05   4.8454985E+05   7.4601279E+05   8.0417454E+05   3.2812226E+05   8.0279537E+05
    1.5375   7.0391747E+05   4.8632193E+05   7.0168890E+05   8.4035314E+05   3.2941965E+05   8.3880745E+05
    1.5500   6.6350156E+05   4.8802226E+05   6.6126514E+05   8.7325125E+05   3.3066654E+05   8.7154026E+05
    1.5625   6.2730842E+05   4.8965321E+05   6.2506407E+05   9.0231899E+05   3.3186375E+05   9.0044451E+05
    1.5750   5.9560846E+05   4.9121728E+05   5.9335446E+05   9.2709816E+05   3.3301219E+05   9.2506252E+05
    1.5875   5.6861556E+05   4.9271693E+05   5.6634855E+05   9.4722619E+05   3.3411279E+05   9.4503223E+05
    1.6000   5.4648461E+05   4.9415450E+05   5.4419980E+05   9.6243728E+05   3.3514295E+05   9.6008831E+05
    1.6125   5.2933118E+05   4.9553219E+05   5.2702270E+05   9.7256111E+05   3.3572570E+05   9.7006088E+05
    1.6250   5.1721244E+05   4.9685186E+05   5.1487373E+05   9.7751981E+05   3.3481335E+05   9.7487254E+05
    1.6375   5.1013692E+05   4.9811439E+05   5.0776127E+05   9.7732368E+05   3.3144108E+05   9.7453402E+05
    1.6500   5.0807623E+05   4.9931320E+05   5.0565721E+05   9.7206582E+05   3.2554189E+05   9.6913883E+05
    1.6625   5.1094459E+05   5.0042405E+05   5.0847596E+05   9.6191795E+05   3.1793611E+05   9.5885926E+05
    1.6750   5.1860864E+05   5.0139045E+05   5.1608525E+05   9.4712977E+05   3.0981302E+05   9.4394567E+05
    1.6875   5.3088735E+05   5.0211996E+05   5.2830465E+05   9.2802466E+05   3.0223273E+05   9.2472214E+05
    1.7000   5.4753963E+05   5.0249905E+05   5.4489332E+05   9.0499356E+05   2.9587703E+05   9.0158037E+05
    1.7125   5.6825800E+05   5.0242426E+05   5.6554399E+05   8.7848671E+05   2.9102748E+05   8.7497123E+05
    1.7250   5.9267647E+05   5.0183641E+05   5.8989090E+05   8.4900293E+05   2.8766394E+05   8.4539414E+05
    1.7375   6.2036228E+05   5.0074334E+05   6.1750152E+05   8.1707738E+05   2.8559159E+05   8.1338463E+05
    1.7500   6.5082600E+05   4.9922275E+05   6.4788669E+05   7.8326867E+05   2.8454660E+05   7.7950148E+05
    1.7625   6.8354007E+05   4.9740636E+05   6.8051907E+05   7.4814622E+05   2.8426512E+05   7.4431414E+05
    1.7750   7.1793869E+05   4.9545262E+05   7.1483307E+05   7.1227865E+05   2.8451900E+05   7.0839101E+05
    1.7875   7.5343644E+05   4.9351732E+05   7.5024354E+05   6.7622345E+05   2.8512815E+05   6.7228917E+05
    1.8000   7.8943803E+05   4.9172959E+05   7.8615552E+05   6.4051806E+05   2.8595931E+05   6.3654553E+05
    1.8125   8.2536071E+05   4.9017709E+05   8.2198674E+05   6.0567259E+05   2.8691873E+05   6.0166945E+05
    1.8250   8.6063401E+05   4.8890097E+05   8.5716746E+05   5.7216387E+05   2.8794317E+05   5.6813691E+05
    1.8375   8.9471346E+05   4.8789930E+05   8.9115418E+05   5.4043096E+05   2.8899149E+05   5.3638601E+05
    1.8500   9.2709653E+05   4.8713450E+05   9.2344561E+05   5.1087180E+05   2.9003789E+05   5.0681365E+05
    1.8625   9.5732296E+05   4.8654586E+05   9.5358304E+05   4.8384102E+05   2.9106679E+05   4.7977342E+05
    1.8750   9.8498498E+05   4.8606082E+05   9.8116036E+05   4.5964856E+05   2.9206927E+05   4.5557418E+05
    1.8875   1.0097375E+06   4.8560614E+05   1.0058343E+06   4.3855905E+05   2.9304062E+05   4.3447957E+05
    1.9000   1.0312869E+06   4.8511697E+05   1.0273129E+06   4.2079170E+05   2.9397876E+05   4.1670789E+05
    1.9125   1.0494007E+06   4.8454335E+05   1.0453654E+06   4.0652063E+05   2.9488322E+05   4.0243243E+05
    1.9250   1.0639222E+06   4.8385395E+05   1.0598363E+06   3.9587528E+05   2.9575456E+05   3.9178198E+05
    1.9375   1.0747381E+06   4.8303726E+05   1.0706133E+06   3.8894104E+05   2.9659391E+05   3.8484140E+05
    1.9500   1.0818130E+06   4.8210033E+05   1.0776617E+06   3.8575542E+05   2.9740280E+05   3.8164781E+05
    1.9625   1.0851636E+06   4.8106581E+05   1.0809983E+06   3.8621546E+05   2.9818295E+05   3.8209753E+05
    1.9750   1.0848610E+06   4.7996772E+05   1.0806938E+06   3.8992914E+05   2.9893622E+05   3.8579661E+05
    1.9875   1.0810358E+06   4.7884668E+05   1.0768783E+06   3.9642274E+05   2.9966448E+05   3.9226938E+05
    2.0000   1.0738595E+06   4.7774534E+05   1.0697217E+06   4.0545845E+05   3.0036960E+05   4.0127760E+05
    2.0125   1.0635510E+06   4.7670422E+05   1.0594413E+06   4.1708545E+05   3.0105337E+05   4.1287177E+05
    2.0250   1.0503538E+06   4.7575856E+05   1.0462788E+06   4.3148072E+05   3.0171746E+05   4.2723111E+05
    2.0375   1.0345366E+06   4.7493633E+05   1.0305012E+06   4.4876887E+05   3.0236337E+05   4.4448250E+05
    2.0500   1.0163641E+06   4.7425667E+05   1.0123718E+06   4.6892087E+05   3.0299241E+05   4.6459861E+05
    2.0625   9.9613218E+05   4.7373035E+05   9.9218538E+05   4.9173616E+05   3.0360569E+05   4.8737993E+05
    2.0750   9.7415905E+05   4.7335999E+05   9.7025918E+05   5.1687427E+05   3.0420410E+05   5.1248658E+05
    2.0875   9.5082128E+05   4.7314138E+05   9.4696894E+05   5.4390245E+05   3.0478831E+05   5.3948609E+05
    2.1000   9.2653816E+05   4.7306485E+05   9.2273341E+05   5.7233947E+05   3.0535883E+05   5.6789749E+05
    2.1125   9.0177251E+05   4.7311676E+05   8.9801516E+05   6.0168837E+05   3.0591601E+05   5.9722417E+05
    2.1250   8.7702291E+05   4.7328105E+05   8.7331263E+05   6.3145820E+05   3.0646005E+05   6.2697568E+05
    2.1375   8.5277618E+05   4.7354042E+05   8.4911257E+05   6.6117749E+05   3.0699110E+05   6.5668116E+05
    2.1500   8.2951306E+05   4.7387749E+05   8.2589566E+05   6.9040247E+05   3.0750920E+05   6.8589763E+05
    2.1625   8.0766338E+05   4.7427557E+05   8.0409150E+05   7.1872242E+05   3.0801441E+05   7.1421521E+05
    2.1750   7.8760086E+05   4.7471927E+05   7.8407349E+05   7.4576339E+05   3.0850673E+05   7.4126081E+05
    2.1875   7.6964240E+05   4.7519486E+05   7.6615813E+05   7.7119099E+05   3.0898616E+05   7.6670083E+05
    2.2000   7.5404384E+05   4.7569047E+05   7.5060078E+05   7.9471243E+05   3.0945271E+05   7.9024323E+05
    2.2125   7.4099665E+05   4.7619615E+05   7.3759250E+05   8.1607798E+05   3.0990638E+05   8.1163887E+05
    2.2250   7.3064145E+05   4.7670384E+05   7.2727355E+05   8.3508169E+05   3.1034715E+05   8.3068221E+05
    2.2375   7.2306504E+05   4.7720710E+05   7.1973031E+05   8.5156146E+05   3.1077501E+05   8.4721137E+05
    2.2500   7.1832069E+05   4.7770137E+05   7.1501600E+05   8.6539848E+05   3.1118992E+05   8.6110759E+05
    2.2625   7.1642282E+05   4.7818333E+05   7.1314518E+05   8.7651626E+05   3.1159183E+05   8.7229419E+05
    2.2750   7.1736251E+05   4.7865092E+05   7.1410911E+05   8.8487920E+05   3.1198069E+05   8.8073517E+05
    2.2875   7.2109158E+05   4.7910307E+05   7.1785978E+05   8.9049105E+05   3.1235640E+05   8.8643370E+05
    2.3000   7.2755292E+05   4.7953955E+05   7.2434025E+05   8.9339319E+05   3.1271890E+05   8.8943041E+05
    2.3125   7.3665609E+05   4.7996072E+05   7.3346027E+05   8.9366305E+05   3.1306811E+05   8.8980185E+05
    2.3250   7.4828582E+05   4.8036736E+05   7.4510468E+05   8.9141245E+05   3.1340394E+05   8.8765884E+05
    2.3375   7.6230840E+05   4.8076051E+05   7.5913983E+05   8.8678629E+05   3.1372634E+05   8.8314517E+05
    2.3500   7.7855577E+05   4.8114133E+05   7.7539763E+05   8.7996208E+05   3.1403523E+05   8.7643712E+05
    2.3625   7.9683883E+05   4.8151097E+05   7.9368904E+05   8.7114879E+05   3.1433057E+05   8.6774240E+05
    2.3750   8.1692947E+05   4.8187048E+05   8.1378606E+05   8.6058516E+05   3.1461231E+05   8.5729845E+05
    2.3875   8.3858465E+05   4.8222073E+05   8.3544601E+05   8.4853719E+05   3.1488040E+05   8.4537000E+05
    2.4000   8.6152847E+05   4.8256240E+05   8.5839357E+05   8.3529413E+05   3.1513478E+05   8.3224515E+05
    2.4125   8.8547066E+05   4.8289596E+05   8.8233925E+05   8.2116290E+05   3.1537539E+05   8.1822976E+05
    2.4250   9.1010056E+05   4.8322165E+05   9.0697350E+05   8.0646137E+05   3.1560216E+05   8.0364085E+05
    2.4375   9.3511067E+05   4.8353910E+05   9.3199012E+05   7.9151112E+05   3.1581500E+05   7.8879929E+05
    2.4500   9.6018489E+05   4.8384875E+05   9.5707443E+05   7.7663028E+05   3.1601384E+05   7.7402264E+05
    2.4625   9.8500703E+05   4.8415038E+05   9.8191182E+05   7.6212682E+05   3.1619862E+05   7.5961848E+05
    2.4750   1.0092787E+06   4.8444385E+05   1.0062055E+06   7.4829274E+05   3.1636930E+05   7.4587851E+05
    2.4875   1.0327178E+06   4.8472925E+05   1.0296746E+06   7.3539910E+05   3.1652589E+05   7.3307361E+05
    2.5000   1.0550533E+06   4.8500668E+05   1.0520496E+06   7.2369210E+05   3.1666849E+05   7.2144986E+05
    2.5125   1.0760432E+06   4.8527637E+05   1.0730892E+06   7.1339013E+05   3.1679726E+05   7.1122564E+05
    2.5250   1.0954704E+06   4.8553881E+05   1.0925772E+06   7.0468178E+05   3.1691250E+05   7.0258954E+05
    2.5375   1.1131465E+06   4.8579464E+05   1.1103251E+06   6.9772467E+05   3.1701462E+05   6.9569924E+05
    2.5500   1.1289084E+06   4.8604455E+05   1.1261698E+06   6.9264494E+05   3.1710417E+05   6.9068098E+05
    2.5625   1.1426383E+06   4.8628953E+05   1.1399928E+06   6.8953742E+05   3.1718184E+05   6.8762969E+05
    2.5750   1.1542378E+06   4.8653046E+05   1.1516948E+06   6.8846613E+05   3.1724843E+05   6.8660953E+05
    2.5875   1.1636443E+06   4.8676834E+05   1.1612122E+06   6.8946511E+05   3.1730488E+05   6.8765468E+05
    2.6000   1.1708288E+06   4.8700408E+05   1.1685144E+06   6.9253940E+05   3.1735222E+05   6.9077034E+05
    2.6125   1.1757999E+06   4.8723850E+05   1.1736087E+06   6.9766540E+05   3.1739153E+05   6.9593305E+05
    2.6250   1.1785839E+06   4.8747225E+05   1.1765199E+06   7.0479114E+05   3.1742394E+05   7.0309106E+05
    2.6375   1.1792535E+06   4.8770499E+05   1.1773193E+06   7.1383743E+05   3.1745056E+05   7.1216538E+05
    2.6500   1.1778997E+06   4.8793786E+05   1.1760964E+06   7.2469933E+05   3.1747250E+05   7.2305137E+05
    2.6625   1.1746405E+06   4.8817056E+05   1.1729678E+06   7.3724807E+05   3.1749078E+05   7.3562071E+05
    2.6750   1.1696308E+06   4.8840303E+05   1.1680870E+06   7.5133328E+05   3.1750635E+05   7.4972354E+05
    2.6875   1.1630384E+06   4.8863501E+05   1.1616205E+06   7.6678533E+05   3.1752006E+05   7.6519089E+05
    2.7000   1.1550590E+06   4.8886611E+05   1.1537629E+06   7.8341780E+05   3.1753264E+05   7.8183710E+05
    2.7125   1.1459087E+06   4.8909591E+05   1.1447293E+06   8.0103007E+05   3.1754473E+05   7.9946249E+05
    2.7250   1.1358135E+06   4.8932398E+05   1.1347451E+06   8.1941006E+05   3.1755687E+05   8.1785597E+05
    2.7375   1.1250128E+06   4.8954996E+05   1.1240491E+06   8.3833714E+05   3.1756952E+05   8.3679802E+05
    2.7500   1.1137456E+06   5.8788856E+05   1.1128795E+06   8.5758520E+05   3.1758308E+05   8.5606366E+05
    2.7625   1.1022648E+06   7.9283261E+05   1.1014889E+06   8.7692596E+05   3.1759792E+05   8.7542579E+05
    2.7750   1.0908043E+06   8.8867180E+05   1.0901107E+06   8.9613235E+05   3.1761440E+05   8.9465846E+05
