
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:59.

 
 
 
      Time        ROD1NBPX        ROD1NBPY        ROD1NBPZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   23.1000   2.1993446E+00  -1.4214538E-19  -1.4757530E+01   1.0812590E-17   1.6729782E+02
   23.2000   2.0933760E+00  -1.6266021E-19  -1.4780812E+01   1.3047723E-17   1.6791931E+02
   23.3000   1.9724890E+00  -1.8221726E-19  -1.4805906E+01   1.5577612E-17   1.6862655E+02
   23.4000   1.8376019E+00  -2.0069766E-19  -1.4832076E+01   1.8502876E-17   1.6941363E+02
   23.5000   1.6897518E+00  -2.1798751E-19  -1.4858562E+01   2.1966312E-17   1.7027404E+02
   23.6000   1.5300884E+00  -2.3397900E-19  -1.4884601E+01   2.6179779E-17   1.7120073E+02
   23.7000   1.3598661E+00  -2.4857157E-19  -1.4909453E+01   3.1474117E-17   1.7218615E+02
   23.8000   1.1804331E+00  -2.6167310E-19  -1.4932426E+01   3.8399162E-17   1.7322239E+02
   23.9000   9.9321892E-01  -2.7320098E-19  -1.4952890E+01   4.7944374E-17   1.7430121E+02
   24.0000   7.9971998E-01  -2.8308322E-19  -1.4970303E+01   6.2092724E-17   1.7541411E+02
   24.1000   6.0148314E-01  -2.9125934E-19  -1.4984223E+01   8.5492932E-17   1.7655248E+02
   24.2000   4.0008849E-01  -2.9768102E-19  -1.4994320E+01   1.3222118E-16   1.7770758E+02
   24.3000   1.9713117E-01  -3.0231265E-19  -1.5000382E+01   2.7430912E-16   1.7887071E+02
   24.4000  -5.7968704E-03  -3.0513139E-19  -1.5002323E+01   2.2039576E-14  -1.7996679E+02
   24.5000  -2.0712485E-01  -2.7579582E-19  -1.5000180E+01   2.1898332E-14  -1.7881345E+02
   24.6000  -4.0532008E-01  -6.9929739E-20  -1.4994109E+01   2.1759229E-14  -1.7767759E+02
   24.7000  -5.9890357E-01   1.9505375E-19  -1.4984379E+01  -2.1623255E-14  -1.7656728E+02
   24.8000  -7.8646379E-01  -3.8669025E-20  -1.4971358E+01   2.1491362E-14  -1.7549029E+02
   24.9000  -9.6666834E-01  -1.1312180E-19  -1.4955504E+01   2.1364457E-14  -1.7445403E+02
   25.0000  -1.1382733E+00   1.5558172E-19  -1.4937345E+01  -2.1243401E-14  -1.7346553E+02
