
This file was generated by AeroDyn14 (v14.05.00a-bjj, 11-Apr-2016) on 13-Apr-2016 at 00:25:34.




Time	VX21	VY21	VZ21	Alpha16	DynPres16	CLift16	CDrag16	CNorm16	CTang16	CMomt16	Pitch16	AxInd16	TanInd16	ForcN16	ForcT16	Pmomt16	ReNum16
(sec)	 (m/sec)	 (m/sec)	 (m/sec)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(N-m)	(x10^6)
     0.152	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69220E+00	 5.85862E+02	 4.93394E-01	 1.38563E-02	 4.93500E-01	 9.33397E-03	-4.45290E-02	 4.43400E+00	 2.39151E-01	 4.51511E-03	 2.64660E+01	 2.55656E+00	-1.09622E+00	 9.57323E-01
     0.156	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69229E+00	 5.85862E+02	 4.93405E-01	 1.38564E-02	 4.93511E-01	 9.33518E-03	-4.45293E-02	 4.43400E+00	 2.39141E-01	 4.51493E-03	 2.64665E+01	 2.55667E+00	-1.09623E+00	 9.57323E-01
     0.160	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69221E+00	 5.85862E+02	 4.93396E-01	 1.38563E-02	 4.93502E-01	 9.33416E-03	-4.45291E-02	 4.43400E+00	 2.39149E-01	 4.51511E-03	 2.64661E+01	 2.55658E+00	-1.09622E+00	 9.57323E-01
     0.164	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69228E+00	 5.85862E+02	 4.93404E-01	 1.38564E-02	 4.93510E-01	 9.33501E-03	-4.45292E-02	 4.43400E+00	 2.39142E-01	 4.51493E-03	 2.64665E+01	 2.55666E+00	-1.09623E+00	 9.57323E-01
     0.168	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69222E+00	 5.85862E+02	 4.93397E-01	 1.38563E-02	 4.93503E-01	 9.33430E-03	-4.45291E-02	 4.43400E+00	 2.39148E-01	 4.51505E-03	 2.64661E+01	 2.55660E+00	-1.09622E+00	 9.57323E-01
     0.172	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69227E+00	 5.85862E+02	 4.93403E-01	 1.38564E-02	 4.93509E-01	 9.33490E-03	-4.45292E-02	 4.43400E+00	 2.39143E-01	 4.51493E-03	 2.64664E+01	 2.55665E+00	-1.09623E+00	 9.57323E-01
     0.176	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69223E+00	 5.85862E+02	 4.93398E-01	 1.38563E-02	 4.93504E-01	 9.33440E-03	-4.45291E-02	 4.43400E+00	 2.39147E-01	 4.51505E-03	 2.64662E+01	 2.55660E+00	-1.09622E+00	 9.57323E-01
     0.180	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69227E+00	 5.85862E+02	 4.93402E-01	 1.38564E-02	 4.93508E-01	 9.33482E-03	-4.45292E-02	 4.43400E+00	 2.39144E-01	 4.51493E-03	 2.64664E+01	 2.55664E+00	-1.09623E+00	 9.57323E-01
     0.184	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69224E+00	 5.85862E+02	 4.93398E-01	 1.38563E-02	 4.93505E-01	 9.33445E-03	-4.45291E-02	 4.43400E+00	 2.39147E-01	 4.51505E-03	 2.64662E+01	 2.55661E+00	-1.09623E+00	 9.57323E-01
     0.188	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69226E+00	 5.85862E+02	 4.93401E-01	 1.38563E-02	 4.93508E-01	 9.33477E-03	-4.45292E-02	 4.43400E+00	 2.39144E-01	 4.51499E-03	 2.64663E+01	 2.55664E+00	-1.09623E+00	 9.57322E-01
     0.192	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69224E+00	 5.85862E+02	 4.93399E-01	 1.38563E-02	 4.93505E-01	 9.33453E-03	-4.45291E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64662E+01	 2.55661E+00	-1.09623E+00	 9.57323E-01
     0.196	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69226E+00	 5.85862E+02	 4.93401E-01	 1.38563E-02	 4.93507E-01	 9.33472E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57323E-01
     0.200	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69224E+00	 5.85862E+02	 4.93399E-01	 1.38563E-02	 4.93506E-01	 9.33456E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64662E+01	 2.55662E+00	-1.09623E+00	 9.57322E-01
     0.204	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69226E+00	 5.85862E+02	 4.93401E-01	 1.38563E-02	 4.93507E-01	 9.33470E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.208	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33459E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64662E+01	 2.55662E+00	-1.09623E+00	 9.57322E-01
     0.212	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93401E-01	 1.38563E-02	 4.93507E-01	 9.33468E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.216	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33461E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57323E-01
     0.220	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33465E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57323E-01
     0.224	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33463E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57322E-01
     0.228	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33466E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.232	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33462E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57323E-01
     0.236	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33465E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.240	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33462E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57322E-01
     0.244	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85861E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33466E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.248	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33462E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57323E-01
     0.252	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33463E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57323E-01
     0.256	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33462E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57323E-01
     0.260	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33465E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57322E-01
     0.264	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93506E-01	 9.33462E-03	-4.45292E-02	 4.43400E+00	 2.39146E-01	 4.51499E-03	 2.64663E+01	 2.55662E+00	-1.09623E+00	 9.57322E-01
     0.268	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69225E+00	 5.85862E+02	 4.93400E-01	 1.38563E-02	 4.93507E-01	 9.33465E-03	-4.45292E-02	 4.43400E+00	 2.39145E-01	 4.51499E-03	 2.64663E+01	 2.55663E+00	-1.09623E+00	 9.57323E-01
