
Predictions were generated on 29-Sep-2025 at 15:44:05 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   10.0000	   1.345805E+06	   1.778951E+06	  -2.477455E+05	   5.645504E+07	  -1.715733E+07	   8.568251E+07
   10.1000	   1.485474E+06	   1.890078E+06	  -1.829897E+05	   5.784475E+07	  -2.273230E+07	   8.757622E+07
   10.2000	   1.607720E+06	   1.983014E+06	  -1.156611E+05	   5.889781E+07	  -2.811988E+07	   8.867662E+07
   10.3000	   1.711511E+06	   2.057016E+06	  -4.614048E+04	   5.961188E+07	  -3.328003E+07	   8.895618E+07
   10.4000	   1.795711E+06	   2.110955E+06	   2.456710E+04	   5.998932E+07	  -3.816738E+07	   8.840822E+07
   10.5000	   1.859404E+06	   2.143844E+06	   9.536282E+04	   6.003400E+07	  -4.273742E+07	   8.703897E+07
   10.6000	   1.901933E+06	   2.154914E+06	   1.651215E+05	   5.975088E+07	  -4.694772E+07	   8.486720E+07
   10.7000	   1.922924E+06	   2.143619E+06	   2.327118E+05	   5.914572E+07	  -5.075861E+07	   8.192384E+07
   10.8000	   1.922295E+06	   2.109674E+06	   2.970202E+05	   5.822476E+07	  -5.413364E+07	   7.825222E+07
   10.9000	   1.900262E+06	   2.053048E+06	   3.569713E+05	   5.699474E+07	  -5.704033E+07	   7.390693E+07
   11.0000	   1.857345E+06	   1.973999E+06	   4.115556E+05	   5.546234E+07	  -5.945065E+07	   6.895344E+07
   11.1000	   1.794354E+06	   1.873053E+06	   4.598473E+05	   5.363443E+07	  -6.134165E+07	   6.346666E+07
   11.2000	   1.712386E+06	   1.751029E+06	   5.010287E+05	   5.151786E+07	  -6.269572E+07	   5.752956E+07
   11.3000	   1.612796E+06	   1.609014E+06	   5.344112E+05	   4.911943E+07	  -6.350119E+07	   5.123179E+07
   11.4000	   1.497185E+06	   1.448361E+06	   5.594459E+05	   4.644609E+07	  -6.375242E+07	   4.466759E+07
   11.5000	   1.367353E+06	   1.270671E+06	   5.757441E+05	   4.350495E+07	  -6.344993E+07	   3.793408E+07
   11.6000	   1.225281E+06	   1.077763E+06	   5.830810E+05	   4.030361E+07	  -6.260064E+07	   3.112900E+07
   11.7000	   1.072265E+06	   8.710885E+05	   5.815390E+05	   3.686587E+07	  -6.120742E+07	   2.430899E+07
   11.8000	   9.098272E+05	   6.521479E+05	   5.711934E+05	   3.321352E+07	  -5.928055E+07	   1.754969E+07
   11.9000	   7.401421E+05	   4.229120E+05	   5.521112E+05	   2.935739E+07	  -5.684407E+07	   1.095758E+07
   12.0000	   5.654202E+05	   1.854767E+05	   5.244989E+05	   2.530833E+07	  -5.392810E+07	   4.632897E+06
   12.1000	   3.878709E+05	  -5.796363E+04	   4.886983E+05	   2.107778E+07	  -5.056839E+07	  -1.332396E+06
   12.2000	   2.096607E+05	  -3.051462E+05	   4.451764E+05	   1.667815E+07	  -4.680552E+07	  -6.856576E+06
   12.3000	   3.287784E+04	  -5.537746E+05	   3.945165E+05	   1.212306E+07	  -4.268423E+07	  -1.186953E+07
   12.4000	  -1.404945E+05	  -8.015438E+05	   3.374026E+05	   7.427665E+06	  -3.825269E+07	  -1.631396E+07
   12.5000	  -3.086143E+05	  -1.046179E+06	   2.746034E+05	   2.608887E+06	  -3.356141E+07	  -2.014609E+07
   12.6000	  -4.697973E+05	  -1.285459E+06	   2.069579E+05	  -2.314230E+06	  -2.866286E+07	  -2.333606E+07
   12.7000	  -6.225399E+05	  -1.517246E+06	   1.353550E+05	  -7.320490E+06	  -2.361009E+07	  -2.586780E+07
   12.8000	  -7.655322E+05	  -1.739514E+06	   6.071494E+04	  -1.238633E+07	  -1.845639E+07	  -2.773887E+07
   12.9000	  -8.976596E+05	  -1.950361E+06	  -1.602543E+04	  -1.748578E+07	  -1.325430E+07	  -2.895951E+07
   13.0000	  -1.018020E+06	  -2.148047E+06	  -9.393682E+04	  -2.259074E+07	  -8.054847E+06	  -2.955174E+07
   13.1000	  -1.125892E+06	  -2.331318E+06	  -1.722875E+05	  -2.766236E+07	  -2.895825E+06	  -2.952154E+07
   13.2000	  -1.220669E+06	  -2.499069E+06	  -2.503877E+05	  -3.266458E+07	   2.182081E+06	  -2.887668E+07
   13.3000	  -1.301916E+06	  -2.650074E+06	  -3.274455E+05	  -3.756911E+07	   7.129282E+06	  -2.765418E+07
   13.4000	  -1.369376E+06	  -2.783243E+06	  -4.027169E+05	  -4.234637E+07	   1.189958E+07	  -2.590093E+07
   13.5000	  -1.422955E+06	  -2.897646E+06	  -4.755151E+05	  -4.696590E+07	   1.645056E+07	  -2.367193E+07
   13.6000	  -1.462709E+06	  -2.992498E+06	  -5.452148E+05	  -5.139637E+07	   2.074396E+07	  -2.102864E+07
   13.7000	  -1.488828E+06	  -3.067163E+06	  -6.112522E+05	  -5.560621E+07	   2.474587E+07	  -1.803717E+07
   13.8000	  -1.501610E+06	  -3.121157E+06	  -6.731301E+05	  -5.956362E+07	   2.842687E+07	  -1.476674E+07
   13.9000	  -1.501458E+06	  -3.154142E+06	  -7.304138E+05	  -6.323725E+07	   3.176206E+07	  -1.128782E+07
   14.0000	  -1.488850E+06	  -3.165923E+06	  -7.827322E+05	  -6.659640E+07	   3.473105E+07	  -7.670770E+06
   14.1000	  -1.464332E+06	  -3.156446E+06	  -8.297755E+05	  -6.961141E+07	   3.731790E+07	  -3.984398E+06
   14.2000	  -1.428500E+06	  -3.125793E+06	  -8.712909E+05	  -7.225426E+07	   3.951068E+07	  -2.947986E+05
   14.3000	  -1.381990E+06	  -3.074178E+06	  -9.070802E+05	  -7.449868E+07	   4.130183E+07	   3.335720E+06
   14.4000	  -1.325464E+06	  -3.001943E+06	  -9.369938E+05	  -7.632074E+07	   4.268729E+07	   6.849462E+06
   14.5000	  -1.259609E+06	  -2.909547E+06	  -9.609289E+05	  -7.769899E+07	   4.366679E+07	   1.019395E+07
   14.6000	  -1.185119E+06	  -2.797577E+06	  -9.788248E+05	  -7.861506E+07	   4.424318E+07	   1.332249E+07
   14.7000	  -1.102697E+06	  -2.666718E+06	  -9.906574E+05	  -7.905354E+07	   4.442240E+07	   1.619444E+07
   14.8000	  -1.013051E+06	  -2.517776E+06	  -9.964358E+05	  -7.900245E+07	   4.421306E+07	   1.877527E+07
   14.9000	  -9.168868E+05	  -2.351649E+06	  -9.961995E+05	  -7.845352E+07	   4.362639E+07	   2.103671E+07
   15.0000	  -8.149128E+05	  -2.169346E+06	  -9.900168E+05	  -7.740188E+07	   4.267573E+07	   2.295649E+07
   15.1000	  -7.077719E+05	  -1.971974E+06	  -9.779468E+05	  -7.584838E+07	   4.137363E+07	   2.452767E+07
   15.2000	  -5.961279E+05	  -1.760757E+06	  -9.600762E+05	  -7.379817E+07	   3.973351E+07	   2.574697E+07
   15.3000	  -4.807405E+05	  -1.536944E+06	  -9.365566E+05	  -7.125817E+07	   3.777422E+07	   2.660261E+07
   15.4000	  -3.623615E+05	  -1.301864E+06	  -9.075594E+05	  -6.823894E+07	   3.551627E+07	   2.708780E+07
   15.5000	  -2.417426E+05	  -1.056914E+06	  -8.732743E+05	  -6.475459E+07	   3.298156E+07	   2.720060E+07
   15.6000	  -1.196300E+05	  -8.035503E+05	  -8.339057E+05	  -6.082262E+07	   3.019345E+07	   2.694345E+07
   15.7000	   3.232513E+03	  -5.432876E+05	  -7.896782E+05	  -5.646397E+07	   2.717621E+07	   2.632269E+07
   15.8000	   1.261017E+05	  -2.776860E+05	  -7.408340E+05	  -5.170281E+07	   2.395515E+07	   2.534825E+07
   15.9000	   2.482346E+05	  -8.352429E+03	  -6.876328E+05	  -4.656628E+07	   2.055638E+07	   2.403323E+07
   16.0000	   3.688909E+05	   2.630754E+05	  -6.303544E+05	  -4.108446E+07	   1.700660E+07	   2.239328E+07
   16.1000	   4.873318E+05	   5.349351E+05	  -5.692972E+05	  -3.529004E+07	   1.333309E+07	   2.044639E+07
   16.2000	   6.028231E+05	   8.055480E+05	  -5.047809E+05	  -2.921809E+07	   9.563575E+06	   1.821235E+07
   16.3000	   7.146379E+05	   1.073232E+06	  -4.371451E+05	  -2.290595E+07	   5.726086E+06	   1.571248E+07
   16.4000	   8.220574E+05	   1.336310E+06	  -3.667488E+05	  -1.639268E+07	   1.848843E+06	   1.296921E+07
   16.5000	   9.243774E+05	   1.593118E+06	  -2.939723E+05	  -9.719080E+06	  -2.039693E+06	   1.000583E+07
   16.6000	   1.020908E+06	   1.842025E+06	  -2.192149E+05	  -2.927141E+06	  -5.911112E+06	   6.846298E+06
   16.7000	   1.110989E+06	   2.081434E+06	  -1.428943E+05	   3.940086E+06	  -9.736982E+06	   3.514983E+06
   16.8000	   1.193981E+06	   2.309799E+06	  -6.544494E+04	   1.083886E+07	  -1.348901E+07	   3.654449E+04
   16.9000	   1.269285E+06	   2.525636E+06	   1.268397E+04	   1.772511E+07	  -1.713923E+07	  -3.564178E+06
   17.0000	   1.336337E+06	   2.727535E+06	   9.103061E+04	   2.455465E+07	  -2.065994E+07	  -7.262149E+06
   17.1000	   1.394626E+06	   2.914164E+06	   1.691223E+05	   3.128348E+07	  -2.402399E+07	  -1.103218E+07
   17.2000	   1.443693E+06	   3.084282E+06	   2.464812E+05	   3.786826E+07	  -2.720482E+07	  -1.484893E+07
   17.3000	   1.483137E+06	   3.236764E+06	   3.226245E+05	   4.426615E+07	  -3.017660E+07	  -1.868668E+07
   17.4000	   1.512627E+06	   3.370577E+06	   3.970708E+05	   5.043569E+07	  -3.291457E+07	  -2.251948E+07
   17.5000	   1.531907E+06	   3.484825E+06	   4.693441E+05	   5.633660E+07	  -3.539492E+07	  -2.632076E+07
   17.6000	   1.540798E+06	   3.578727E+06	   5.389777E+05	   6.193030E+07	  -3.759529E+07	  -3.006337E+07
   17.7000	   1.539208E+06	   3.651648E+06	   6.055181E+05	   6.717976E+07	  -3.949474E+07	  -3.371942E+07
   17.8000	   1.527133E+06	   3.703083E+06	   6.685321E+05	   7.205026E+07	  -4.107413E+07	  -3.726013E+07
   17.9000	   1.504662E+06	   3.732674E+06	   7.276098E+05	   7.650914E+07	  -4.231623E+07	  -4.065575E+07
   18.0000	   1.471979E+06	   3.740212E+06	   7.823720E+05	   8.052609E+07	  -4.320607E+07	  -4.387550E+07
   18.1000	   1.429365E+06	   3.725638E+06	   8.324712E+05	   8.407330E+07	  -4.373104E+07	  -4.688761E+07
   18.2000	   1.377199E+06	   3.689046E+06	   8.776021E+05	   8.712575E+07	  -4.388135E+07	  -4.965930E+07
   18.3000	   1.315952E+06	   3.630668E+06	   9.174996E+05	   8.966109E+07	  -4.365004E+07	  -5.215694E+07
   18.4000	   1.246189E+06	   3.550899E+06	   9.519502E+05	   9.165978E+07	  -4.303326E+07	  -5.434624E+07
   18.5000	   1.168558E+06	   3.450276E+06	   9.807894E+05	   9.310551E+07	  -4.203066E+07	  -5.619258E+07
   18.6000	   1.083788E+06	   3.329469E+06	   1.003909E+06	   9.398445E+07	  -4.064531E+07	  -5.766129E+07
   18.7000	   9.926824E+05	   3.189290E+06	   1.021258E+06	   9.428648E+07	  -3.888410E+07	  -5.871840E+07
   18.8000	   8.960985E+05	   3.030676E+06	   1.032843E+06	   9.400406E+07	  -3.675766E+07	  -5.933091E+07
   18.9000	   7.949468E+05	   2.854680E+06	   1.038731E+06	   9.313320E+07	  -3.428064E+07	  -5.946777E+07
   19.0000	   6.901452E+05	   2.662523E+06	   1.038987E+06	   9.167354E+07	  -3.146907E+07	  -5.910773E+07
   19.1000	   5.826278E+05	   2.455685E+06	   1.033610E+06	   8.962988E+07	  -2.833633E+07	  -5.824778E+07
   19.2000	   4.734651E+05	   2.235656E+06	   1.022858E+06	   8.700990E+07	  -2.490476E+07	  -5.686744E+07
   19.3000	   3.637412E+05	   2.003974E+06	   1.007066E+06	   8.382457E+07	  -2.120075E+07	  -5.494811E+07
   19.4000	   2.545207E+05	   1.762231E+06	   9.866357E+05	   8.008848E+07	  -1.725437E+07	  -5.247541E+07
   19.5000	   1.468346E+05	   1.512050E+06	   9.620179E+05	   7.581976E+07	  -1.309899E+07	  -4.943980E+07
   19.6000	   4.165574E+04	   1.255063E+06	   9.337121E+05	   7.104009E+07	  -8.771125E+06	  -4.583750E+07
   19.7000	  -6.011736E+04	   9.928944E+05	   9.022518E+05	   6.577442E+07	  -4.310061E+06	  -4.167120E+07
   19.8000	  -1.576816E+05	   7.271378E+05	   8.681911E+05	   6.005120E+07	   2.425342E+05	  -3.695091E+07
   19.9000	  -2.503440E+05	   4.593465E+05	   8.320942E+05	   5.390224E+07	   4.843094E+06	  -3.169451E+07
   20.0000	  -3.375383E+05	   1.910132E+05	   7.945180E+05	   4.736260E+07	   9.446638E+06	  -2.592827E+07
   20.1000	  -4.188352E+05	  -7.644503E+04	   7.560006E+05	   4.047034E+07	   1.400750E+07	  -1.968741E+07
   20.2000	  -4.939522E+05	  -3.416892E+05	   7.170424E+05	   3.326664E+07	   1.847984E+07	  -1.301632E+07
   20.3000	  -5.627513E+05	  -6.034660E+05	   6.780934E+05	   2.579549E+07	   2.281838E+07	  -5.968683E+06
   20.4000	  -6.252492E+05	  -8.606155E+05	   6.395411E+05	   1.810356E+07	   2.697920E+07	   1.392734E+06
   20.5000	  -6.816026E+05	  -1.112068E+06	   6.016974E+05	   1.023998E+07	   3.092037E+07	   8.996328E+06
