
These predictions were generated by SubDyn on 27-Nov-2023 at 17:00:45.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    5.4400	 9.2742E-08	 7.6751E-02
    5.4500	 9.2824E-08	 7.6830E-02
    5.4600	 9.2908E-08	 7.6912E-02
    5.4700	 9.2995E-08	 7.6995E-02
    5.4800	 9.3085E-08	 7.7080E-02
    5.4900	 9.3177E-08	 7.7167E-02
    5.5000	 9.3273E-08	 7.7256E-02
    5.5100	 9.3371E-08	 7.7347E-02
    5.5200	 9.3472E-08	 7.7440E-02
    5.5300	 9.3576E-08	 7.7535E-02
    5.5400	 9.3682E-08	 7.7632E-02
    5.5500	 9.3792E-08	 7.7731E-02
    5.5600	 9.3904E-08	 7.7832E-02
    5.5700	 9.4020E-08	 7.7934E-02
    5.5800	 9.4138E-08	 7.8039E-02
    5.5900	 9.4259E-08	 7.8146E-02
    5.6000	 9.4383E-08	 7.8255E-02
    5.6100	 9.4510E-08	 7.8366E-02
    5.6200	 9.4640E-08	 7.8479E-02
    5.6300	 9.4773E-08	 7.8594E-02
    5.6400	 9.4909E-08	 7.8711E-02
    5.6500	 9.5048E-08	 7.8831E-02
    5.6600	 9.5190E-08	 7.8952E-02
    5.6700	 9.5335E-08	 7.9075E-02
    5.6800	 9.5483E-08	 7.9201E-02
    5.6900	 9.5634E-08	 7.9329E-02
    5.7000	 9.5788E-08	 7.9458E-02
