
Predictions were generated on 08-Jul-2024 at 15:43:25 using HydroDyn Driver, compiled on Jul  8 2024 at 15:37:46 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC4 Jacket.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    1.1400	  -9.226035E-01	  -1.219568E+05	   5.194687E+05	   2.946412E+06	   1.378476E+07	   2.723951E+06	   3.956220E+05
    1.1500	  -9.318474E-01	  -1.179195E+05	   5.309612E+05	   2.941022E+06	   1.410558E+07	   2.807327E+06	   3.303793E+05
    1.1600	  -9.410912E-01	  -1.835827E+05	   5.344322E+05	   2.932867E+06	   1.420620E+07	   4.913290E+06	   2.089488E+05
    1.1700	  -9.503352E-01	  -2.938645E+05	   5.307124E+05	   2.923496E+06	   1.410432E+07	   8.296676E+06	   7.001928E+04
    1.1800	  -9.595791E-01	  -3.882280E+05	   5.129885E+05	   2.913895E+06	   1.359472E+07	   1.118055E+07	  -8.996404E+04
    1.1900	  -9.688231E-01	  -4.176966E+05	   4.725681E+05	   2.905349E+06	   1.241842E+07	   1.212778E+07	  -2.190678E+05
    1.2000	  -9.780669E-01	  -3.696987E+05	   4.068489E+05	   2.898959E+06	   1.049468E+07	   1.076499E+07	  -3.162513E+05
    1.2100	  -9.873109E-01	  -2.865256E+05	   3.271749E+05	   2.895580E+06	   8.151449E+06	   8.321892E+06	  -3.651544E+05
    1.2200	  -9.965548E-01	  -2.198361E+05	   2.494779E+05	   2.895646E+06	   5.852373E+06	   6.303008E+06	  -3.680623E+05
    1.2300	  -1.005799E+00	  -2.114294E+05	   1.878395E+05	   2.899146E+06	   4.009564E+06	   5.930046E+06	  -3.330885E+05
    1.2400	  -1.015043E+00	  -2.536923E+05	   1.433157E+05	   2.905584E+06	   2.657650E+06	   6.988988E+06	  -2.749870E+05
    1.2500	  -1.024287E+00	  -3.061182E+05	   1.078217E+05	   2.914119E+06	   1.567010E+06	   8.311910E+06	  -2.097571E+05
    1.2600	  -1.037015E+00	  -3.101205E+05	   7.008924E+04	   2.923660E+06	   4.168630E+05	   8.210448E+06	  -1.563160E+05
    1.2700	  -1.049743E+00	  -2.454176E+05	   2.420809E+04	   2.932958E+06	  -9.567428E+05	   6.106938E+06	  -1.136028E+05
    1.2800	  -1.062471E+00	  -1.296271E+05	  -2.586498E+04	   2.940899E+06	  -2.430544E+06	   2.530846E+06	  -9.244188E+04
    1.2900	  -1.075200E+00	  -1.045020E+04	  -6.935741E+04	   2.946600E+06	  -3.683587E+06	  -1.114943E+06	  -8.027601E+04
    1.3000	  -1.087928E+00	   6.434063E+04	  -9.841038E+04	   2.949474E+06	  -4.481922E+06	  -3.429248E+06	  -7.033909E+04
    1.3100	  -1.100656E+00	   7.930033E+04	  -1.133947E+05	   2.949324E+06	  -4.833828E+06	  -3.957416E+06	  -4.758944E+04
    1.3200	  -1.113385E+00	   5.719366E+04	  -1.237636E+05	   2.946302E+06	  -5.015042E+06	  -3.362122E+06	  -1.684248E+03
    1.3300	  -1.126113E+00	   4.313338E+04	  -1.394925E+05	   2.940950E+06	  -5.319104E+06	  -2.961172E+06	   7.600759E+04
    1.3400	  -1.138841E+00	   6.931480E+04	  -1.636352E+05	   2.934087E+06	  -5.840036E+06	  -3.699279E+06	   1.840353E+05
    1.3500	  -1.151570E+00	   1.344111E+05	  -1.895919E+05	   2.926728E+06	  -6.392596E+06	  -5.547799E+06	   3.164373E+05
    1.3600	  -1.164298E+00	   2.017990E+05	  -2.054714E+05	   2.919967E+06	  -6.638874E+06	  -7.452350E+06	   4.602093E+05
    1.3700	  -1.177026E+00	   2.230057E+05	  -2.009898E+05	   2.914795E+06	  -6.288294E+06	  -8.014634E+06	   6.027018E+05
    1.3800	  -1.189754E+00	   1.730670E+05	  -1.749744E+05	   2.911948E+06	  -5.315470E+06	  -6.521694E+06	   7.310698E+05
    1.3900	  -1.202483E+00	   6.333289E+04	  -1.368694E+05	   2.911810E+06	  -4.003997E+06	  -3.316896E+06	   8.375359E+05
    1.4000	  -1.215211E+00	  -6.800473E+04	  -9.690938E+04	   2.914395E+06	  -2.658359E+06	   4.787460E+05	   9.170951E+05
    1.4100	  -1.227939E+00	  -1.745374E+05	  -6.157731E+04	   2.919334E+06	  -1.471687E+06	   3.508500E+06	   9.660953E+05
    1.4200	  -1.240668E+00	  -2.325929E+05	  -2.812305E+04	   2.925942E+06	  -3.659497E+05	   5.081919E+06	   9.837861E+05
    1.4300	  -1.253396E+00	  -2.594662E+05	   9.893669E+03	   2.933368E+06	   8.461662E+05	   5.706999E+06	   9.695894E+05
    1.4400	  -1.266124E+00	  -2.912069E+05	   5.831432E+04	   2.940668E+06	   2.336693E+06	   6.440520E+06	   9.227962E+05
    1.4500	  -1.278853E+00	  -3.666619E+05	   1.128299E+05	   2.946929E+06	   3.982732E+06	   8.424731E+06	   8.435550E+05
    1.4600	  -1.291581E+00	  -4.801034E+05	   1.627964E+05	   2.951341E+06	   5.477948E+06	   1.150319E+07	   7.315947E+05
    1.4700	  -1.304309E+00	  -6.002189E+05	   1.943266E+05	   2.953377E+06	   6.421858E+06	   1.477591E+07	   5.901992E+05
    1.4800	  -1.317037E+00	  -6.752154E+05	   2.006767E+05	   2.952815E+06	   6.622362E+06	   1.674565E+07	   4.220197E+05
    1.4900	  -1.329766E+00	  -6.841589E+05	   1.842050E+05	   2.949828E+06	   6.152083E+06	   1.681502E+07	   2.334138E+05
    1.5000	  -1.342494E+00	  -6.312281E+05	   1.555163E+05	   2.944960E+06	   5.323290E+06	   1.511495E+07	   3.166665E+04
    1.5100	  -1.353503E+00	  -5.387735E+05	   1.237053E+05	   2.938974E+06	   4.403282E+06	   1.233734E+07	  -1.748563E+05
    1.5200	  -1.364512E+00	  -4.769628E+05	   9.119173E+04	   2.932929E+06	   3.463591E+06	   1.049465E+07	  -3.750258E+05
    1.5300	  -1.375521E+00	  -4.348659E+05	   5.237405E+04	   2.927710E+06	   2.341379E+06	   9.261355E+06	  -5.628067E+05
    1.5400	  -1.386531E+00	  -4.326375E+05	   1.287806E+03	   2.924190E+06	   8.629817E+05	   9.223424E+06	  -7.290129E+05
    1.5500	  -1.397540E+00	  -4.116528E+05	  -6.363594E+04	   2.922898E+06	  -1.017304E+06	   8.664173E+06	  -8.717383E+05
    1.5600	  -1.408549E+00	  -3.537668E+05	  -1.347260E+05	   2.924088E+06	  -3.075986E+06	   7.046982E+06	  -9.878542E+05
    1.5700	  -1.419558E+00	  -2.435924E+05	  -1.988841E+05	   2.927676E+06	  -4.931240E+06	   3.914609E+06	  -1.079338E+06
    1.5800	  -1.430567E+00	  -1.132507E+05	  -2.440909E+05	   2.933262E+06	  -6.232559E+06	   1.937212E+05	  -1.145162E+06
    1.5900	  -1.441576E+00	  -5.745818E+03	  -2.672316E+05	   2.940169E+06	  -6.889052E+06	  -2.870991E+06	  -1.184602E+06
    1.6000	  -1.452585E+00	   4.758039E+04	  -2.731841E+05	   2.947515E+06	  -7.042370E+06	  -4.374019E+06	  -1.193708E+06
    1.6100	  -1.463594E+00	   4.217195E+04	  -2.708612E+05	   2.954320E+06	  -6.951634E+06	  -4.186958E+06	  -1.169500E+06
    1.6200	  -1.474603E+00	   9.859744E+03	  -2.649092E+05	   2.959638E+06	  -6.751484E+06	  -3.238988E+06	  -1.107209E+06
    1.6300	  -1.485612E+00	  -7.811099E+03	  -2.519076E+05	   2.962700E+06	  -6.341406E+06	  -2.739582E+06	  -1.005185E+06
    1.6400	  -1.496621E+00	   6.500570E+03	  -2.257493E+05	   2.963062E+06	  -5.543846E+06	  -3.188339E+06	  -8.633473E+05
    1.6500	  -1.507631E+00	   4.329084E+04	  -1.792045E+05	   2.960644E+06	  -4.148893E+06	  -4.301322E+06	  -6.867049E+05
    1.6600	  -1.518640E+00	   6.250168E+04	  -1.133551E+05	   2.955784E+06	  -2.189546E+06	  -4.902074E+06	  -4.790584E+05
    1.6700	  -1.529649E+00	   3.661177E+04	  -3.687268E+04	   2.949140E+06	   7.926701E+04	  -4.180558E+06	  -2.501499E+05
    1.6800	  -1.540658E+00	  -4.648738E+04	   3.686207E+04	   2.941624E+06	   2.264885E+06	  -1.774987E+06	  -8.417842E+03
    1.6900	  -1.551667E+00	  -1.549667E+05	   9.993823E+04	   2.934229E+06	   4.134607E+06	   1.393949E+06	   2.352135E+05
    1.7000	  -1.562676E+00	  -2.497922E+05	   1.497196E+05	   2.927973E+06	   5.609064E+06	   4.194640E+06	   4.748775E+05
    1.7100	  -1.573685E+00	  -3.030091E+05	   1.916791E+05	   2.923778E+06	   6.845597E+06	   5.817009E+06	   7.051565E+05
    1.7200	  -1.584694E+00	  -3.200644E+05	   2.304443E+05	   2.922353E+06	   7.977204E+06	   6.422242E+06	   9.236883E+05
    1.7300	  -1.595703E+00	  -3.263476E+05	   2.659765E+05	   2.924078E+06	   9.001405E+06	   6.748947E+06	   1.130772E+06
    1.7400	  -1.606712E+00	  -3.519421E+05	   2.918159E+05	   2.928928E+06	   9.729529E+06	   7.668850E+06	   1.323411E+06
    1.7500	  -1.617721E+00	  -4.092322E+05	   2.988642E+05	   2.936455E+06	   9.897075E+06	   9.535683E+06	   1.495489E+06
    1.7600	  -1.618133E+00	  -4.722549E+05	   2.813602E+05	   2.945507E+06	   9.337762E+06	   1.160904E+07	   1.636875E+06
    1.7700	  -1.618544E+00	  -5.215824E+05	   2.415973E+05	   2.955319E+06	   8.121059E+06	   1.328818E+07	   1.734642E+06
    1.7800	  -1.618956E+00	  -5.370262E+05	   1.890727E+05	   2.964710E+06	   6.527037E+06	   1.397780E+07	   1.773957E+06
